"ctry_code";"nace2_code";"n_tech_reg"
"AD";10;2
"AD";11;1,5
"AD";13;2
"AD";15;0,5
"AD";20,1;1
"AD";20,2;0,0625
"AD";20,4;1,64285714285714
"AD";20,42;1,5
"AD";20,6;0,5
"AD";21;2,22916666666667
"AD";22;1,5
"AD";23;1
"AD";23,1;2
"AD";23,3;3,5
"AD";23,5;1
"AD";24;1
"AD";25,4;0,5
"AD";25,7;1
"AD";26,1;1,16666666666667
"AD";26,2;3,08333333333333
"AD";26,3;1,83333333333333
"AD";26,5;0,833333333333333
"AD";26,51;1,5
"AD";26,6;2,33333333333333
"AD";26,7;1
"AD";27,33;0,916666666666667
"AD";27,5;5
"AD";27,9;0,5
"AD";28,1;3,83333333333333
"AD";28,14;0,5
"AD";28,22;1
"AD";28,23;3,16666666666667
"AD";28,25;0,75
"AD";28,29;4,5
"AD";28,3;1,66666666666667
"AD";28,9;4,5
"AD";28,94;3
"AD";28,99;0,5
"AD";29,1;4,33333333333333
"AD";30;8,5
"AD";31;0,5
"AD";32;3,33333333333333
"AD";32,5;12,3333333333333
"AD";32,9;5
"AD";42,91;1,5
"AD";43;5
"AD";62;2,33333333333333
"AE";10;9,46666666666667
"AE";11;0,75
"AE";12;4
"AE";13;0,5
"AE";14;2,33333333333333
"AE";15;2,58333333333333
"AE";16;0,5
"AE";17;0,5
"AE";18,1;2,8
"AE";19;6,61488095238095
"AE";20,1;58,939484126984
"AE";20,2;3,26666666666667
"AE";20,3;0,266666666666667
"AE";20,4;8,26868686868686
"AE";20,42;2,36388888888888
"AE";20,5;1,33154761904762
"AE";20,51;0,5
"AE";20,6;0,666666666666667
"AE";21;32,588492063492
"AE";22;8,51944444444444
"AE";22,2;0,916666666666667
"AE";23;5,14583333333333
"AE";23,1;4,91666666666666
"AE";23,3;1,5
"AE";23,42;3,41666666666667
"AE";23,5;2,80059523809524
"AE";24;17,875
"AE";25,1;0,833333333333333
"AE";25,2;2,875
"AE";25,4;4,875
"AE";25,5;0,125
"AE";25,6;0,125
"AE";25,7;2,66666666666667
"AE";25,9;1,66666666666667
"AE";26,1;19,7555555555555
"AE";26,11;1,70833333333333
"AE";26,2;90,3759050589933
"AE";26,3;124,061724386724
"AE";26,4;4,125
"AE";26,5;55,1706349206349
"AE";26,51;23,6222222222222
"AE";26,52;5
"AE";26,6;3,53333333333333
"AE";26,7;6,55833333333333
"AE";27,1;12,9166666666667
"AE";27,12;9,58333333333333
"AE";27,2;2
"AE";27,3;1,16666666666667
"AE";27,33;5,61666666666667
"AE";27,4;0,916666666666667
