"";"10";"10.5";"11";"12";"13";"14";"15";"16";"17";"18.1";"19";"20.1";"20.2";"20.3";"20.4";"20.42";"20.5";"20.51";"20.6";"21";"22";"22.1";"22.2";"23";"23.1";"23.3";"23.42";"23.5";"24";"24.46";"25.1";"25.2";"25.3";"25.4";"25.5";"25.6";"25.7";"25.9";"25.94";"26.1";"26.11";"26.2";"26.3";"26.4";"26.5";"26.51";"26.52";"26.6";"26.7";"26.8";"27.1";"27.12";"27.2";"27.3";"27.33";"27.4";"27.5";"27.9";"28.1";"28.11";"28.14";"28.21";"28.22";"28.23";"28.25";"28.29";"28.3";"28.4";"28.9";"28.92";"28.94";"28.95";"28.99";"29.1";"29.3";"30";"31";"32";"32.5";"32.9";"42.2";"42.91";"43";"62"
"10";6822065;7226;382198;10452;4418;159;40;219;8653;930;4617;269298;84686;5965;168709;122168;118858;57;1551;1718331;11322;146;1303;10468;314;782;7;1924;925;102;321;687;105;75;661;579;102;157;24;2321;2451;6458;1928;143;42441;4759;215;2459;465;429;497;402;2462;251;289;1141;86642;678;5533;270;230;757;271;4563;4147;57638;277184;7057;151341;130;1074;30;21274;1542;0;1128;1169;2158;56577;49636;217;90;1497;4341
"10.5";7226;46138;446;25;33;0;0;17;9;15;9;428;152;31;73;46;39;2;0;163;1089;16;55;221;1;333;0;17;7;0;9;36;1;0;0;9;2;13;1;140;1;685;375;15;2612;321;0;102;39;30;11;2;24;18;12;29;1521;102;680;13;10;0;1;572;133;1416;3625;1062;2011;0;35;9;764;98;0;9;62;180;1205;573;17;0;126;139
"11";382198;446;906585;1495;700;3;2;90;1254;56;342;31565;2481;723;20487;16189;6173;3;211;196811;2704;25;56;639;131;14;0;417;117;0;28;212;16;4;77;4;25;53;16;224;162;322;131;0;5698;269;2;288;57;16;105;4;66;1;3;7;6985;8;1125;67;20;82;55;581;383;17702;3010;1168;7087;0;61;18;8131;152;0;62;46;212;6611;6946;113;9;144;223
"12";10452;25;1495;693239;3217;33;14;5;7573;144;250;39893;2882;676;5693;2429;77227;41;4549;41642;1791;0;294;1318;99;66;15;256;40;0;75;1412;0;3;34;44;128;9;9;842;683;1286;1232;72;9060;3000;100;81;242;2;214;1376;763;38;249;235;7484;139;1698;12;35;8;794;1506;1534;19676;2601;2799;36875;20;3746;976;1416;1386;0;88;200;3339;14433;8030;1;2;1175;560
"13";4418;33;700;3217;1571657;31252;2747;3683;44414;22929;1863;378012;15500;52474;100137;23724;45145;121;152572;38784;48871;297;9263;141025;16467;1569;35;14813;3190;16;4641;54;102;3385;1363;2697;1298;197;7;14578;8331;2034;3406;128;9803;1075;16;1688;5532;1536;307;219;11965;8070;944;490;37019;5032;4937;1176;5479;377;301;20120;1555;50180;7627;7016;67191;921;293586;5910;11649;15472;1;2295;9335;17282;72960;12827;99;1705;24261;304
"14";159;0;3;33;31252;351521;5641;22;748;548;10;16175;1412;1585;2148;722;3743;65;8934;3272;7126;131;169;24745;41;70;25;146;332;1;5313;38;1;5115;18;37;78;326;17;2546;181;3648;5682;20;3968;1926;137;4521;1128;11;832;1932;604;633;1305;1930;8157;262;1492;50;630;0;21;1408;749;5989;1813;1595;12216;44;41851;4;690;1467;5;6680;2109;22613;55296;3282;13;0;556;704
"15";40;0;2;14;2747;5641;210038;162;183;164;3;22822;431;549;576;549;2158;1;301;1505;17429;54;2354;5675;5;16;0;199;237;0;829;20;16;202;14;24;28;318;8;926;57;2731;4988;19;5152;2302;201;1789;180;0;1882;1376;97;170;67;1155;2195;164;1921;1;58;0;69;517;142;1706;961;838;12604;6;2791;49;251;791;0;753;677;8857;15568;1544;8;0;193;509
"16";219;17;90;5;3683;22;162;241506;5743;1456;483;23373;437;33584;110;52;17727;10;97;1154;11171;0;1406;44021;187;1605;0;1974;48;0;62;58;0;114;146;38;3236;850;4;695;180;308;322;1;784;428;8;88;139;86;9;8;60;60;21;140;1386;246;465;15;126;22;34;485;491;3194;13252;25230;16608;255;679;248;832;997;0;791;1846;1781;1440;2713;13;144;24360;82
"17";8653;9;1254;7573;44414;748;183;5743;767622;61441;1086;159202;7664;38797;11606;4209;26325;238;13889;25808;8807;175;1976;51091;3080;1568;10;8316;1663;17;646;2487;5;56;524;288;386;1033;90;6763;1528;2262;1959;77;6413;891;47;295;1151;5661;168;38;3451;7582;106;556;5591;461;2036;389;9247;3067;19;23984;837;24354;3257;3781;90730;6;7757;45927;9631;1232;25;175;2777;4000;11841;20905;39;9;7284;967
