"ctry_code";"nace2_code";"n_tech_reg"
"AD";11;1
"AD";13;1,5
"AD";20,4;0,5
"AD";20,42;0,5
"AD";23,3;1
"AD";26,6;1,5
"AD";27,5;1
"AD";28,1;0,5
"AD";28,14;0,5
"AD";28,22;1
"AD";28,29;1
"AD";28,3;1
"AD";28,94;2
"AD";29,1;1
"AD";30;2,5
"AD";32;1
"AD";32,5;4,5
"AD";32,9;1
"AD";42,91;1,5
"AD";43;1
"AE";15;0,5
"AE";18,1;0,5
"AE";20,1;0,833333333333333
"AE";21;1,5
"AE";23,42;1
"AE";23,5;0,166666666666667
"AE";26,3;1,08333333333333
"AE";26,5;2
"AE";26,51;1
"AE";28,1;4
"AE";28,22;0,75
"AE";28,23;3,75
"AE";28,29;1,5
"AE";28,3;2
"AE";28,9;3,66666666666667
"AE";29,1;1
"AE";30;1,83333333333333
"AE";32;0,75
"AE";32,5;0,5
"AE";32,9;0,583333333333333
"AE";42,91;0,5
"AF";26,3;0,5
"AF";28,23;0,5
"AF";28,29;2
"AF";29,1;1
"AG";27,9;1
"AG";28,23;1
"AG";28,29;0,5
"AG";29,1;0,5
"AG";31;0,5
"AG";32,9;1
"AI";21;0,25
"AI";27,9;0,125
"AI";28,92;0,125
"AI";30;0,125
"AI";32,5;1
"AI";43;0,125
"AL";20,1;0,25
"AL";21;0,0666666666666667
"AL";25,1;0,5
"AL";27,12;0,333333333333333
"AL";28,1;1
"AL";28,11;0,5
"AL";28,21;0,5
"AL";28,29;0,75
"AL";32,9;1
"AM";10;1,91666666666667
"AM";11;1,25
"AM";13;0,25
"AM";20,1;2,58333333333333
"AM";20,5;0,595238095238095
"AM";21;6,66626984126984
"AM";25,5;0,226190476190476
"AM";25,7;3
"AM";26,1;0,726190476190476
"AM";26,3;1
"AM";26,5;2,76190476190476
"AM";27,1;0,333333333333333
"AM";28,1;0,333333333333333
"AM";28,25;1
"AM";28,29;0,5
"AM";28,4;0,25
"AM";28,9;0,5
"AM";29,1;0,333333333333333
"AM";32;1
"AM";32,5;3
"AM";32,9;0,333333333333333
"AM";43;0,611111111111111
"AN";14;2
"AN";17;1
"AN";20,1;1,83333333333333
"AN";20,5;2,5
"AN";21;6
"AN";23;0,333333333333333
"AN";24;1
"AN";25,7;2
"AN";26,1;0,5
"AN";26,2;1
"AN";26,3;1
"AN";26,5;2
"AN";26,51;0,5
"AN";26,7;0,5
"AN";27,33;2
"AN";27,5;0,5
"AN";28,25;1
"AN";28,29;0,5
"AN";28,3;2
"AN";28,9;3,5
"AN";28,94;0,333333333333333
"AN";29,1;1,5
"AN";30;1
"AN";32;1
"AN";32,5;5,2
"AN";32,9;1,5
"AN";43;3
"AO";20,2;0,125
"AO";21;0,291666666666667
"AO";26,5;0,5
"AP";26,5;1
"AR";10;13,3944444444444
"AR";10,5;1
"AR";11;1
"AR";12;2
"AR";14;4
"AR";16;3,5
"AR";18,1;3,5
"AR";19;2
"AR";20,1;16,8333333333333
"AR";20,2;7,33333333333333
"AR";20,3;1,5
"AR";20,5;3,33333333333333
"AR";20,51;2
"AR";21;51,8651927437642
"AR";22;11,8333333333333
"AR";23;2,83333333333333
"AR";23,1;0,25
"AR";23,3;5
"AR";23,42;1,5
"AR";23,5;0,833333333333333
"AR";24;2,33333333333333
"AR";25,1;2,66666666666667
"AR";25,2;1
"AR";25,3;0,75
"AR";25,4;2
"AR";25,6;0,375
"AR";25,7;8
"AR";25,9;6,61111111111111
"AR";26,1;1
"AR";26,2;1,23333333333333
"AR";26,3;11,75
"AR";26,4;0,25
"AR";26,5;8,625
"AR";26,51;2,5
"AR";26,52;3
"AR";26,7;3,73333333333333
"AR";27,1;3,5
"AR";27,12;0,333333333333333
"AR";27,3;7,5
"AR";27,33;5,94444444444444
"AR";27,4;1
"AR";27,5;29,5
"AR";27,9;1,5
"AR";28,1;22,9166666666667
"AR";28,11;7,83333333333333
"AR";28,14;1,5
"AR";28,21;1,66666666666667
"AR";28,22;1,5
"AR";28,23;5,58333333333333
"AR";28,25;7
"AR";28,29;17,1527777777778
"AR";28,3;17,25
"AR";28,4;8,25
"AR";28,9;39,7916666666667
"AR";28,94;5,33333333333333
"AR";28,99;0,166666666666667
"AR";29,1;35,7
"AR";30;8
"AR";31;5,66666666666667
"AR";32;24,0333333333333
"AR";32,5;40,8409090909091
"AR";32,9;27,6666666666667
"AR";42,91;1
"AR";43;9,66666666666667
"AR";62;0,333333333333333
"AT";10;129,433333333333
"AT";10,5;13,0833333333333
"AT";11;40,3666666666667
"AT";12;33
"AT";13;85,8202380952381
"AT";14;40,2083333333333
"AT";15;140,533333333333
"AT";16;48,1666666666667
"AT";17;94,7666666666667
"AT";18,1;51,7638888888889
"AT";19;26,2392857142857
"AT";20,1;1174,20188191438
"AT";20,2;66,0916666666667
"AT";20,3;150,175264550265
"AT";20,4;30,0097222222222
"AT";20,42;7,76111111111111
"AT";20,5;126,984722222222
"AT";20,51;46,125
"AT";20,6;41,7611111111111
"AT";21;981,61562049062
"AT";22;512,663492063492
"AT";22,1;2
"AT";22,2;33,4805555555556
"AT";23;67,025
"AT";23,1;46,5518849206349
"AT";23,3;96,3384920634921
"AT";23,42;14
"AT";23,5;243,424007936508
"AT";24;874,515954184704
"AT";24,46;1
"AT";25,1;124,462626262626
"AT";25,2;80,25
"AT";25,3;28,125
"AT";25,4;114,833333333333
"AT";25,5;32,4821428571429
"AT";25,6;42,6166666666667
"AT";25,7;538,366666666667
"AT";25,9;163,230952380952
"AT";25,94;56,75
"AT";26,1;505,98382034632
"AT";26,11;1,47222222222222
"AT";26,2;152,919907407407
"AT";26,3;913,429446479446
"AT";26,4;183,965740740741
"AT";26,5;788,087734025234
"AT";26,51;221,789580789581
"AT";26,52;57,8240740740741
"AT";26,6;61,3472222222222
"AT";26,7;396,749867724868
"AT";26,8;8,12037037037037
"AT";27,1;215,402380952381
"AT";27,12;78,575
"AT";27,2;65,4333333333333
"AT";27,3;53,3206349206349
"AT";27,33;438,316666666667
"AT";27,4;147,955555555556
"AT";27,5;561,367063492063
"AT";27,9;371,971398046398
"AT";28,1;901,254215229215
"AT";28,11;117,569444444444
"AT";28,14;46,0555555555556
"AT";28,21;96,504338023088
"AT";28,22;240,991666666667
"AT";28,23;336,420670533171
"AT";28,25;122,790079365079
"AT";28,29;937,954428210678
"AT";28,3;651,464285714286
"AT";28,4;1072,64471500721
"AT";28,9;1231,025
"AT";28,92;165,560912698413
"AT";28,94;182,619444444444
"AT";28,95;124,612698412698
"AT";28,99;165,805753968254
"AT";29,1;1319,20299006549
"AT";29,3;4,69823232323232
"AT";30;661,828144078144
"AT";31;346,05
"AT";32;1149,58095238095
"AT";32,5;572,97123015873
"AT";32,9;341,034259259259
"AT";42,2;28,8611111111111
"AT";42,91;50,3333333333333
"AT";43;871,280952380952
"AT";62;18,9761904761905
"AU";10;604,327380952381
"AU";10,5;46,3333333333333
"AU";11;62,2261904761905
"AU";12;63,3333333333333
"AU";13;142,703968253968
"AU";14;147,016666666667
"AU";15;130,75
"AU";16;57,0611111111111
"AU";17;135,727777777778
"AU";18,1;138,318253968254
"AU";19;217,25
"AU";20,1;2066,17208994709
"AU";20,2;296,793333333333
"AU";20,3;138,465343915344
"AU";20,4;174,855158730159
"AU";20,42;41,8218253968254
"AU";20,5;172,047486772487
"AU";20,51;143,25
"AU";20,6;16,2111111111111
"AU";21;2590,8156650539
"AU";22;643,142063492063
"AU";22,1;5,75
"AU";22,2;20,6333333333333
"AU";23;223,674814814815
"AU";23,1;129,668783068783
"AU";23,3;195,792857142857
"AU";23,42;146,333333333333
"AU";23,5;182,560714285714
"AU";24;668,617857142857
"AU";24,46;1,33333333333333
"AU";25,1;167,009523809524
"AU";25,2;124,45
"AU";25,3;9,91666666666667
"AU";25,4;119,097916666667
"AU";25,5;28,9833333333333
"AU";25,6;35,8666666666667
"AU";25,7;1052,8125
"AU";25,9;414,508333333333
"AU";25,94;122,416666666667
"AU";26,1;397,667857142857
"AU";26,11;4
"AU";26,2;652,316666666667
"AU";26,3;1448,3176497114
"AU";26,4;115,775
"AU";26,5;1313,23521825397
"AU";26,51;274,535317460317
"AU";26,52;30
"AU";26,6;110,444444444444
"AU";26,7;329,426984126984
"AU";26,8;31,4777777777778
"AU";27,1;174,534523809524
"AU";27,12;113,787301587302
"AU";27,2;84,8845238095238
"AU";27,3;74,7166666666667
"AU";27,33;592,075
"AU";27,4;157,22619047619
"AU";27,5;1521,06150793651
"AU";27,9;225,384523809524
"AU";28,1;1689,5869047619
"AU";28,11;126,316666666667
"AU";28,14;180,883333333333
"AU";28,21;66,0095238095238
"AU";28,22;374,016666666667
"AU";28,23;936,284325396825
"AU";28,25;403,028571428571
"AU";28,29;1816,70515873016
"AU";28,3;2110,44611111111
"AU";28,4;1383,60625
"AU";28,9;2970,97830687831
"AU";28,92;187,527380952381
"AU";28,94;197,085714285714
"AU";28,95;25,2416666666667
"AU";28,99;382,28619047619
"AU";29,1;2210,76349206349
"AU";29,3;1,58333333333333
"AU";30;1105,11785714286
"AU";31;842,37619047619
"AU";32;2288,29264069264
"AU";32,5;1889,89025974026
"AU";32,9;1800,8
"AU";42,2;143,183333333333
"AU";42,91;104,759523809524
"AU";43;2485,36357142857
"AU";62;59,6055555555556
"AW";24;1
"AZ";10;10,3333333333333
"AZ";11;4
"AZ";16;5
"AZ";17;1,5
"AZ";19;1
"AZ";20,1;15,4047619047619
"AZ";20,3;2,28571428571429
"AZ";20,5;1,2
"AZ";21;5,16666666666667
"AZ";22;2,33333333333333
