"ctry_code";"nace2_code";"n_tech_reg"
"AD";13;1,5
"AD";24;1
"AD";27,5;3
"AD";28,22;1
"AD";28,94;1,5
"AD";30;1
"AD";32;1
"AE";20,51;0,5
"AE";26,51;1
"AE";28,1;2
"AE";28,23;1
"AE";28,9;5,5
"AE";42,91;1
"AG";27,12;0,5
"AG";27,5;0,5
"AG";30;1
"AI";21;0,25
"AI";43;1
"AI_pat";20,1;1,25
"AI_pat";22;2,5
"AI_pat";24;2,5
"AI_pat";25,2;0,2
"AI_pat";25,3;2,75
"AI_pat";26,1;15,8666666666667
"AI_pat";26,2;261,9
"AI_pat";26,3;10,5333333333333
"AI_pat";26,4;11,1666666666667
"AI_pat";26,5;29,5333333333333
"AI_pat";26,51;24,9
"AI_pat";26,6;0,333333333333333
"AI_pat";26,7;0,75
"AI_pat";27,1;0,583333333333333
"AI_pat";27,12;0,666666666666667
"AI_pat";27,3;0,5
"AI_pat";27,5;2
"AI_pat";27,9;0,833333333333333
"AI_pat";28,1;3,61666666666667
"AI_pat";28,11;0,2
"AI_pat";28,21;0,5
"AI_pat";28,22;0,533333333333333
"AI_pat";28,23;17,5833333333333
"AI_pat";28,25;1,2
"AI_pat";28,29;0,583333333333333
"AI_pat";28,4;4,33333333333333
"AI_pat";28,9;2,7
"AI_pat";28,99;0,333333333333333
"AI_pat";29,1;5,36666666666667
"AI_pat";30;0,25
"AI_pat";32,5;4,08333333333333
"AI_pat";32,9;4
"AI_pat";62;20,95
"AL";20,1;1,5
"AL";21;1,5
"AL";25,1;0,5
"AL";25,4;0,666666666666667
"AL";27,5;1
"AL";28,21;0,5
"AL";43;1
"AM";27,9;1
"AN";20,1;0,25
"AN";21;1
"AN";28,29;0,583333333333333
"AN";30;1
"AR";10;6
"AR";10,5;1
"AR";11;1
"AR";13;2
"AR";14;1
"AR";15;2
"AR";16;0,5
"AR";18,1;2,5
"AR";20,1;11,1666666666667
"AR";20,2;1,5
"AR";20,3;0,5
"AR";20,4;0,25
"AR";20,42;0,25
"AR";20,5;1,5
"AR";20,51;3
"AR";21;25,7
"AR";22;8,08333333333333
"AR";23;3,08333333333333
"AR";23,42;1,5
"AR";24;5,33333333333333
"AR";25,1;2,5
"AR";25,2;2,5
"AR";25,3;0,25
"AR";25,4;1
"AR";25,5;0,375
"AR";25,7;6
"AR";25,9;1,11111111111111
"AR";26,1;1,08333333333333
"AR";26,2;0,4
"AR";26,3;12,6666666666667
"AR";26,4;0,75
"AR";26,5;5,48333333333333
"AR";26,51;2,16666666666667
"AR";26,52;1
"AR";26,6;2,5
"AR";26,7;2,73333333333333
"AR";27,1;0,5
"AR";27,2;1
"AR";27,3;3
"AR";27,33;4,27777777777778
"AR";27,5;18,1666666666667
"AR";27,9;2,5
"AR";28,1;25,25
"AR";28,11;2,125
"AR";28,14;4
"AR";28,21;2
"AR";28,22;1
"AR";28,23;4,16666666666667
"AR";28,25;2,33333333333333
"AR";28,29;19,2777777777778
"AR";28,3;11
"AR";28,4;4,125
"AR";28,9;32,9166666666667
"AR";28,94;4
"AR";28,99;1
"AR";29,1;11,6666666666667
"AR";30;7,625
"AR";31;2
"AR";32;10,4166666666667
"AR";32,5;18,25
"AR";32,9;13,5
"AR";42,2;2
"AR";42,91;6
"AR";43;4,66666666666667
"AS";28,9;1
"AT";10;59,8111111111111
"AT";10,5;4,25
"AT";11;20,8666666666667
"AT";12;6,33333333333333
"AT";13;31,4456349206349
"AT";14;10,7083333333333
"AT";15;90,0333333333333
"AT";16;12,4166666666667
"AT";17;47,2956349206349
"AT";18,1;22,0416666666667
"AT";19;23,5
"AT";20,1;776,379563492063
"AT";20,2;70,9702380952381
"AT";20,3;140,452777777778
"AT";20,4;15,8083333333333
"AT";20,42;4,325
"AT";20,5;76,2277777777778
"AT";20,51;34,7833333333333
"AT";20,6;25,8472222222222
"AT";21;669,066937229437
"AT";22;221,878968253968
"AT";22,1;1,83333333333333
"AT";22,2;25,9916666666667
"AT";23;42,7361111111111
"AT";23,1;18,9444444444444
"AT";23,3;54,9664682539683
"AT";23,42;2
"AT";23,5;120,140079365079
"AT";24;521,016666666667
"AT";25,1;64,6083333333333
"AT";25,2;55
"AT";25,3;11,1666666666667
"AT";25,4;103,75
"AT";25,5;15,8611111111111
"AT";25,6;21,2833333333333
"AT";25,7;337,586111111111
"AT";25,9;76,15
"AT";25,94;25,5833333333333
"AT";26,1;208,430555555556
"AT";26,2;36,75
"AT";26,3;403,712973137973
"AT";26,4;61,7888888888889
"AT";26,5;413,006944444444
"AT";26,51;101,088888888889
"AT";26,52;9,33333333333333
"AT";26,6;40,5
"AT";26,7;261,819444444444
"AT";26,8;3,4537037037037
"AT";27,1;96,8666666666667
"AT";27,12;35,0833333333333
"AT";27,2;36,0666666666667
"AT";27,3;23,0416666666667
"AT";27,33;194,45
"AT";27,4;57,5833333333333
"AT";27,5;290,606944444444
"AT";27,9;157,283333333333
"AT";28,1;487,716666666667
"AT";28,11;86,6527777777778
"AT";28,14;17,4166666666667
"AT";28,21;59,325
"AT";28,22;104,366666666667
"AT";28,23;189,763095238095
"AT";28,25;74,0333333333333
"AT";28,29;560,9625
"AT";28,3;341,2
"AT";28,4;660,283333333333
