"ctry_code";"nace2_code";"n_tech_reg"
"AB";20,1;0,2
"AD";10;2
"AD";11;0,5
"AD";13;0,5
"AD";15;0,5
"AD";20,1;1
"AD";20,4;0,642857142857143
"AD";20,42;0,5
"AD";20,6;0,5
"AD";21;2,16666666666667
"AD";23;1
"AD";23,3;2
"AD";23,5;1
"AD";25,7;1
"AD";26,1;0,833333333333333
"AD";26,2;2,08333333333333
"AD";26,3;1,83333333333333
"AD";26,5;0,5
"AD";26,51;1
"AD";26,7;1
"AD";27,33;0,916666666666667
"AD";27,5;2
"AD";27,9;0,5
"AD";28,1;3,33333333333333
"AD";28,23;2,16666666666667
"AD";28,25;0,75
"AD";28,29;3,5
"AD";28,3;0,666666666666667
"AD";28,9;2,5
"AD";28,94;1
"AD";28,99;0,5
"AD";29,1;1,33333333333333
"AD";30;1,5
"AD";31;0,5
"AD";32;1
"AD";32,5;3,33333333333333
"AD";32,9;4
"AD";43;3,5
"AD";62;2,33333333333333
"AE";10;9,46666666666667
"AE";11;0,75
"AE";12;4
"AE";13;0,5
"AE";14;2,33333333333333
"AE";15;2,08333333333333
"AE";16;0,5
"AE";17;0,5
"AE";18,1;2,13333333333333
"AE";19;5,94821428571429
"AE";20,1;55,7144841269841
"AE";20,2;2,9
"AE";20,3;0,266666666666667
"AE";20,4;7,43535353535353
"AE";20,42;1,53055555555556
"AE";20,5;1,33154761904762
"AE";20,6;0,666666666666667
"AE";21;30,7551587301587
"AE";22;8,43611111111111
"AE";22,2;0,416666666666667
"AE";23;5,14583333333333
"AE";23,1;3,91666666666667
"AE";23,3;1,5
"AE";23,42;2,41666666666667
"AE";23,5;2,50892857142857
"AE";24;17,875
"AE";25,1;0,333333333333333
"AE";25,2;2,875
"AE";25,4;4,875
"AE";25,5;0,125
"AE";25,6;0,125
"AE";25,7;2,66666666666667
"AE";25,9;1,66666666666667
"AE";26,1;18,3055555555556
"AE";26,11;1,70833333333333
"AE";26,2;87,29257172566
"AE";26,3;116,718867243867
"AE";26,4;4,125
"AE";26,5;47,906746031746
"AE";26,51;21,4666666666667
"AE";26,52;5
"AE";26,6;3,53333333333333
"AE";26,7;6,05833333333333
"AE";27,1;12,9166666666667
"AE";27,12;9,58333333333333
"AE";27,2;2
"AE";27,3;1,16666666666667
"AE";27,33;5,11666666666667
"AE";27,4;0,916666666666667
"AE";27,5;25,5125
"AE";27,9;12,1388888888889
"AE";28,1;28,1134920634921
"AE";28,11;5,05238095238095
"AE";28,14;0,916666666666667
"AE";28,21;0,833333333333333
"AE";28,22;1,36666666666667
"AE";28,23;28,0138888888889
"AE";28,25;5,31944444444444
"AE";28,29;35,6755952380952
"AE";28,3;4,33333333333333
"AE";28,4;5,13888888888889
"AE";28,9;63,1234126984127
"AE";28,92;1,25
"AE";28,94;1,3452380952381
"AE";28,99;2,53333333333333
"AE";29,1;21,9055555555556
"AE";30;20,9396825396825
"AE";31;8,63333333333333
"AE";32;34,1111111111111
"AE";32,5;51,0888888888889
"AE";32,9;22,1722222222222
"AE";42,2;2,13888888888889
"AE";42,91;2,79166666666667
"AE";43;19,6666666666667
"AE";62;58,6268379281537
"AF";10;0,125
"AF";11;0,125
"AF";19;0,125
"AF";20,1;0,5
"AF";21;0,125
"AF";25,9;0,166666666666667
"AF";26,2;0,1
"AF";26,3;0,1
"AF";26,7;0,166666666666667
"AF";27,12;0,166666666666667
"AF";32,5;1
"AG";10;0,333333333333333
"AG";20,2;1,33333333333333
"AG";21;1,83333333333333
"AG";26,2;1,2
"AG";26,5;0,125
"AG";26,51;1,125
"AG";26,6;0,5
"AG";26,7;0,5
"AG";27,33;1,5
"AG";27,5;0,25
"AG";28,92;1
"AG";32;0,25
"AG";32,5;0,833333333333333
"AG";32,9;0,25
"AG";62;0,25
"AI";13;0,333333333333333
"AI";15;2
"AI";26,5;1
"AI";26,6;1
"AI";27,33;1,5
"AI";27,4;0,5
"AI";28,1;0,166666666666667
"AI";28,94;0,333333333333333
"AI";29,1;0,166666666666667
"AI";31;0,333333333333333
"AI";32;1
"AI_pat";10;13,25
"AI_pat";10,5;1,5
"AI_pat";11;7,33333333333333
"AI_pat";12;1,83333333333333
"AI_pat";13;2
"AI_pat";14;1,41666666666667
"AI_pat";15;0,45
"AI_pat";18,1;2
"AI_pat";19;6,5
"AI_pat";20,1;75,0833333333333
"AI_pat";20,2;1,66666666666667
"AI_pat";20,42;0,5
"AI_pat";20,5;10,7833333333333
"AI_pat";20,51;2,45
"AI_pat";21;82,6
"AI_pat";22;28
"AI_pat";22,2;2,5
"AI_pat";23;1,58333333333333
"AI_pat";23,1;2,16666666666667
"AI_pat";23,3;2,78333333333333
"AI_pat";23,5;5,58333333333333
"AI_pat";24;69,8333333333333
"AI_pat";25,1;5,41666666666667
"AI_pat";25,2;11
"AI_pat";25,3;7,33333333333333
"AI_pat";25,4;7,68333333333333
"AI_pat";25,5;2
"AI_pat";25,6;2,08333333333333
"AI_pat";25,7;7
"AI_pat";25,9;1
"AI_pat";26,1;106,433333333333
"AI_pat";26,11;5,91666666666667
"AI_pat";26,2;15140,3333333333
"AI_pat";26,3;2385,81666666667
"AI_pat";26,4;26
"AI_pat";26,5;2333,53333333333
"AI_pat";26,51;1467,88333333333
"AI_pat";26,52;2,66666666666667
"AI_pat";26,6;57,7833333333333
"AI_pat";26,7;19,3666666666667
"AI_pat";27,1;209,7
"AI_pat";27,12;249,683333333333
"AI_pat";27,2;25,0833333333333
"AI_pat";27,3;0,166666666666667
"AI_pat";27,33;8,5
"AI_pat";27,4;1,83333333333333
"AI_pat";27,5;75,8166666666667
"AI_pat";27,9;375,25
"AI_pat";28,1;419,45
"AI_pat";28,11;22
"AI_pat";28,14;0,25
"AI_pat";28,21;12,3333333333333
"AI_pat";28,22;35,5833333333333
"AI_pat";28,23;6731,5
"AI_pat";28,25;91,9166666666667
"AI_pat";28,29;100,7
"AI_pat";28,3;80,2666666666667
"AI_pat";28,4;255,116666666667
"AI_pat";28,9;187,166666666667
"AI_pat";28,92;3,5
"AI_pat";28,94;9,83333333333333
"AI_pat";28,95;1,33333333333333
"AI_pat";28,99;6
"AI_pat";29,1;218,283333333333
"AI_pat";29,3;105,166666666667
"AI_pat";30;57,4666666666667
"AI_pat";31;2
"AI_pat";32;95,4
"AI_pat";32,5;885,066666666667
"AI_pat";32,9;153,233333333333
"AI_pat";42,2;0,5
"AI_pat";42,91;3
"AI_pat";43;3,41666666666667
"AI_pat";62;2235,41666666667
"AL";20,1;0,392857142857143
"AL";21;2,75
"AL";22;0,25
"AL";26,2;0,0625
"AL";26,3;0,229166666666667
"AL";27,5;2
"AL";27,9;0,2
"AL";28,1;4,75
"AL";28,23;0,25
"AL";28,25;0,5
"AL";28,29;0,5
"AL";28,3;1
"AL";29,1;2,25
"AL";30;0,333333333333333
"AL";32;1
"AL";32,9;0,25
"AL";42,2;0,5
"AL";43;1
"AL";62;0,5
"AM";10;14,8954545454545
"AM";11;4,43015873015873
"AM";12;0,0357142857142857
"AM";19;0,166666666666667
"AM";20,1;4,3797619047619
"AM";20,4;1,31666666666667
"AM";20,42;0,4
"AM";20,5;0,333333333333333
"AM";20,51;0,5
"AM";21;12,296645021645
"AM";23;0,222222222222222
"AM";23,1;0,111111111111111
"AM";23,5;1,2
"AM";24;2,69444444444444
"AM";25,4;0,5
"AM";25,5;0,0833333333333333
"AM";25,7;5
"AM";26,1;22,6190476190476
"AM";26,11;0,591269841269841
"AM";26,2;36,414880952381
"AM";26,3;21,4527777777778
"AM";26,4;0,142857142857143
"AM";26,5;3,01428571428571
"AM";26,51;0,755555555555556
"AM";26,6;3,29166666666667
"AM";26,7;0,950396825396825
"AM";27,1;0,5
"AM";27,12;0,45
"AM";27,2;0,5
"AM";27,33;1,5
"AM";27,4;0,2
"AM";27,5;1,575
"AM";27,9;1,5
"AM";28,1;4,58333333333333
"AM";28,11;0,333333333333333
"AM";28,22;1
"AM";28,23;1,025
"AM";28,25;0,25
"AM";28,29;1,5968253968254
"AM";28,3;0,333333333333333
"AM";28,4;3,16666666666667
"AM";28,9;4
"AM";29,1;1,38888888888889
"AM";32;0,125
"AM";32,5;10,7575757575758
"AM";32,9;6,84265873015873
"AM";42,2;0,333333333333333
"AM";43;3,25
"AM";62;0,6
"AN";19;0,933333333333333
"AN";20,1;2,83333333333333
"AN";20,5;0,1
"AN";21;4,5
"AN";22;0,5
"AN";24;0,333333333333333
"AN";25,3;0,5
"AN";25,9;1
"AN";26,1;0,5
"AN";26,3;3,5
"AN";26,4;0,333333333333333
"AN";26,5;1,5
"AN";26,51;1,625
"AN";26,6;1
"AN";26,7;0,166666666666667
"AN";27,5;3
"AN";27,9;0,166666666666667
"AN";28,11;0,666666666666667
"AN";28,23;0,166666666666667
"AN";28,29;1,5
"AN";28,4;1
"AN";28,9;3
"AN";28,94;0,333333333333333
"AN";29,1;0,267857142857143
"AN";30;1
"AN";31;0,5
"AN";32,5;1,66666666666667
"AN";32,9;2,66666666666667
"AO";14;0,333333333333333
"AO";20,1;0,208333333333333
"AO";20,2;0,25
"AO";21;0,25
"AO";23;0,333333333333333
"AO";26,3;0,5
"AO";26,5;0,0833333333333333
"AO";26,51;0,0833333333333333
"AO";26,7;0,166666666666667
"AO";27,1;2
"AO";27,33;0,166666666666667
"AO";27,9;0,166666666666667
"AO";28,1;1
"AO";28,29;0,833333333333333
"AO";28,4;0,166666666666667
"AO";28,9;0,741666666666667
"AO";29,1;0,166666666666667
"AO";31;1
"AO";62;0,666666666666667
"AP";13;1
"AP";25,4;0,2
"AP";26,2;0,0333333333333333
"AP";26,51;0,0333333333333333
"AP";27,33;0,0333333333333333
"AP";28,1;0,0333333333333333
"AP";28,9;0,0333333333333333
"AP";29,1;0,0333333333333333
"AR";10;33,8008585858586
"AR";11;2,20252525252525
"AR";13;1,95952380952381
"AR";15;5,08333333333333
"AR";17;0,5
"AR";18,1;0,2
"AR";19;0,991666666666667
"AR";20,1;27,6401077097506
"AR";20,2;11,1714285714286
"AR";20,3;1,37244897959184
"AR";20,4;3,70833333333333
"AR";20,42;2,08611111111111
"AR";20,5;4,65957019171305
"AR";20,51;4,75
"AR";20,6;0,0416666666666667
"AR";21;135,343795093795
"AR";22;12,0623015873016
"AR";23;8,63603174603175
"AR";23,1;0,1
"AR";23,3;0,75
"AR";23,42;1,5
"AR";23,5;4,44444444444444
"AR";24;16,3277777777778
"AR";25,1;0,666666666666667
"AR";25,2;1
"AR";25,3;1
"AR";25,4;8,5
"AR";25,5;0,19047619047619
"AR";25,6;1,12244897959184
"AR";25,7;4,41666666666667
"AR";25,9;1,0291156462585
"AR";26,1;8,95757575757576
"AR";26,11;0,975829725829726
"AR";26,2;88,8201659451659
"AR";26,3;90,107729468599
"AR";26,4;6,41666666666667
"AR";26,5;56,6654151404151
"AR";26,51;15,0416666666667
"AR";26,52;0,333333333333333
"AR";26,6;24,55
"AR";26,7;2,28333333333333
"AR";26,8;0,2
"AR";27,1;8,36666666666667
"AR";27,12;3,25
"AR";27,2;3,04166666666667
"AR";27,3;0,416666666666667
"AR";27,33;5,5
"AR";27,4;1,45
"AR";27,5;42,0694444444444
"AR";27,9;7,31944444444444
"AR";28,1;26,3131313131313
"AR";28,11;3,16666666666667
"AR";28,14;1,375
"AR";28,21;1,16666666666667
