"ctry_code";"nace2_code";"n_tech_reg"
"AD";11;1
"AD";20,2;0,0625
"AD";20,4;1
"AD";20,42;1
"AD";21;0,0625
"AD";22;1,5
"AD";23,1;2
"AD";23,3;1,5
"AD";25,4;0,5
"AD";26,1;0,333333333333333
"AD";26,2;1
"AD";26,5;0,333333333333333
"AD";26,51;0,5
"AD";26,6;2,33333333333333
"AD";28,1;0,5
"AD";28,14;0,5
"AD";28,23;1
"AD";28,29;1
"AD";28,3;1
"AD";28,9;2
"AD";28,94;0,5
"AD";29,1;3
"AD";30;6
"AD";32;1,33333333333333
"AD";32,5;9
"AD";32,9;1
"AD";42,91;1,5
"AD";43;1,5
"AE";15;0,5
"AE";18,1;0,666666666666667
"AE";19;0,666666666666667
"AE";20,1;3,225
"AE";20,2;0,366666666666667
"AE";20,4;0,833333333333333
"AE";20,42;0,833333333333333
"AE";21;1,83333333333333
"AE";22;0,0833333333333333
"AE";22,2;0,5
"AE";23,1;1
"AE";23,42;1
"AE";23,5;0,291666666666667
"AE";25,1;0,5
"AE";26,1;1,45
"AE";26,2;1
"AE";26,3;6,30952380952381
"AE";26,5;6,95833333333333
"AE";26,51;1,1
"AE";26,7;0,5
"AE";27,33;0,5
"AE";27,5;0,2
"AE";28,1;7,36666666666667
"AE";28,22;0,75
"AE";28,23;10,25
"AE";28,25;0,5
"AE";28,29;2,53333333333333
"AE";28,3;3
"AE";28,4;0,666666666666667
"AE";28,9;10,2845238095238
"AE";29,1;3,5
"AE";30;1,91666666666667
"AE";31;1
"AE";32;3,41666666666667
"AE";32,5;3,625
"AE";32,9;2,58333333333333
"AE";42,2;0,333333333333333
"AE";42,91;0,5
"AE";43;0,166666666666667
"AE";62;2,125
"AF";25,7;0,5
"AG";10;0,5
"AG";21;0,2
"AG";26,1;1,75
"AG";26,5;0,25
"AG";27,33;0,5
"AG";27,9;1
"AG";28,23;3,5
"AG";28,29;0,5
"AG";29,1;0,5
"AG";31;1
"AG";32;2
"AG";32,9;1
"AI";22;0,5
"AI";23,5;0,5
"AI";27,9;0,125
"AI";28,92;0,375
"AI";30;0,625
"AI";32,5;1,5
"AI";43;0,375
"AI";62;1
"AL";20,1;0,361111111111111
"AL";21;1,06666666666667
"AL";25,4;0,5
"AL";26,5;0,5
"AL";27,12;0,333333333333333
"AL";27,3;0,111111111111111
"AL";27,5;1
"AL";28,1;1
"AL";28,11;0,5
"AL";28,23;1
"AL";28,29;1,86111111111111
"AL";29,1;1
"AL";30;1,5
"AL";32;3
"AL";32,5;0,5
"AL";32,9;1
"AM";10;5,95833333333333
"AM";11;2,75
"AM";13;0,25
"AM";20,1;3,58333333333333
"AM";20,3;0,5
"AM";20,5;0,595238095238095
"AM";21;14,0950577200577
"AM";23,3;1,75
"AM";23,5;1,33333333333333
"AM";25,5;0,226190476190476
"AM";25,7;4
"AM";26,1;5,35535714285714
"AM";26,2;3,39583333333333
"AM";26,3;3,16666666666667
"AM";26,5;6,95319264069264
"AM";26,51;2,16666666666667
"AM";26,7;1
"AM";27,1;0,666666666666667
"AM";27,5;1
"AM";28,1;2,08333333333333
"AM";28,22;0,25
"AM";28,23;0,166666666666667
"AM";28,25;1
"AM";28,29;1,15
"AM";28,4;5,53333333333333
"AM";28,9;3,08333333333333
"AM";28,92;0,916666666666667
"AM";29,1;1
"AM";31;1
"AM";32;3,5
"AM";32,5;12
"AM";32,9;0,5625
"AM";43;14,0039682539683
"AN";14;2
"AN";17;1
"AN";20,1;5
"AN";20,5;2,5
"AN";21;7,2
"AN";22;0,5
"AN";23;0,333333333333333
"AN";23,1;0,2
"AN";23,3;0,5
"AN";24;1
"AN";25,1;0,5
"AN";25,2;0,333333333333333
"AN";25,3;0,5
"AN";25,7;4
"AN";26,1;2
"AN";26,2;1
"AN";26,3;8,5
"AN";26,5;4
"AN";26,51;6
"AN";26,6;1
"AN";26,7;0,666666666666667
"AN";27,33;5,5
"AN";27,5;2,33333333333333
"AN";28,1;5,33333333333333
"AN";28,11;0,5
"AN";28,21;0,5
"AN";28,23;2
"AN";28,25;3
"AN";28,29;1
"AN";28,3;4,5
"AN";28,9;4,83333333333333
"AN";28,94;0,833333333333333
"AN";29,1;1,5
"AN";30;2
"AN";32;0,833333333333333
"AN";32,5;8,36666666666667
"AN";32,9;1
"AN";43;4,5
"AO";20,2;0,25
"AO";21;0,416666666666667
"AO";26,5;0,5
"AO";27,12;1
"AO";28,9;0,5
"AO";28,92;0,5
"AP";28,3;0,25
"AP";28,9;0,25
"AR";10;26,5992592592593
"AR";11;0,544444444444445
"AR";12;1
"AR";13;0,958333333333333
"AR";14;3,5
"AR";15;1
"AR";16;3
"AR";17;1,125
"AR";18,1;2,25
"AR";19;2,58333333333333
"AR";20,1;27,4873737373737
"AR";20,2;9,20925925925926
"AR";20,3;1,95833333333333
"AR";20,4;4,5
"AR";20,42;1
"AR";20,5;4,29166666666667
"AR";20,51;1,25
"AR";20,6;1,04166666666667
"AR";21;140,013150209579
"AR";22;23,1440476190476
"AR";22,2;1
"AR";23;2,05666666666667
"AR";23,1;2,48333333333333
"AR";23,3;2
"AR";23,42;5,5
"AR";23,5;1,33333333333333
"AR";24;3,21666666666667
"AR";25,1;4,5
"AR";25,4;4
"AR";25,6;0,375
"AR";25,7;11
"AR";25,9;14,0733333333333
"AR";25,94;1
"AR";26,1;5,62222222222222
"AR";26,11;0,0416666666666667
"AR";26,2;10,3583333333333
"AR";26,3;23,9150793650794
"AR";26,4;3
"AR";26,5;22,5972222222222
"AR";26,51;2,08333333333333
"AR";26,6;9,83333333333333
"AR";26,7;2,75
"AR";26,8;0,75
"AR";27,1;4,5
"AR";27,12;1,83333333333333
"AR";27,3;4,5
"AR";27,33;17,6666666666667
"AR";27,4;2,83333333333333
"AR";27,5;33,25
"AR";27,9;4,83333333333333
"AR";28,1;50,2222222222222
"AR";28,11;6
"AR";28,14;4,5
"AR";28,21;1
"AR";28,22;6
"AR";28,23;11,75
"AR";28,25;14,5
"AR";28,29;20,775
"AR";28,3;43,6388888888889
"AR";28,4;13,4666666666667
"AR";28,9;61,1911904761905
"AR";28,92;0,5
"AR";28,94;5,33333333333333
"AR";28,99;2,70833333333333
"AR";29,1;63,6166666666667
"AR";30;22,5833333333333
"AR";31;13,8333333333333
"AR";32;34,2833333333333
"AR";32,5;143,942135642136
"AR";32,9;58,5507142857143
"AR";42,2;1
"AR";42,91;0,5
"AR";43;15
"AR";62;4,33333333333333
"AS";28,4;1
"AT";10;104,955555555556
"AT";10,5;8,83333333333333
"AT";11;21,9166666666667
"AT";12;6,25
"AT";13;64,3188492063492
"AT";14;58,3
"AT";15;66,7666666666667
"AT";16;30,7833333333333
"AT";17;80,9974206349206
"AT";18,1;42,6097222222222
"AT";19;20,6559523809524
"AT";20,1;949,54104016354
"AT";20,2;24,9380952380952
"AT";20,3;96,3346560846561
"AT";20,4;24,0027777777778
"AT";20,42;6,31944444444444
"AT";20,5;103,275992063492
"AT";20,51;28,125
"AT";20,6;57,7583333333333
"AT";21;1052,17278508529
"AT";22;489,478888888889
"AT";22,1;0,266666666666667
"AT";22,2;53,1388888888889
"AT";23;74,2026785714286
"AT";23,1;35,6585317460317
"AT";23,3;37,5553571428571
"AT";23,42;12,5833333333333
"AT";23,5;185,127400793651
"AT";24;588,961147186147
"AT";25,1;102,157070707071
"AT";25,2;29,7083333333333
"AT";25,3;3,33333333333333
"AT";25,4;84,4666666666667
"AT";25,5;38,9210317460317
"AT";25,6;29,9400793650794
"AT";25,7;465,910353535354
"AT";25,9;163,375396825397
"AT";25,94;39,9166666666667
"AT";26,1;569,129852092352
"AT";26,11;2,23472222222222
"AT";26,2;226,137566137566
"AT";26,3;893,292203860954
"AT";26,4;167,482407407407
"AT";26,5;743,887120980871
"AT";26,51;175,730652218152
"AT";26,52;19,9074074074074
"AT";26,6;53,9293650793651
"AT";26,7;145,596296296296
"AT";26,8;1,30555555555556
"AT";27,1;129,913075396825
"AT";27,12;70,5861111111111
"AT";27,2;70,5333333333333
"AT";27,3;38,0928571428571
"AT";27,33;323,15
"AT";27,4;144,405555555556
"AT";27,5;445,119246031746
"AT";27,9;334,583302808303
"AT";28,1;672,530108086358
"AT";28,11;99,45625
"AT";28,14;39,2638888888889
"AT";28,21;76,7919372294372
"AT";28,22;207,380555555556
"AT";28,23;301,040114977615
"AT";28,25;70,5892857142857
"AT";28,29;665,88097041847
"AT";28,3;273,230952380952
"AT";28,4;786,738841991342
"AT";28,9;955,075649350649
"AT";28,92;120,367635387488
"AT";28,94;125,221944444444
"AT";28,95;166,061111111111
"AT";28,99;124,268253968254
"AT";29,1;1170,66332556333
"AT";29,3;5,7260101010101
"AT";30;543,337357781108
"AT";31;306,516666666667
"AT";32;711,335595238095
"AT";32,5;584,894325396825
"AT";32,9;268,29537037037
"AT";42,2;13,1944444444444
"AT";42,91;21,5833333333333
"AT";43;479,450793650794
"AT";62;38,6539682539683
"AU";10;516,73556998557
"AU";10,5;26,25
"AU";11;46,8706349206349
"AU";12;44,3333333333333
"AU";13;69,1873015873016
"AU";14;151,233333333333
"AU";15;114,25
"AU";16;40,1333333333333
"AU";17;110,466666666667
"AU";18,1;184,881746031746
"AU";19;105,45
"AU";20,1;1403,68274157616
"AU";20,2;261,95
"AU";20,3;95,7411375661376
"AU";20,4;113,913095238095
"AU";20,42;31,0019841269841
"AU";20,5;135,939153439153
"AU";20,51;115,8
"AU";20,6;16,6166666666667
"AU";21;3286,28379571953
"AU";22;437,206385756057
"AU";22,1;1,08333333333333
"AU";22,2;21,7111111111111
"AU";23;160,351005291005
"AU";23,1;58,9819865319865
"AU";23,3;122,914285714286
"AU";23,42;107,75
"AU";23,5;117,884632034632
"AU";24;493,267857142857
"AU";24,46;1,66666666666667
"AU";25,1;94,3666666666667
"AU";25,2;49,3333333333333
"AU";25,3;10,1666666666667
"AU";25,4;119,666666666667
"AU";25,5;7,01666666666667
"AU";25,6;13,7
"AU";25,7;950,598611111111
