ipc;not_with_ipc;unless_with_ipc;nace2_code;nace2_weight;nace2_descr
A01B;;;28.3;1;Manufacture of Agricultural and Forestry Machinery
A01C;;;28.3;1;Manufacture of Agricultural and Forestry Machinery
A01D;;;28.3;1;Manufacture of Agricultural and Forestry Machinery
A01F;;;28.3;1;Manufacture of Agricultural and Forestry Machinery
A01G;;;28.3;1;Manufacture of Agricultural and Forestry Machinery
A01H;;;10;1;Manufacture of Food Products
A01J;;;10.5;1;Manufacture of Dairy Products
A01K;;;28.3;1;Manufacture of Agricultural and Forestry Machinery
A01L;;;25.9;1;Manufacture of Other Fabricated Metal Products
A01M;;;28.3;1;Manufacture of Agricultural and Forestry Machinery
A01N;;;20.2;1;Manufacture of pesticides and other agrochemical products
A01P;;;20.2;1;Manufacture of Pesticides and Other Agrochemical Products
A21B;;;27.5;1;Manufacture of Domestic Appliances
A21C;;;28.9;1;Manufacture of Other Special-Purpose Machinery
A21D;;;10;1;Manufacture of Food Products
A22B;;;28.9;1;Manufacture of Other Special-Purpose Machinery
A22C;;;28.9;1;Manufacture of Other Special-Purpose Machinery
A23B;;;10;1;Manufacture of Food Products
A23C;;;10;1;Manufacture of Food Products
A23D;;;10;1;Manufacture of Food Products
A23F;;;10;1;Manufacture of Food Products
A23G;;;10;1;Manufacture of Food Products
A23J;;;10;1;Manufacture of Food Products
A23K;;;10;1;Manufacture of Food Products
A23L   1;;;10;1;Manufacture of Food Products
A23L   2;;;11;1;Manufacture of Beverages
A23L   3;;;10;1;Manufacture of Food Products
A23L   5;;;10;1;Manufacture of Food Products
A23L   7;;;10;1;Manufacture of Food Products
A23L   9;;;10;1;Manufacture of Food Products
A23L  11;;;10;1;Manufacture of Food Products
A23L  13;;;10;1;Manufacture of Food Products
A23L  15;;;10;1;Manufacture of Food Products
A23L  17;;;10;1;Manufacture of Food Products
A23L  19;;;10;1;Manufacture of Food Products
A23L  21;;;10;1;Manufacture of Food Products
A23L  23;;;10;1;Manufacture of Food Products
A23L  25;;;10;1;Manufacture of Food Products
A23L  27;;;10;1;Manufacture of Food Products
A23L  29;;;10;1;Manufacture of Food Products
A23L  31;;;10;1;Manufacture of Food Products
A23L  33;;;10;1;Manufacture of Food Products
A23L  35;;;10;1;Manufacture of Food Products
A23N;;;28.9;1;Manufacture of Other Special-Purpose Machinery
A23P;;;10;1;Manufacture of Food Products
A24B;;;12;1;Manufacture of Tobacco Products
A24C;;;28.9;1;Manufacture of Other Special-Purpose Machinery
A24D;;;12;1;Manufacture of Tobacco Products
A24F;;;12;1;Manufacture of Tobacco Products
A41B;;;14;1;Manufacture of Wearing Apparel
A41C;;;14;1;Manufacture of Wearing Apparel
A41D;;;14;1;Manufacture of Wearing Apparel
A41F;;;14;1;Manufacture of Wearing Apparel
A41G;;;32;1;Other Manufacturing
A41H;;;28.9;1;Manufacture of Other Special-Purpose Machinery
A42B;;;32;1;Other Manufacturing
A42C;;;28.9;1;Manufacture of Other Special-Purpose Machinery
A43B;;;15;1;Manufacture of Leather and Related Products
A43C;;;15;1;Manufacture of Leather and Related Products
A43D;;;28.9;1;Manufacture of Other Special-Purpose Machinery
A44B;;;25.1;1;Manufacture of Structural Metal Products
A44C;;;32;1;Other Manufacturing
A45B;;;32;1;Other Manufacturing
A45C;;;32;1;Other Manufacturing
A45D;;;27.5;1;Manufacture of Domestic Appliances
A45F;;;32;1;Other Manufacturing
A46B;;;32;1;Other Manufacturing
A46D;;;32;1;Other Manufacturing
A47B;;;31;1;Manufacture of Furniture
A47C;;;31;1;Manufacture of Furniture
A47D;;;31;1;Manufacture of Furniture
A47F;;;31;1;Manufacture of Furniture
A47G;;;27.5;1;Manufacture of Domestic Appliances
A47H;;;25.1;1;Manufacture of Structural Metal Products
