"";"X1960";"X1961";"X1962";"X1963";"X1964";"X1965";"X1966";"X1967";"X1968";"X1969";"X1970";"X1971";"X1972";"X1973";"X1974";"X1975";"X1976";"X1977";"X1978";"X1979";"X1980";"X1981";"X1982";"X1983";"X1984";"X1985";"X1986";"X1987";"X1988";"X1989";"X1990";"X1991";"X1992";"X1993";"X1994";"X1995";"X1996";"X1997";"X1998";"X1999";"X2000";"X2001";"X2002";"X2003";"X2004";"X2005";"X2006";"X2007";"X2008";"X2009";"X2010";"X2011";"X2012";"X2013";"X2014";"X2015";"X2016";"X2017";"X2018"
"1";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-5";"A01B-2";"A01B-3";"A01B-9";"A01B-5";"A01B-4";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-6";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-6";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-3";"A01B-0";"A01B-8"
"2";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-1";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-12";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-7";"A01C-1";"A01C-5";"A01C-12";"A01C-5";"A01C-0";"A01C-9"
"3";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-5";"A01D-2";"A01D-0";"A01D-3";"A01D-6";"A01D-0";"A01D-1";"A01D-0";"A01D-0";"A01D-3";"A01D-3";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-8";"A01D-0";"A01D-0";"A01D-0";"A01D-6";"A01D-0";"A01D-12";"A01D-0";"A01D-18";"A01D-2"
"4";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-5";"A01G-0";"A01G-0";"A01G-0";"A01G-8";"A01G-0";"A01G-2";"A01G-0";"A01G-3";"A01G-0";"A01G-0";"A01G-3";"A01G-0";"A01G-18";"A01G-5";"A01G-6";"A01G-4";"A01G-0";"A01G-2";"A01G-3";"A01G-0";"A01G-16";"A01G-3";"A01G-23";"A01G-16";"A01G-8";"A01G-10";"A01G-104";"A01G-65";"A01G-47"
"5";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-6";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-1";"A01H-0";"A01H-10";"A01H-0"
"6";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-1";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-2";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-6";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-7";"A01J-0"
"7";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-4";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-6";"A01K-0";"A01K-0";"A01K-1";"A01K-8";"A01K-1";"A01K-0";"A01K-0";"A01K-4";"A01K-3";"A01K-0";"A01K-6";"A01K-15";"A01K-8";"A01K-5";"A01K-60";"A01K-79";"A01K-82";"A01K-48"
"8";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-5";"A01M-0";"A01M-0";"A01M-3";"A01M-0";"A01M-0";"A01M-3";"A01M-5";"A01M-25";"A01M-38"
"9";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-1";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-3";"A01N-0";"A01N-0";"A01N-0";"A01N-20";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-12";"A01N-0";"A01N-0"
"10";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-4";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0"
