"";"X1960";"X1961";"X1962";"X1963";"X1964";"X1965";"X1966";"X1967";"X1968";"X1969";"X1970";"X1971";"X1972";"X1973";"X1974";"X1975";"X1976";"X1977";"X1978";"X1979";"X1980";"X1981";"X1982";"X1983";"X1984";"X1985";"X1986";"X1987";"X1988";"X1989";"X1990";"X1991";"X1992";"X1993";"X1994";"X1995";"X1996";"X1997";"X1998";"X1999";"X2000";"X2001";"X2002";"X2003";"X2004";"X2005";"X2006";"X2007";"X2008";"X2009";"X2010";"X2011";"X2012";"X2013";"X2014";"X2015";"X2016";"X2017";"X2018"
"1";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-6"
"2";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-7";"A01C-1";"A01C-5";"A01C-10";"A01C-5";"A01C-0";"A01C-9"
"3";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-8";"A01D-0";"A01D-0";"A01D-0";"A01D-4";"A01D-0";"A01D-12";"A01D-0";"A01D-12";"A01D-2"
"4";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-3";"A01G-0";"A01G-0";"A01G-0";"A01G-3";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-18";"A01G-0";"A01G-6";"A01G-0";"A01G-0";"A01G-2";"A01G-3";"A01G-0";"A01G-14";"A01G-3";"A01G-22";"A01G-12";"A01G-8";"A01G-6";"A01G-21";"A01G-37";"A01G-41"
"5";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-10";"A01H-0"
"6";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-7";"A01J-0"
"7";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-3";"A01K-0";"A01K-6";"A01K-3";"A01K-7";"A01K-5";"A01K-59";"A01K-67";"A01K-66";"A01K-48"
"8";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-5";"A01M-0";"A01M-0";"A01M-3";"A01M-0";"A01M-0";"A01M-2";"A01M-0";"A01M-10";"A01M-35"
"9";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-20";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-12";"A01N-0";"A01N-0"
"10";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-4";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0";"A01P-0"
