"";"priority_year";"appln_id";"appln_id2";"patent_office";"ctry_code";"source";"kinds";"appln_id3";"ipc_class_symbol";"ipc_class_level";"ipc_version";"ipc_value";"ipc_position";"ipc_gener_auth";"Subclass3";"X"
"1";1960;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
"2";1961;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2
"3";1962;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3
"4";1963;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4
"5";1964;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5
"6";1965;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6
"7";1966;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7
"8";1967;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8
"9";1968;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9
"10";1969;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10
"11";1970;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11
"12";1971;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12
"13";1972;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13
"14";1973;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14
"15";1974;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15
"16";1975;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16
"17";1976;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17
"18";1977;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18
"19";1978;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19
"20";1979;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20
"21";1980;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21
"22";1981;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22
"23";1982;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23
"24";1983;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;24
"25";1984;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25
"26";1985;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26
"27";1986;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;27
"28";1987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;28
"29";1988;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;29
"30";1989;39844862;39844862;"KR";"KR";1;"priority";39844862;"G06N   3/063";"A";"01/01/2006";"I";" ";"EP";"G06N";30
"31";1989;39844863;39844863;"KR";"KR";1;"priority";39844863;"H01L  21/00";"A";"01/01/2006";"I";"F";"KR";"H01L";30
"32";1989;39844860;39844860;"KR";"KR";1;"priority";39844860;"G06F   7/52";"A";"01/01/2006";"I";" ";"EP";"G06F";30
"33";1989;39844861;39844861;"KR";"KR";1;"priority";39844861;"G06F   7/50";"A";"01/01/2006";"I";" ";"EP";"G06F";30
"34";1989;39844861;39844861;"KR";"KR";1;"priority";39844861;"G06N   3/063";"A";"01/01/2006";"I";" ";"EP";"G06N";30
"35";1989;39844861;39844861;"KR";"KR";1;"priority";39844861;"G06F   7/501";"A";"01/01/2006";"I";" ";"EP";"G06F";30
"36";1989;39844860;39844860;"KR";"KR";1;"priority";39844860;"G06F   7/60";"A";"01/01/2006";"I";" ";"EP";"G06F";30
"37";1989;39844859;39844859;"KR";"KR";1;"priority";39844859;"H03M   1/12";"A";"01/01/2006";"I";"F";"KR";"H03M";30
"38";1989;39844859;39844859;"KR";"KR";1;"priority";39844859;"H03M   1/42";"A";"01/01/2006";"I";" ";"EP";"H03M";30
"39";1989;39844863;39844863;"KR";"KR";1;"priority";39844863;"H01L  27/14";"A";"01/01/2006";"I";"L";"KR";"H01L";30
"40";1989;39844862;39844862;"KR";"KR";1;"priority";39844862;"G11C  11/40";"A";"01/01/2006";"I";"F";"KR";"G11C";30
"41";1990;39877864;39877864;"KR";"KR";1;"priority";39877864;"H01L  27/04";"A";"01/01/2006";"I";"L";"JP";"H01L";31
"42";1990;39877864;39877864;"KR";"KR";1;"priority";39877864;"G06N   3/063";"A";"01/01/2006";"I";" ";"EP";"G06N";31
"43";1990;39877865;39877865;"KR";"KR";1;"priority";39877865;"G06N  99/00";"A";"01/01/2010";"I";"L";"EP";"G06N";31
"44";1990;39869722;39869722;"KR";"KR";1;"priority";39869722;"G06F   7/535";"A";"01/01/2006";"I";" ";"EP";"G06F";31
"45";1990;39870655;39870655;"KR";"KR";1;"priority";39870655;"G06F   7/52";"A";"01/01/2006";"I";" ";"EP";"G06F";31
"46";1990;39877864;39877864;"KR";"KR";1;"priority";39877864;"G11C  11/54";"A";"01/01/2006";"I";"L";"JP";"G11C";31
"47";1990;39869722;39869722;"KR";"KR";1;"priority";39869722;"G06F   7/535";"A";"01/01/2006";"I";" ";"EP";"G06F";31
"48";1990;39869726;39869726;"KR";"KR";1;"priority";39869726;"G06F   7/485";"A";"01/01/2006";"I";" ";"EP";"G06F";31
"49";1990;39869726;39869726;"KR";"KR";1;"priority";39869726;"G06F   7/50";"A";"01/01/2006";"I";" ";"EP";"G06F";31
"50";1990;39877864;39877864;"KR";"KR";1;"priority";39877864;"G06F  15/18";"A";"01/01/2006";"I";"F";"JP";"G06F";31
"51";1990;39877865;39877865;"KR";"KR";1;"priority";39877865;"G06F  15/18";"A";"01/01/2006";"I";"F";"JP";"G06F";31
"52";1990;39870655;39870655;"KR";"KR";1;"priority";39870655;"G06F   7/487";"A";"01/01/2006";"I";" ";"EP";"G06F";31
"53";1990;39874590;39874590;"KR";"KR";1;"priority";39874590;"G06F  11/10";"A";"01/01/2006";"I";" ";"EP";"G06F";31
"54";1990;39877864;39877864;"KR";"KR";1;"priority";39877864;"H01L  21/822";"A";"01/01/2006";"I";"L";"JP";"H01L";31
"55";1990;39880373;39880373;"KR";"KR";1;"single";39880373;"G06F  15/18";"A";"01/01/2006";"I";"F";"KR";"G06F";31
"56";1990;39877865;39877865;"KR";"KR";1;"priority";39877865;"H01L  27/04";"A";"01/01/2006";"I";"L";"JP";"H01L";31
"57";1990;39869721;39869721;"KR";"KR";1;"priority";39869721;"G06F  17/14";"A";"01/01/2006";"I";" ";"EP";"G06F";31
"58";1990;39887327;39887327;"KR";"KR";1;"single";39887327;"C21B   5/00";"A";"01/01/2006";"I";" ";"EP";"C21B";31
"59";1990;39877865;39877865;"KR";"KR";1;"priority";39877865;"G06G   7/60";"A";"01/01/2006";"I";"L";"JP";"G06G";31
"60";1990;39887327;39887327;"KR";"KR";1;"single";39887327;"C21B   5/00";"A";"01/01/2006";"I";" ";"EP";"C21B";31
"61";1990;39874590;39874590;"KR";"KR";1;"priority";39874590;"G06F  11/00";"A";"01/01/2006";"I";"F";"KR";"G06F";31
"62";1990;39877864;39877864;"KR";"KR";1;"priority";39877864;"G06G   7/60";"A";"01/01/2006";"I";"L";"JP";"G06G";31
"63";1990;39869722;39869722;"KR";"KR";1;"priority";39869722;"G06F   7/52";"A";"01/01/2006";"I";" ";"EP";"G06F";31
"64";1990;39883843;39883843;"KR";"KR";1;"single";39883843;"G06F  15/18";"A";"01/01/2006";"I";"F";"KR";"G06F";31
"65";1990;39877865;39877865;"KR";"KR";1;"priority";39877865;"G06N   3/04";"A";"01/01/2006";"I";"L";"JP";"G06N";31
"66";1990;39874470;39874470;"KR";"KR";1;"priority";39874470;"G06F  11/10";"A";"01/01/2006";"I";" ";"EP";"G06F";31
"67";1990;39877864;39877864;"KR";"KR";1;"priority";39877864;"G06N   3/063";"A";"01/01/2006";"I";" ";"EP";"G06N";31
"68";1990;39877864;39877864;"KR";"KR";1;"priority";39877864;"G06G   7/60";"A";"01/01/2006";"I";"L";"JP";"G06G";31
"69";1990;39873640;39873640;"KR";"KR";1;"single";39873640;"G06F  15/18";"A";"01/01/2006";"I";" ";"EP";"G06F";31
"70";1990;39869726;39869726;"KR";"KR";1;"priority";39869726;"G06F   7/50";"A";"01/01/2006";"I";" ";"EP";"G06F";31
"71";1990;39873640;39873640;"KR";"KR";1;"single";39873640;"G06F  15/18";"A";"01/01/2006";"I";" ";"EP";"G06F";31
"72";1990;39880373;39880373;"KR";"KR";1;"single";39880373;"G02F   1/133";"A";"01/01/2006";"I";"L";"KR";"G02F";31
"73";1990;39869723;39869723;"KR";"KR";1;"priority";39869723;"G06F   7/52";"A";"01/01/2006";"I";" ";"EP";"G06F";31
"74";1990;39869723;39869723;"KR";"KR";1;"priority";39869723;"G06F   7/52";"A";"01/01/2006";"I";" ";"EP";"G06F";31
"75";1990;39869721;39869721;"KR";"KR";1;"priority";39869721;"G06N   3/063";"A";"01/01/2006";"I";" ";"EP";"G06N";31
"76";1990;39874470;39874470;"KR";"KR";1;"priority";39874470;"G06F  11/16";"A";"01/01/2006";"I";"F";"KR";"G06F";31
"77";1990;39880373;39880373;"KR";"KR";1;"single";39880373;"G06F  15/18";"A";"01/01/2006";"I";"F";"KR";"G06F";31
"78";1990;39874470;39874470;"KR";"KR";1;"priority";39874470;"G06N   3/063";"A";"01/01/2006";"I";" ";"EP";"G06N";31
"79";1990;39877864;39877864;"KR";"KR";1;"priority";39877864;"G06F  15/18";"A";"01/01/2006";"I";"F";"JP";"G06F";31
"80";1990;39887327;39887327;"KR";"KR";1;"single";39887327;"C21B   5/00";"A";"01/01/2006";"I";" ";"EP";"C21B";31
