"";"X1960";"X1961";"X1962";"X1963";"X1964";"X1965";"X1966";"X1967";"X1968";"X1969";"X1970";"X1971";"X1972";"X1973";"X1974";"X1975";"X1976";"X1977";"X1978";"X1979";"X1980";"X1981";"X1982";"X1983";"X1984";"X1985";"X1986";"X1987";"X1988";"X1989";"X1990";"X1991";"X1992";"X1993";"X1994";"X1995";"X1996";"X1997";"X1998";"X1999";"X2000";"X2001";"X2002";"X2003";"X2004";"X2005";"X2006";"X2007";"X2008";"X2009";"X2010";"X2011";"X2012";"X2013";"X2014";"X2015";"X2016";"X2017";"X2018"
"1";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-19";"A01G-0";"A01G-0"
"2";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-12";"A01K-0";"A01K-0";"A01K-0";"A01K-12";"A01K-9";"A01K-0"
"3";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-3"
"4";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-2";"A47L-2";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-0";"A47L-14";"A47L-5";"A47L-0"
"5";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-1";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-0";"A61B-10";"A61B-9";"A61B-10";"A61B-4";"A61B-20";"A61B-1";"A61B-30";"A61B-0";"A61B-8";"A61B-30";"A61B-37";"A61B-139";"A61B-165";"A61B-41"
"6";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-0";"A61C-3";"A61C-0";"A61C-0"
"7";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-12";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0";"A61D-0"
"8";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-14";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-0";"A61F-1";"A61F-0"
"9";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-1";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0";"A61G-0"
"10";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-1";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-0";"A61H-1";"A61H-0"
"11";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-0";"A61K-4";"A61K-0";"A61K-2";"A61K-0";"A61K-0";"A61K-0";"A61K-0"
"12";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-0";"A61M-6";"A61M-4";"A61M-0"
"13";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-0";"A61N-3";"A61N-0";"A61N-0";"A61N-12";"A61N-4";"A61N-3";"A61N-10";"A61N-0"
"14";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-4";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0";"A61P-0"
"15";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-3";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0";"A61Q-0"
"16";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-3";"A63B-0";"A63B-0";"A63B-0";"A63B-0";"A63B-0"
"17";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-0";"A63F-6";"A63F-2";"A63F-2"
"18";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-0";"B01D-19";"B01D-0"
"19";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-6";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0";"B01J-0"
"20";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-0";"B01L-3";"B01L-0";"B01L-0"
