"";"X1960";"X1961";"X1962";"X1963";"X1964";"X1965";"X1966";"X1967";"X1968";"X1969";"X1970";"X1971";"X1972";"X1973";"X1974";"X1975";"X1976";"X1977";"X1978";"X1979";"X1980";"X1981";"X1982";"X1983";"X1984";"X1985";"X1986";"X1987";"X1988";"X1989";"X1990";"X1991";"X1992";"X1993";"X1994";"X1995";"X1996";"X1997";"X1998";"X1999";"X2000";"X2001";"X2002";"X2003";"X2004";"X2005";"X2006";"X2007";"X2008";"X2009";"X2010";"X2011";"X2012";"X2013";"X2014";"X2015";"X2016";"X2017";"X2018"
"1";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-1";"A01B-0";"A01B-2";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-6";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-1";"A01B-0";"A01B-0";"A01B-0";"A01B-0";"A01B-3";"A01B-0";"A01B-0"
"2";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-1";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-0";"A01C-2";"A01C-0";"A01C-0";"A01C-0"
"3";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-2";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-3";"A01D-3";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-0";"A01D-1";"A01D-0";"A01D-0";"A01D-0";"A01D-2";"A01D-0"
"4";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-1";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-4";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-2";"A01G-0";"A01G-0";"A01G-0";"A01G-0";"A01G-2";"A01G-55";"A01G-0";"A01G-2"
"5";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-6";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0";"A01H-0"
"6";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-2";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0";"A01J-0"
"7";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-7";"A01K-0";"A01K-0";"A01K-0";"A01K-4";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0";"A01K-0"
"8";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-0";"A01M-1";"A01M-5";"A01M-15";"A01M-0"
"9";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-1";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-3";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0";"A01N-0"
"10";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-1";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0";"A23C-0"
