"";"MORc(Surrounding_2nd, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AD";47,605850293207;47,605850293207;1;132;2,81060606060606
"AE";44,325921176687;44,325921176687;5;76,4;2,96748928833638
"AG";25,5672515871388;25,5672515871388;2;74,5;2,89414913252123
"AI";43,691782795854;43,691782795854;2;115;2,91550711193568
"AL";24,3115080346543;24,3115080346543;4;79,5;2,81029323850752
"AM";80,1932846525219;80,1932846525219;3;68;3,11232108655397
"AN";32,4153440462057;32,4153440462057;3;97,6666666666667;2,85372431801003
"AO";9,86246654690911;9,86246654690911;1;63;2,73015873015873
"AR";42,8852007396922;42,8852007396922;3;105,333333333333;2,96305125291836
"AT";34,6295171914964;34,6295171914964;4;94,75;2,90482812222845
"AU";42,8852007396922;42,8852007396922;3;105,333333333333;2,96305125291836
"AZ";32,9134511558282;32,9134511558282;3;93,6666666666667;2,86630144188284
"BA";23,8029251466035;23,8029251466035;2;78,5;2,74530303030303
"BB";44,4389434602877;44,4389434602877;2;109;2,93437279774489
"BD";96,4870018321793;96,4870018321793;2;36;3,26317859952793
"BE";64,325921176687;64,325921176687;5;77,6;3,08310219156219
"BG";32,9134511558282;32,9134511558282;3;93,6666666666667;2,86630144188284
"BH";80,1932846525219;80,1932846525219;3;68;3,11232108655397
"BM";62,4611885305694;62,4611885305694;3;87;3,02969291333347
"BO";55,4074014708588;55,4074014708588;4;89,25;3,03936161042048
"BR";42,8852007396922;42,8852007396922;3;105,333333333333;2,96305125291836
"BS";43,691782795854;43,691782795854;2;115;2,91550711193568
"BY";34,6295171914964;34,6295171914964;4;94,75;2,90482812222845
"BZ";0;0;1;25;2,68
"CA";64,325921176687;64,325921176687;5;77,6;3,08310219156219
"CF";47,605850293207;47,605850293207;1;132;2,81060606060606
"CG";22,7280546181947;22,7280546181947;4;68;2,87217660707694
"CH";42,8852007396922;42,8852007396922;3;105,333333333333;2,96305125291836
"CI";43,691782795854;43,691782795854;2;115;2,91550711193568
"CL";34,6295171914964;34,6295171914964;4;94,75;2,90482812222845
"CM";9,86246654690911;9,86246654690911;1;63;2,73015873015873
"CN";70,0893923140167;70,0893923140167;4;75,5;3,08934285573181
"CO";43,691782795854;43,691782795854;2;115;2,91550711193568
"CR";42,8852007396922;42,8852007396922;3;105,333333333333;2,96305125291836
"CS";32,4153440462057;32,4153440462057;3;97,6666666666667;2,85372431801003
"CU";43,691782795854;43,691782795854;2;115;2,91550711193568
"CV";39,7777152985011;39,7777152985011;1;98;3,02040816326531
"CY";47,605850293207;47,605850293207;1;132;2,81060606060606
"CZ";34,6295171914964;34,6295171914964;4;94,75;2,90482812222845
"DD";28,7341584200581;28,7341584200581;2;97,5;2,7703823953824
"DE";34,6295171914964;34,6295171914964;4;94,75;2,90482812222845
"DK";62,9592956401918;62,9592956401918;3;83;3,04227003720627
"DO";43,691782795854;43,691782795854;2;115;2,91550711193568
"DZ";47,605850293207;47,605850293207;1;132;2,81060606060606
"EC";32,4153440462057;32,4153440462057;3;97,6666666666667;2,85372431801003
"EE";42,8852007396922;42,8852007396922;3;105,333333333333;2,96305125291836
"EG";80,1932846525219;80,1932846525219;3;68;3,11232108655397
"ES";42,8852007396922;42,8852007396922;3;105,333333333333;2,96305125291836
"FI";78,0820134305757;78,0820134305757;3;52,6666666666667;3,19483224464653
"FJ";50;50;2;28;2,96903225806452
"FR";55,4074014708588;55,4074014708588;4;89,25;3,03936161042048
"GA";9,86246654690911;9,86246654690911;1;63;2,73015873015873
"GB";64,325921176687;64,325921176687;5;77,6;3,08310219156219
"GD";24,8200909227051;24,8200909227051;2;80,5;2,87528344671202
"GE";32,4153440462057;32,4153440462057;3;97,6666666666667;2,85372431801003
"GH";41,2720366273685;41,2720366273685;1;86;3,05813953488372
"GI";62,9592956401918;62,9592956401918;3;83;3,04227003720627
"GL";0;0;1;25;2,68
"GN";47,605850293207;47,605850293207;1;132;2,81060606060606
"GP";40,5248759629348;40,5248759629348;2;92;3,03927384907451
"GQ";96,4870018321793;96,4870018321793;2;36;3,26317859952793
"GR";42,8852007396922;42,8852007396922;3;105,333333333333;2,96305125291836
"GT";43,691782795854;43,691782795854;2;115;2,91550711193568
"GU";24,8200909227051;24,8200909227051;2;80,5;2,87528344671202
