"";"MORc(Top3_2nd, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AE";66,791807521822;66,791807521822;1;85;1,37647058823529
"AM";33,395903760911;33,395903760911;2;65,5;1,38388746803069
"AN";0;0;1;46;1,39130434782609
"AR";66,791807521822;66,791807521822;1;85;1,37647058823529
"AT";83,395903760911;83,395903760911;2;57,5;1,52156862745098
"AU";66,791807521822;66,791807521822;1;85;1,37647058823529
"AZ";83,395903760911;83,395903760911;2;57,5;1,52156862745098
"BB";100;100;1;30;1,66666666666667
"BD";33,395903760911;33,395903760911;2;65,5;1,38388746803069
"BE";66,791807521822;66,791807521822;1;85;1,37647058823529
"BG";83,395903760911;83,395903760911;2;57,5;1,52156862745098
"BH";100;100;1;30;1,66666666666667
"BM";0;0;1;46;1,39130434782609
"BO";0;0;1;46;1,39130434782609
"BR";66,791807521822;66,791807521822;1;85;1,37647058823529
"BS";0;0;1;46;1,39130434782609
"BY";66,791807521822;66,791807521822;1;85;1,37647058823529
"CA";33,395903760911;33,395903760911;2;65,5;1,38388746803069
"CH";66,791807521822;66,791807521822;1;85;1,37647058823529
"CL";66,791807521822;66,791807521822;1;85;1,37647058823529
"CM";66,791807521822;66,791807521822;1;85;1,37647058823529
"CN";33,395903760911;33,395903760911;2;65,5;1,38388746803069
"CO";66,791807521822;66,791807521822;1;85;1,37647058823529
"CR";0;0;1;46;1,39130434782609
"CS";66,791807521822;66,791807521822;1;85;1,37647058823529
"CU";66,791807521822;66,791807521822;1;85;1,37647058823529
"CY";83,395903760911;83,395903760911;2;57,5;1,52156862745098
"CZ";66,791807521822;66,791807521822;1;85;1,37647058823529
"DD";66,791807521822;66,791807521822;1;85;1,37647058823529
"DE";66,791807521822;66,791807521822;1;85;1,37647058823529
"DK";66,791807521822;66,791807521822;1;85;1,37647058823529
"DZ";66,791807521822;66,791807521822;1;85;1,37647058823529
"EE";66,791807521822;66,791807521822;1;85;1,37647058823529
"EG";0;0;1;46;1,39130434782609
"ES";66,791807521822;66,791807521822;1;85;1,37647058823529
"FI";0;0;1;46;1,39130434782609
"FR";66,791807521822;66,791807521822;1;85;1,37647058823529
"GB";33,395903760911;33,395903760911;2;65,5;1,38388746803069
"GE";66,791807521822;66,791807521822;1;85;1,37647058823529
"GQ";0;0;1;46;1,39130434782609
"GR";66,791807521822;66,791807521822;1;85;1,37647058823529
"GT";66,791807521822;66,791807521822;1;85;1,37647058823529
"HK";83,395903760911;83,395903760911;2;57,5;1,52156862745098
"HN";0;0;1;46;1,39130434782609
"HR";50;50;2;38;1,52898550724638
"HU";83,395903760911;83,395903760911;2;57,5;1,52156862745098
"ID";33,395903760911;33,395903760911;2;65,5;1,38388746803069
"IE";0;0;1;46;1,39130434782609
"IL";0;0;1;46;1,39130434782609
"IN";33,395903760911;33,395903760911;2;65,5;1,38388746803069
"IO";0;0;1;46;1,39130434782609
"IR";100;100;1;30;1,66666666666667
"IS";33,395903760911;33,395903760911;2;65,5;1,38388746803069
"IT";83,395903760911;83,395903760911;2;57,5;1,52156862745098
"JM";0;0;1;46;1,39130434782609
"JO";66,791807521822;66,791807521822;1;85;1,37647058823529
"JP";100;100;1;30;1,66666666666667
"KE";66,791807521822;66,791807521822;1;85;1,37647058823529
"KI";66,791807521822;66,791807521822;1;85;1,37647058823529
"KN";50;50;2;38;1,52898550724638
"KP";83,395903760911;83,395903760911;2;57,5;1,52156862745098
"KR";0;0;1;46;1,39130434782609
"KW";83,395903760911;83,395903760911;2;57,5;1,52156862745098
"KY";33,395903760911;33,395903760911;2;65,5;1,38388746803069
"KZ";66,791807521822;66,791807521822;1;85;1,37647058823529
"LB";33,395903760911;33,395903760911;2;65,5;1,38388746803069
"LI";66,791807521822;66,791807521822;1;85;1,37647058823529
"LK";33,395903760911;33,395903760911;2;65,5;1,38388746803069
"LR";0;0;1;46;1,39130434782609
"LT";66,791807521822;66,791807521822;1;85;1,37647058823529
"LU";83,395903760911;83,395903760911;2;57,5;1,52156862745098
"LV";66,791807521822;66,791807521822;1;85;1,37647058823529
"MA";66,791807521822;66,791807521822;1;85;1,37647058823529
"MC";66,791807521822;66,791807521822;1;85;1,37647058823529
"MD";66,791807521822;66,791807521822;1;85;1,37647058823529
"MG";66,791807521822;66,791807521822;1;85;1,37647058823529
"MO";0;0;1;46;1,39130434782609
"MR";100;100;1;30;1,66666666666667
"MT";0;0;1;46;1,39130434782609
"MX";66,791807521822;66,791807521822;1;85;1,37647058823529
"MY";100;100;1;30;1,66666666666667
"NC";66,791807521822;66,791807521822;1;85;1,37647058823529
"NG";0;0;1;46;1,39130434782609
"NL";66,791807521822;66,791807521822;1;85;1,37647058823529
"NO";33,395903760911;33,395903760911;2;65,5;1,38388746803069
"NP";0;0;1;46;1,39130434782609
"NZ";66,791807521822;66,791807521822;1;85;1,37647058823529
"OA";66,791807521822;66,791807521822;1;85;1,37647058823529
"PA";0;0;1;46;1,39130434782609
"PE";100;100;1;30;1,66666666666667
"PH";83,395903760911;83,395903760911;2;57,5;1,52156862745098
"PK";0;0;1;46;1,39130434782609
"PL";83,395903760911;83,395903760911;2;57,5;1,52156862745098
"PR";33,395903760911;33,395903760911;2;65,5;1,38388746803069
"PT";0;0;1;46;1,39130434782609
"RE";0;0;1;46;1,39130434782609
"RO";83,395903760911;83,395903760911;2;57,5;1,52156862745098
"RU";66,791807521822;66,791807521822;1;85;1,37647058823529
"SA";66,791807521822;66,791807521822;1;85;1,37647058823529
"SE";0;0;1;46;1,39130434782609
"SG";100;100;1;30;1,66666666666667
"SI";83,395903760911;83,395903760911;2;57,5;1,52156862745098
"SK";83,395903760911;83,395903760911;2;57,5;1,52156862745098
"ST";66,791807521822;66,791807521822;1;85;1,37647058823529
"SU";83,395903760911;83,395903760911;2;57,5;1,52156862745098
"SV";0;0;1;46;1,39130434782609
"SY";66,791807521822;66,791807521822;1;85;1,37647058823529
"TC";66,791807521822;66,791807521822;1;85;1,37647058823529
"TH";66,791807521822;66,791807521822;1;85;1,37647058823529
"TJ";66,791807521822;66,791807521822;1;85;1,37647058823529
"TM";66,791807521822;66,791807521822;1;85;1,37647058823529
"TN";66,791807521822;66,791807521822;1;85;1,37647058823529
"TR";0;0;1;46;1,39130434782609
"TT";100;100;1;30;1,66666666666667
"TW";100;100;1;30;1,66666666666667
"UA";66,791807521822;66,791807521822;1;85;1,37647058823529
"UG";66,791807521822;66,791807521822;1;85;1,37647058823529
"US";33,395903760911;33,395903760911;2;65,5;1,38388746803069
"UY";66,791807521822;66,791807521822;1;85;1,37647058823529
"UZ";66,791807521822;66,791807521822;1;85;1,37647058823529
"VE";66,791807521822;66,791807521822;1;85;1,37647058823529
"VG";0;0;1;46;1,39130434782609
"VN";33,395903760911;33,395903760911;2;65,5;1,38388746803069
"VU";0;0;1;46;1,39130434782609
"YU";83,395903760911;83,395903760911;2;57,5;1,52156862745098
"ZA";50;50;2;38;1,52898550724638
