ipc_maingroup_symbol;field_nr;sector;field_name
A01B;29;Mechanical engineering;Other special machines
A01C;29;Mechanical engineering;Other special machines
A01D;29;Mechanical engineering;Other special machines
A01F;29;Mechanical engineering;Other special machines
A01G;29;Mechanical engineering;Other special machines
A01H;18;Chemistry;Food chemistry
A01J;29;Mechanical engineering;Other special machines
A01K;29;Mechanical engineering;Other special machines
A01L;29;Mechanical engineering;Other special machines
A01M;29;Mechanical engineering;Other special machines
A01N;19;Chemistry;Basic materials chemistry 
A01P;19;Chemistry;Basic materials chemistry 
A21B;29;Mechanical engineering;Other special machines
A21C;29;Mechanical engineering;Other special machines
A21D;18;Chemistry;Food chemistry
A22B;29;Mechanical engineering;Other special machines
A22C;29;Mechanical engineering;Other special machines
A23B;18;Chemistry;Food chemistry
A23C;18;Chemistry;Food chemistry
A23D;18;Chemistry;Food chemistry
A23F;18;Chemistry;Food chemistry
A23G;18;Chemistry;Food chemistry
A23J;18;Chemistry;Food chemistry
A23K;18;Chemistry;Food chemistry
A23L;18;Chemistry;Food chemistry
A23N;29;Mechanical engineering;Other special machines
A23P;29;Mechanical engineering;Other special machines
A24B;34;Other fields;Other consumer goods
A24C;34;Other fields;Other consumer goods
A24D;34;Other fields;Other consumer goods
A24F;34;Other fields;Other consumer goods
A41B;34;Other fields;Other consumer goods
A41C;34;Other fields;Other consumer goods
A41D;34;Other fields;Other consumer goods
A41F;34;Other fields;Other consumer goods
A41G;34;Other fields;Other consumer goods
A41H;28;Mechanical engineering;Textile and paper machines
A42B;34;Other fields;Other consumer goods
A42C;34;Other fields;Other consumer goods
A43B;34;Other fields;Other consumer goods
A43C;34;Other fields;Other consumer goods
A43D;28;Mechanical engineering;Textile and paper machines
A44B;34;Other fields;Other consumer goods
A44C;34;Other fields;Other consumer goods
A45B;34;Other fields;Other consumer goods
A45C;34;Other fields;Other consumer goods
A45D;34;Other fields;Other consumer goods
A45F;34;Other fields;Other consumer goods
A46B;34;Other fields;Other consumer goods
A46D;28;Mechanical engineering;Textile and paper machines
A47B;33;Other fields;Furniture, games
A47C;33;Other fields;Furniture, games
A47D;33;Other fields;Furniture, games
A47F;33;Other fields;Furniture, games
A47G;33;Other fields;Furniture, games
A47H;33;Other fields;Furniture, games
A47J;33;Other fields;Furniture, games
A47K;33;Other fields;Furniture, games
A47L;33;Other fields;Furniture, games
A61B;13;Instruments;Medical technology
A61C;13;Instruments;Medical technology
A61D;13;Instruments;Medical technology
A61F;13;Instruments;Medical technology
A61G;13;Instruments;Medical technology
A61H;13;Instruments;Medical technology
A61J;13;Instruments;Medical technology
A61K   6;16;Chemistry;Pharmaceuticals
A61K   8;14;Chemistry;Organic fine chemistry
A61K   9;16;Chemistry;Pharmaceuticals
A61K  31;16;Chemistry;Pharmaceuticals
A61K  33;16;Chemistry;Pharmaceuticals
A61K  35;16;Chemistry;Pharmaceuticals
A61K  36;16;Chemistry;Pharmaceuticals
A61K  38;16;Chemistry;Pharmaceuticals
A61K  39;16;Chemistry;Pharmaceuticals
A61K  41;16;Chemistry;Pharmaceuticals
A61K  45;16;Chemistry;Pharmaceuticals
A61K  47;16;Chemistry;Pharmaceuticals
A61K  48;16;Chemistry;Pharmaceuticals
A61K  49;16;Chemistry;Pharmaceuticals
A61K  50;16;Chemistry;Pharmaceuticals
A61K  51;16;Chemistry;Pharmaceuticals
A61K 101;16;Chemistry;Pharmaceuticals
A61K 103;16;Chemistry;Pharmaceuticals
A61K 125;16;Chemistry;Pharmaceuticals
A61K 127;16;Chemistry;Pharmaceuticals
A61K 129;16;Chemistry;Pharmaceuticals
A61K 131;16;Chemistry;Pharmaceuticals
A61K 133;16;Chemistry;Pharmaceuticals
A61K 135;16;Chemistry;Pharmaceuticals
A61L;13;Instruments;Medical technology
A61M;13;Instruments;Medical technology
A61N;13;Instruments;Medical technology
A61P;16;Chemistry;Pharmaceuticals
A61Q;14;Chemistry;Organic fine chemistry
A62B;34;Other fields;Other consumer goods
A62C;24;Chemistry;Environmental technology
A62D;26;Mechanical engineering;Machine tools
A63B;33;Other fields;Furniture, games
A63C;33;Other fields;Furniture, games
A63D;33;Other fields;Furniture, games
A63F;33;Other fields;Furniture, games
A63G;33;Other fields;Furniture, games
A63H;33;Other fields;Furniture, games
A63J;33;Other fields;Furniture, games
A63K;33;Other fields;Furniture, games
A99Z;34;Other fields;Other consumer goods
B01B;23;Chemistry;Chemical engineering
B01D   1;23;Chemistry;Chemical engineering
B01D   3;23;Chemistry;Chemical engineering
B01D   5;23;Chemistry;Chemical engineering
B01D   7;23;Chemistry;Chemical engineering
B01D   8;23;Chemistry;Chemical engineering
B01D   9;23;Chemistry;Chemical engineering
B01D  11;23;Chemistry;Chemical engineering
B01D  12;23;Chemistry;Chemical engineering
B01D  15;23;Chemistry;Chemical engineering
B01D  17;23;Chemistry;Chemical engineering
B01D  19;23;Chemistry;Chemical engineering
B01D  21;23;Chemistry;Chemical engineering
B01D  24;23;Chemistry;Chemical engineering
B01D  25;23;Chemistry;Chemical engineering
B01D  27;23;Chemistry;Chemical engineering
B01D  29;23;Chemistry;Chemical engineering
B01D  33;23;Chemistry;Chemical engineering
B01D  35;23;Chemistry;Chemical engineering
B01D  36;23;Chemistry;Chemical engineering
B01D  37;23;Chemistry;Chemical engineering
B01D  39;23;Chemistry;Chemical engineering
B01D  41;23;Chemistry;Chemical engineering
B01D  43;23;Chemistry;Chemical engineering
B01D  45;24;Chemistry;Environmental technology
B01D  46;24;Chemistry;Environmental technology
B01D  47;24;Chemistry;Environmental technology
B01D  49;24;Chemistry;Environmental technology
B01D  50;24;Chemistry;Environmental technology
B01D  51;24;Chemistry;Environmental technology
