Subclass;Description;Summary
A61B;"Diagnosis; surgery; identification";"A61B (diagnosis; surgery; identification)"
G01N;Investigating or analysing materials by determining their chemical or physical properties;G01N (Investigating or analysing materials)
G05B;"Control or regulating systems in general; functional elements of such systems; monitoring or testing arrangements for such systems or elements";G05B (Control, monitoring or testing)
G06F;Electric digital data processing;G06F (Electric digital data processing)
G06K;"Recognition of data; presentation of data; record carriers; handling record carriers";G06K (Recogn. and presentation of data)
G06N;Computer systems based on specific computational models;G06N (Computer systems)
G06Q;"Data processing systems or methods, specially adapted for administrative, commercial, financial, managerial, supervisory or forecasting purposes; systems or methods specially adapted for administrative, commercial, financial, managerial, supervisory or forecasting purposes";G06Q (Data processing syst. or methods)
G06T;Image data processing or generation, in general;G06T (Image data processing or gener.)
G10L;"Speech analysis or synthesis; speech recognition; speech or voice processing; speech or audio coding or decoding";G10L (Speech analysis or processing)
H04L;Transmission of digital information, e.g. telegraphic communication;H04L (Transmission of digital inform.)
