"name";"sector";"field_name";"dgr"
"6";"Electrical engineering";"Computer technology";1
"1";"Electrical engineering";"Electrical machinery, apparatus, energy";0,954564005525017
"19";"Chemistry";"Basic materials chemistry ";0,937783415668036
"14";"Chemistry";"Organic fine chemistry";0,913055192352814
"10";"Instruments";"Measurement";0,911855932738177
"23";"Chemistry";"Chemical engineering";0,905932653162936
"2";"Electrical engineering";"Audio-visual technology";0,900540792337974
"29";"Mechanical engineering";"Other special machines";0,855824533780657
"9";"Instruments";"Optics";0,839329872543788
"16";"Chemistry";"Pharmaceuticals";0,82518495222435
"20";"Chemistry";"Materials, metallurgy";0,822063644870516
"17";"Chemistry";"Macromolecular chemistry, polymers";0,819515870744441
"8";"Electrical engineering";"Semiconductors";0,804458877711262
"21";"Chemistry";"Surface technology, coating";0,790197913922248
"3";"Electrical engineering";"Telecommunications";0,782200686442446
"15";"Chemistry";"Biotechnology";0,73804073496023
"4";"Electrical engineering";"Digital communication";0,719342947355325
"12";"Instruments";"Control";0,708290218704313
"32";"Mechanical engineering";"Transport";0,687760661798898
"24";"Chemistry";"Environmental technology";0,670437107790336
"28";"Mechanical engineering";"Textile and paper machines";0,631293660296679
"31";"Mechanical engineering";"Mechanical elements";0,614661171514656
"13";"Instruments";"Medical technology";0,611344092347271
"35";"Other fields";"Civil engineering";0,60675944110578
"26";"Mechanical engineering";"Machine tools";0,602418318453271
"25";"Mechanical engineering";"Handling";0,600757933378445
"7";"Electrical engineering";"IT methods for management";0,56611153069172
"27";"Mechanical engineering";"Engines, pumps, turbines";0,544629309279954
"11";"Instruments";"Analysis of biological materials";0,509565551367599
"30";"Mechanical engineering";"Thermal processes and apparatus";0,508365159125904
"34";"Other fields";"Other consumer goods";0,499188367155627
"18";"Chemistry";"Food chemistry";0,491254405676305
"33";"Other fields";"Furniture, games";0,426650313894679
"5";"Electrical engineering";"Basic communication processes";0,375745962273333
"22";"Chemistry";"Micro-structural and nano-technology";0,345557333422115
