"ctry_code";"techn_field_nr";"n_tech_reg"
"AD";1;0,833333333333333
"AD";2;1
"AD";6;2
"AD";10;0,833333333333333
"AD";13;11,3333333333333
"AD";14;2
"AD";15;0,0416666666666667
"AD";16;0,0416666666666667
"AD";18;1
"AD";19;0,0416666666666667
"AD";20;2
"AD";23;0,5
"AD";28;1
"AD";29;5
"AD";31;0,5
"AD";32;10
"AD";33;1,83333333333333
"AD";35;3
"AE";1;0,5
"AE";2;7,125
"AE";3;1,79166666666667
"AE";4;1,43452380952381
"AE";5;1
"AE";6;1,58333333333333
"AE";7;1,95833333333333
"AE";8;1,45
"AE";9;0,5
"AE";10;5,55833333333333
"AE";11;2,83333333333333
"AE";12;6,03333333333333
"AE";13;3,125
"AE";14;1,83333333333333
"AE";15;1,33333333333333
"AE";16;1,16666666666667
"AE";19;2,49166666666667
"AE";20;1,29166666666667
"AE";23;2,05952380952381
"AE";24;1,93333333333333
"AE";25;2,58333333333333
"AE";26;0,583333333333333
"AE";27;5,5
"AE";28;0,75
"AE";29;3,25
"AE";30;0,7
"AE";31;1,33333333333333
"AE";32;5,95833333333333
"AE";33;2,75
"AE";34;2,7
"AE";35;11,725
"AF";35;0,5
"AG";1;3,25
"AG";6;1,5
"AG";10;0,25
"AG";12;2
"AG";15;0,1
"AG";16;0,1
"AG";18;0,5
"AG";23;0,5
"AG";25;1
"AG";27;0,5
"AG";33;3
"AI";7;1
"AI";13;0,5
"AI";15;1
"AI";20;0,5
"AI";24;0,416666666666667
"AI";29;0,5
"AI";32;0,5
"AI";34;0,166666666666667
"AI";35;0,416666666666667
"AL";1;0,416666666666667
"AL";2;2
"AL";10;0,5
"AL";13;0,5
"AL";14;0,116666666666667
"AL";16;1,03333333333333
"AL";17;0,0833333333333333
"AL";23;0,333333333333333
"AL";24;2,25
"AL";27;1
"AL";29;0,5
"AL";31;1
"AL";32;1,5
"AL";33;3
"AL";34;1
"AM";1;0,892857142857143
"AM";2;0,166666666666667
"AM";3;1,91666666666667
"AM";4;0,666666666666667
"AM";6;6,62916666666667
"AM";8;0,645833333333333
"AM";9;1,47916666666667
"AM";10;7,72916666666667
"AM";11;1,45887445887446
"AM";12;0,333333333333333
"AM";13;12
"AM";14;1,01190476190476
"AM";15;5,06879509379509
"AM";16;8,48030303030303
"AM";17;1,25
"AM";18;8,50694444444444
"AM";19;0,75
"AM";20;2,80952380952381
"AM";21;2,75
"AM";23;1,33333333333333
"AM";25;0,583333333333333
"AM";26;4,89444444444444
"AM";27;2,41666666666667
"AM";28;0,25
"AM";29;2,92361111111111
"AM";30;2,98333333333333
"AM";31;0,666666666666667
"AM";33;5
"AM";34;0,5
"AM";35;18,6984126984127
"AN";1;6,58333333333333
"AN";2;0,5
"AN";3;2
"AN";4;2
"AN";6;1
"AN";8;1
"AN";9;1,66666666666667
"AN";10;9,5
"AN";12;6,5
"AN";13;9,36666666666667
"AN";14;0,766666666666667
"AN";15;1,83333333333333
"AN";16;4,93333333333333
"AN";17;2,83333333333333
"AN";19;0,666666666666667
"AN";20;1,2
"AN";21;0,333333333333333
"AN";23;1,5
"AN";24;0,666666666666667
"AN";25;1,5
"AN";26;1
"AN";27;4,5
