Subclass;Number
A01B;1
A01C;2
A01D;3
A01F;4
A01G;5
A01H;6
A01J;7
A01K;8
A01L;9
A01M;10
A01N;11
A01P;12
A21B;13
A21C;14
A21D;15
A22B;16
A22C;17
A23B;18
A23C;19
A23D;20
A23F;21
A23G;22
A23J;23
A23K;24
A23L;25
A23N;26
A23P;27
A24B;28
A24C;29
A24D;30
A24F;31
A41B;32
A41C;33
A41D;34
A41F;35
A41G;36
A41H;37
A42B;38
A42C;39
A43B;40
A43C;41
A43D;42
A44B;43
A44C;44
A45B;45
A45C;46
A45D;47
A45F;48
A46B;49
A46D;50
A47B;51
A47C;52
A47D;53
A47F;54
A47G;55
A47H;56
A47J;57
A47K;58
A47L;59
A61B;60
A61C;61
A61D;62
A61F;63
A61G;64
A61H;65
A61J;66
A61K;67
A61L;68
A61M;69
A61N;70
A61P;71
A61Q;72
A62B;73
A62C;74
A62D;75
A63B;76
A63C;77
A63D;78
A63F;79
A63G;80
A63H;81
A63J;82
A63K;83
A99Z;84
B01B;85
B01D;86
B01F;87
B01J;88
B01L;89
B02B;90
B02C;91
B03B;92
B03C;93
B03D;94
B04B;95
B04C;96
B05B;97
B05C;98
B05D;99
B06B;100
B07B;101
B07C;102
B08B;103
B09B;104
B09C;105
B21B;106
B21C;107
B21D;108
B21F;109
B21G;110
B21H;111
B21J;112
B21K;113
B21L;114
B22C;115
B22D;116
B22F;117
B23B;118
B23C;119
B23D;120
B23F;121
B23G;122
B23H;123
B23K;124
B23P;125
B23Q;126
B24B;127
B24C;128
B24D;129
B25B;130
B25C;131
B25D;132
B25F;133
B25G;134
B25H;135
B25J;136
B26B;137
B26D;138
B26F;139
B27B;140
B27C;141
B27D;142
B27F;143
B27G;144
B27H;145
B27J;146
B27K;147
B27L;148
B27M;149
B27N;150
B28B;151
B28C;152
B28D;153
B29B;154
B29C;155
B29D;156
B29K;157
B29L;158
B30B;159
B31B;160
B31C;161
B31D;162
B31F;163
B32B;164
B33Y;165
B41B;166
B41C;167
B41D;168
B41F;169
B41G;170
B41J;171
B41K;172
B41L;173
B41M;174
B41N;175
B42B;176
B42C;177
B42D;178
B42F;179
B43K;180
B43L;181
B43M;182
B44B;183
B44C;184
B44D;185
B44F;186
B60B;187
B60C;188
B60D;189
B60F;190
B60G;191
B60H;192
B60J;193
B60K;194
B60L;195
B60M;196
B60N;197
B60P;198
B60Q;199
B60R;200
B60S;201
B60T;202
B60V;203
B60W;204
B61B;205
B61C;206
B61D;207
B61F;208
B61G;209
B61H;210
B61J;211
B61K;212
B61L;213
B62B;214
B62C;215
B62D;216
B62H;217
B62J;218
B62K;219
B62L;220
B62M;221
B63B;222
B63C;223
B63G;224
B63H;225
B63J;226
B64B;227
B64C;228
B64D;229
B64F;230
B64G;231
B65B;232
B65C;233
B65D;234
B65F;235
B65G;236
B65H;237
B66B;238
B66C;239
B66D;240
B66F;241
B67B;242
B67C;243
B67D;244
B68B;245
B68C;246
B68F;247
B68G;248
B81B;249
B81C;250
B82B;251
B82Y;252
B99Z;253
C01B;254
C01C;255
C01D;256
C01F;257
C01G;258
C02F;259
C03B;260
C03C;261
C04B;262
C05B;263
C05C;264
C05D;265
C05F;266
C05G;267
C06B;268
C06C;269
C06D;270
C06F;271
C07B;272
C07C;273
C07D;274
C07F;275
C07G;276
C07H;277
C07J;278
C07K;279
C08B;280
C08C;281
C08F;282
C08G;283
C08H;284
C08J;285
C08K;286
C08L;287
C09B;288
C09C;289
C09D;290
C09F;291
C09G;292
C09H;293
C09J;294
