"ctry_code";"Subclass";"n_tech_reg"
"AD";"A63F";1
"AD";"B22D";1
"AD";"B61B";1
"AD";"B65F";1
"AD";"D03D";1
"AD";"D03J";0,333333333333333
"AD";"D04G";1,66666666666667
"AD";"D06F";3
"AE";"C23C";1
"AE";"E02B";1
"AE";"E21B";4,66666666666667
"AE";"F03B";1
"AE";"F03D";1
"AE";"F42D";0,333333333333333
"AE";"G01V";1
"AE";"G09D";1
"AG";"B64B";1
"AG";"H02J";0,5
"AG";"H05B";0,5
"AI";"A61K";0,125
"AI";"A61P";0,0208333333333333
"AI";"C07D";0,0833333333333333
"AI";"C07K";0,0208333333333333
"AI";"E04H";0,333333333333333
"AI";"F24S";0,666666666666667
"AL";"C07K";0,166666666666667
"AL";"C08B";1,33333333333333
"AL";"C12P";1,5
"AL";"E04B";0,5
"AL";"E04H";0,5
"AL";"F24C";1
"AL";"F27B";0,666666666666667
"AL";"F27D";0,333333333333333
"AL";"F41G";0,666666666666667
"AM";"H02H";1
"AN";"A61K";1
"AN";"B01D";0,375
"AN";"B01J";0,125
"AN";"B05B";0,111111111111111
"AN";"B63B";0,666666666666667
"AN";"B63H";0,333333333333333
"AN";"F23D";0,222222222222222
"AR";"A01B";3
"AR";"A01C";1
"AR";"A01D";1
"AR";"A01G";2
"AR";"A01J";1
"AR";"A01K";3
"AR";"A01M";1
"AR";"A01N";1,5
"AR";"A21D";0,142857142857143
"AR";"A22C";2,14285714285714
"AR";"A23B";0,142857142857143
"AR";"A23C";1,14285714285714
"AR";"A23F";1
"AR";"A23J";0,5
"AR";"A23L";2,92857142857143
"AR";"A23N";10
"AR";"A23P";0,142857142857143
"AR";"A41D";1
"AR";"A43B";2
"AR";"A44B";2
"AR";"A45C";1,5
"AR";"A45D";1,2
"AR";"A45F";0,142857142857143
"AR";"A46B";1,6
"AR";"A47B";0,5
"AR";"A47C";1,5
"AR";"A47G";2
"AR";"A47J";1,83333333333333
"AR";"A47K";4
"AR";"A47L";4
"AR";"A61B";5
"AR";"A61C";1,5
"AR";"A61D";0,5
"AR";"A61F";10,25
"AR";"A61K";5,43125
"AR";"A61M";0,5
"AR";"A61N";2,33333333333333
"AR";"A61P";2,17152777777778
"AR";"A61Q";0,25
"AR";"A63B";1,5
"AR";"A63C";1
"AR";"B01D";10,0333333333333
"AR";"B01F";1
"AR";"B01J";0,2
"AR";"B02B";1
"AR";"B05B";1
"AR";"B07B";1
"AR";"B08B";1
"AR";"B21B";0,333333333333333
"AR";"B21D";0,05
"AR";"B22D";1,05
"AR";"B22F";0,216666666666667
"AR";"B23D";0,05
"AR";"B23K";1,05
"AR";"B24D";0,5
"AR";"B25B";0,8
"AR";"B25D";1
"AR";"B26B";1
"AR";"B27M";0,666666666666667
"AR";"B29C";6,57142857142857
"AR";"B29D";1,4047619047619
"AR";"B29K";0,0714285714285714
"AR";"B29L";0,142857142857143
"AR";"B30B";0,05
"AR";"B32B";2,87619047619048
"AR";"B41C";0,333333333333333
"AR";"B41F";1,5
"AR";"B41K";0,5
"AR";"B41M";2
"AR";"B43L";1
"AR";"B44C";2,93333333333333
"AR";"B44F";0,5
"AR";"B60G";1
"AR";"B60N";2,5
"AR";"B60Q";0,333333333333333
"AR";"B60R";2
"AR";"B60S";1
"AR";"B60T";2
"AR";"B61C";0,214285714285714
"AR";"B61F";1
"AR";"B61H";1,5
"AR";"B61L";1
"AR";"B62D";1
"AR";"B62K";1
"AR";"B62M";1
"AR";"B63B";0,333333333333333
"AR";"B63H";1,66666666666667
"AR";"B65B";2
"AR";"B65D";7,50952380952381
"AR";"B65G";0,111111111111111
"AR";"B65H";1
"AR";"B67C";4
"AR";"B67D";0,5
"AR";"C01C";1,16666666666667
"AR";"C01G";0,666666666666667
"AR";"C02F";0,5
"AR";"C06B";0,5
"AR";"C07C";3,9
"AR";"C07D";13,9666666666667
"AR";"C07F";0,5
"AR";"C07K";0,436805555555556
"AR";"C08B";1,66666666666667
"AR";"C08F";1,33333333333333
"AR";"C08K";0,666666666666667
"AR";"C08L";0,333333333333333
"AR";"C09C";0,166666666666667
"AR";"C09D";0,666666666666667
"AR";"C09J";0,25
"AR";"C09K";0,75
"AR";"C12F";1
"AR";"C12M";1
"AR";"C12N";2,26041666666667
"AR";"C12Q";0,5
"AR";"C14C";1
"AR";"C21B";1
"AR";"C21C";2,66666666666667
"AR";"C21D";0,333333333333333
"AR";"C22C";0,366666666666667
"AR";"C22F";0,166666666666667
"AR";"D04B";3
"AR";"D06B";1
"AR";"D06F";4
"AR";"D06Q";2
"AR";"E01B";1
"AR";"E01C";3
"AR";"E02B";6
"AR";"E02D";0,333333333333333
"AR";"E03C";2
"AR";"E03D";1,33333333333333
"AR";"E04B";2,33333333333333
"AR";"E04C";1,33333333333333
"AR";"E04H";1
"AR";"E05B";2
"AR";"E05D";1
"AR";"E05F";1
"AR";"E06B";2
"AR";"E21B";1,5
"AR";"F01C";0,333333333333333
"AR";"F01D";1,5
"AR";"F01K";0,0357142857142857
"AR";"F01L";0,5
"AR";"F01M";1
"AR";"F01P";0,333333333333333
"AR";"F02B";1,25
"AR";"F02C";0,5
"AR";"F02G";0,333333333333333
"AR";"F02M";1
"AR";"F03B";10
"AR";"F04B";0,5
"AR";"F04D";5,5
"AR";"F04F";0,5
"AR";"F15B";1
"AR";"F16B";0,811111111111111
"AR";"F16D";1,3
"AR";"F16K";4,16666666666667
"AR";"F16L";1,07142857142857
"AR";"F16S";1
"AR";"F16T";1,5
"AR";"F17D";0,5
"AR";"F22B";1
"AR";"F23Q";2
"AR";"F24C";3
"AR";"F24D";0,5
"AR";"F24F";0,5
"AR";"F24H";1
"AR";"F25B";1,2
"AR";"F25D";1
"AR";"F27B";2,08333333333333
"AR";"F27D";0,25
"AR";"F28B";0,733333333333333
"AR";"F28D";2,28333333333333
"AR";"F28F";0,666666666666667
"AR";"F41B";1
"AR";"F42B";2,5
"AR";"G01C";1,33333333333333
"AR";"G01D";0,666666666666667
"AR";"G01F";0,166666666666667
"AR";"G01G";4
"AR";"G01K";0,5
"AR";"G01L";1,66666666666667
"AR";"G01N";1,71666666666667
"AR";"G01R";0,583333333333333
"AR";"G01W";1
"AR";"G02B";1,93333333333333
"AR";"G02C";1,33333333333333
"AR";"G02F";0,383333333333333
"AR";"G04B";1
"AR";"G05D";1,33333333333333
"AR";"G06M";1,83333333333333
"AR";"G07B";0,666666666666667
"AR";"G07F";0,333333333333333
"AR";"G08B";3,66666666666667
"AR";"G09F";5,75
"AR";"G10K";0,333333333333333
"AR";"G11B";1
"AR";"G21C";0,166666666666667
"AR";"G21D";0,166666666666667
"AR";"H01B";3
"AR";"H01F";0,666666666666667
"AR";"H01H";1,66666666666667
"AR";"H01L";0,5
"AR";"H01M";1
"AR";"H01R";1,11111111111111
"AR";"H02G";1,5
"AR";"H02H";1
"AR";"H02K";0,2
"AR";"H03F";0,166666666666667
"AR";"H03K";0,5
"AR";"H03M";1
"AR";"H04L";1
"AR";"H04M";6
"AR";"H04Q";0,5
"AR";"H04R";0,666666666666667
"AR";"H05B";0,333333333333333
"AS";"A22C";1
"AT";"A01B";59,15
"AT";"A01C";13,2833333333333
"AT";"A01D";126,866666666667
"AT";"A01F";47,5416666666667
