"ctry_code";"Subclass";"n_tech_reg"
"AD";"A01K";1
"AD";"A01N";0,0208333333333333
"AD";"A22C";1,5
"AD";"A47K";0,666666666666667
"AD";"A61B";1
"AD";"A61C";1
"AD";"A61G";6,5
"AD";"A61K";0,916666666666667
"AD";"A61M";0,5
"AD";"A61N";2,33333333333333
"AD";"A61P";0,0208333333333333
"AD";"A61Q";1,08333333333333
"AD";"A63B";1,33333333333333
"AD";"B01D";0,333333333333333
"AD";"B28B";0,8
"AD";"B28C";1
"AD";"B29C";0,8
"AD";"B60C";1
"AD";"B60K";1,5
"AD";"B60P";1
"AD";"B60Q";0,5
"AD";"B63B";5
"AD";"B63C";0,5
"AD";"B64D";0,333333333333333
"AD";"C03C";2
"AD";"C07K";0,0416666666666667
"AD";"C12G";1
"AD";"C12N";0,0416666666666667
"AD";"D03D";0,5
"AD";"D06H";0,2
"AD";"E02B";1,66666666666667
"AD";"E04C";0,7
"AD";"E04F";0,5
"AD";"F16H";0,5
"AD";"F41A";0,5
"AD";"G01V";0,5
"AD";"G06F";0,6
"AD";"G06K";1
"AD";"G06T";0,4
"AD";"G09F";1
"AD";"G12B";0,333333333333333
"AD";"H01F";0,333333333333333
"AD";"H05F";0,5
"AE";"A01G";1,16666666666667
"AE";"A01K";1
"AE";"A01N";0,347222222222222
"AE";"A41H";0,5
"AE";"A43B";0,333333333333333
"AE";"A44B";0,5
"AE";"A44C";1
"AE";"A47C";0,5
"AE";"A47D";0,5
"AE";"A61B";2,125
"AE";"A61F";1
"AE";"A61K";1,83333333333333
"AE";"A61Q";0,666666666666667
"AE";"A62C";0,5
"AE";"A63B";1,66666666666667
"AE";"A63F";0,375
"AE";"B01D";1,66666666666667
"AE";"B02C";0,142857142857143
"AE";"B08B";0,125
"AE";"B09B";1,16666666666667
"AE";"B09C";0,133333333333333
"AE";"B21D";0,0833333333333333
"AE";"B25B";0,5
"AE";"B25J";0,0625
"AE";"B29B";0,5
"AE";"B29C";0,0833333333333333
"AE";"B41J";0,222222222222222
"AE";"B42D";0,111111111111111
"AE";"B44C";0,125
"AE";"B44F";0,125
"AE";"B60K";0,25
"AE";"B60L";0,25
"AE";"B60R";2
"AE";"B61B";0,75
"AE";"B62D";1
"AE";"B63B";0,625
"AE";"B63H";1
"AE";"B64F";0,0625
"AE";"B65D";2,5
"AE";"C02F";0,666666666666667
"AE";"C03C";1
"AE";"C04B";0,25
"AE";"C07C";0,0909090909090909
"AE";"C07D";0,212121212121212
"AE";"C07F";0,111111111111111
"AE";"C07K";0,53030303030303
"AE";"C09K";1,33333333333333
"AE";"C10B";0,266666666666667
