"ctry_code";"Subclass";"n_tech_reg"
"AB";"F17D";0,2
"AD";"A01K";0,666666666666667
"AD";"A21B";0,285714285714286
"AD";"A23L";2,21904761904762
"AD";"A43B";0,333333333333333
"AD";"A47B";0,5
"AD";"A47F";0,5
"AD";"A47J";0,142857142857143
"AD";"A61B";0,5
"AD";"A61C";2
"AD";"A61F";0,5
"AD";"A61G";0,25
"AD";"A61K";1,78888888888889
"AD";"A61M";0,333333333333333
"AD";"A61P";0,127777777777778
"AD";"A61Q";0,25
"AD";"A63C";1
"AD";"B01D";2,08333333333333
"AD";"B01J";0,0833333333333333
"AD";"B28B";2,66666666666667
"AD";"B32B";1
"AD";"B60R";0,833333333333333
"AD";"B63B";0,666666666666667
"AD";"B64C";0,333333333333333
"AD";"B64D";0,333333333333333
"AD";"B64F";0,333333333333333
"AD";"B65D";2,65
"AD";"C01B";0,5
"AD";"C04B";1
"AD";"C09K";0,25
"AD";"C11D";0,142857142857143
"AD";"C12G";0,5
"AD";"C12Q";1
"AD";"D01F";0,2
"AD";"D03D";1
"AD";"D06M";0,7
"AD";"D06P";0,1
"AD";"E04B";0,833333333333333
"AD";"E04C";1,66666666666667
"AD";"E04G";1,33333333333333
"AD";"E05G";0,5
"AD";"E06B";1
"AD";"E21B";2,5
"AD";"F01C";0,666666666666667
"AD";"F02B";0,333333333333333
"AD";"F03B";2
"AD";"F03D";0,25
"AD";"F17C";0,25
"AD";"F24C";1,28571428571429
"AD";"F24F";1
"AD";"F25D";1
"AD";"F28D";0,75
"AD";"F28F";0,25
"AD";"G01C";0,5
"AD";"G02C";1
"AD";"G05D";0,583333333333333
"AD";"G06F";2,66666666666667
"AD";"G06K";1,5
"AD";"G06Q";2,2
"AD";"G06T";0,166666666666667
"AD";"G07F";1,35
"AD";"G08C";1
"AD";"G09F";1,45
"AD";"H01L";0,333333333333333
"AD";"H01R";0,666666666666667
"AD";"H01T";1
"AD";"H02G";0,916666666666667
"AD";"H04L";1,5
"AD";"H04M";1
"AD";"H04N";0,166666666666667
"AD";"H05F";1,66666666666667
"AD";"H05K";1,33333333333333
"AE";"A01G";1,84848484848485
"AE";"A01K";1,375
"AE";"A01L";0,166666666666667
"AE";"A01M";1
"AE";"A01N";2,54222222222222
"AE";"A01P";0,468888888888889
"AE";"A21D";0,8
"AE";"A23B";1
"AE";"A23C";2,06666666666667
"AE";"A23D";2,5
"AE";"A23G";0,4
"AE";"A23K";1,6078431372549
"AE";"A23L";1,4
"AE";"A23N";0,2
"AE";"A24F";4,06666666666667
"AE";"A41C";0,833333333333333
"AE";"A41D";1,33333333333333
"AE";"A41F";0,333333333333333
"AE";"A41G";0,125
"AE";"A43B";1,625
"AE";"A44C";1
"AE";"A45C";3,54166666666667
"AE";"A45D";1,33333333333333
"AE";"A45F";0,333333333333333
"AE";"A46B";0,333333333333333
"AE";"A47B";3,4
"AE";"A47C";4,7
"AE";"A47D";0,8
"AE";"A47G";2,54166666666667
"AE";"A47J";1
"AE";"A47K";1,22222222222222
"AE";"A47L";7,29166666666667
"AE";"A61B";28,7779100529101
"AE";"A61C";2,16666666666667
"AE";"A61F";9,385
"AE";"A61G";0,666666666666667
"AE";"A61H";1,15555555555556
"AE";"A61J";0,0333333333333333
"AE";"A61K";20,7292111972994
"AE";"A61L";2,12333333333333
"AE";"A61M";5,30416666666667
"AE";"A61N";3,24861111111111
"AE";"A61P";4,7594536019536
"AE";"A61Q";0,908928571428571
"AE";"A62C";3,5
"AE";"A63B";6,78333333333333
"AE";"A63F";6,88095238095238
"AE";"A63H";0,25
"AE";"A63J";0,666666666666667
"AE";"A63K";1
"AE";"B01D";20,8483405483405
"AE";"B01F";1,27777777777778
"AE";"B01J";5,18946608946609
"AE";"B01L";0,583333333333333
"AE";"B02C";0,533333333333333
"AE";"B03B";0,566666666666667
"AE";"B03C";0,666666666666667
"AE";"B04B";1
"AE";"B05B";0,2
"AE";"B05C";0,2
"AE";"B05D";1,5220202020202
"AE";"B06B";0,288888888888889
"AE";"B07B";2,36666666666667
"AE";"B07C";0,9
"AE";"B08B";2
"AE";"B09B";0,5
"AE";"B09C";0,25
"AE";"B21D";0,0625
"AE";"B21F";0,4
"AE";"B22F";0,125
"AE";"B23B";0,25
"AE";"B23K";0,25
"AE";"B23P";0,284722222222222
"AE";"B25J";0,6
"AE";"B26B";1
"AE";"B27B";0,4
"AE";"B27N";0,2
"AE";"B28B";1,42857142857143
"AE";"B29B";0,266666666666667
"AE";"B29C";5,18558201058201
"AE";"B29D";0,325
"AE";"B29K";0,171428571428571
"AE";"B29L";0,0714285714285714
"AE";"B30B";1,86666666666667
"AE";"B32B";5,21388888888889
"AE";"B33Y";1,05555555555556
"AE";"B41F";0,1
"AE";"B41J";0,333333333333333
"AE";"B41L";0,1
"AE";"B41M";0,8
"AE";"B42D";1,33333333333333
"AE";"B43K";1
"AE";"B60C";2,14285714285714
"AE";"B60H";0,5
"AE";"B60J";6
"AE";"B60L";1,5
"AE";"B60M";0,333333333333333
"AE";"B60N";1,625
"AE";"B60P";2,26666666666667
"AE";"B60Q";0,125
"AE";"B60R";4,95833333333333
"AE";"B62B";1
"AE";"B62D";1,22222222222222
"AE";"B62H";1
"AE";"B62M";1
"AE";"B63B";6,9
"AE";"B63C";3,33333333333333
"AE";"B63H";2,2
"AE";"B64C";4,51666666666667
"AE";"B64D";3,15
"AE";"B64F";2,18571428571429
"AE";"B65D";10,45
"AE";"B65F";1,16666666666667
"AE";"B65G";4,9
"AE";"B65H";2
"AE";"B66B";0,2
"AE";"B66C";0,333333333333333
"AE";"B66F";1,08333333333333
"AE";"B67D";1,11111111111111
"AE";"B68C";0,5
"AE";"B82Y";1,38333333333333
"AE";"C01B";1,75833333333333
"AE";"C01D";1,69444444444444
"AE";"C01F";0,444444444444444
"AE";"C01G";1,14285714285714
"AE";"C02F";6,53286435786436
"AE";"C03B";1,33333333333333
"AE";"C03C";3,16666666666667
"AE";"C04B";3,0937074829932
"AE";"C07B";0,362878787878788
"AE";"C07C";1,37424242424242
"AE";"C07D";1,49305555555556
"AE";"C07J";0,0888888888888889
"AE";"C07K";2,5
"AE";"C08B";0,2
"AE";"C08F";4,06116213151927
"AE";"C08G";0,583333333333333
"AE";"C08J";3,52582010582011
"AE";"C08K";6,31801398337113
"AE";"C08L";16,8738888888889
"AE";"C09B";0,4
"AE";"C09D";0,186666666666667
"AE";"C09K";6,20694444444444
"AE";"C10G";3,75555555555556
"AE";"C10L";2,71309523809524
"AE";"C10M";0,333333333333333
"AE";"C11B";0,5
"AE";"C11D";6,11220538720539
"AE";"C12M";2,08333333333333
"AE";"C12N";3,72171957671958
"AE";"C12P";2,83333333333333
"AE";"C12Q";1,25
"AE";"C13B";1
"AE";"C21B";0,5
"AE";"C21C";0,25
"AE";"C22B";0,333333333333333
"AE";"C23C";0,241666666666667
"AE";"C23F";0,712301587301587
"AE";"C25B";1,41666666666667
"AE";"C25C";17,1666666666667
"AE";"C25D";0,25
"AE";"D01D";0,361111111111111
"AE";"D01F";0,5
"AE";"D02G";0,25
"AE";"D05C";0,25
"AE";"D06B";0,428571428571429
"AE";"D06C";0,166666666666667
"AE";"D06F";9,83333333333333
"AE";"D21B";0,166666666666667
"AE";"D21C";0,142857142857143
"AE";"D21H";0,428571428571429
"AE";"E01B";0,333333333333333
"AE";"E01C";0,5
"AE";"E02B";2,75
"AE";"E02D";5,77777777777778
"AE";"E02F";0,5
"AE";"E03B";2,55555555555556
"AE";"E03C";0,25
"AE";"E03D";2,61111111111111
"AE";"E04B";6,49518398268398
"AE";"E04C";3,61829004329004
"AE";"E04D";0,515151515151515
"AE";"E04F";0,0909090909090909
"AE";"E04G";6,575
"AE";"E04H";5,4
"AE";"E05B";1,2
"AE";"E06B";1,27272727272727
"AE";"E21B";43,2159523809524
"AE";"E21C";1,25
"AE";"E21D";0,5
"AE";"F01D";1,39107142857143
"AE";"F01L";0,166666666666667
"AE";"F01M";1
"AE";"F01N";3,66666666666667
"AE";"F02B";0,333333333333333
"AE";"F02C";1,91964285714286
"AE";"F02D";0,0833333333333333
"AE";"F02K";0,00833333333333333
"AE";"F02M";1,33333333333333
"AE";"F03B";4,7
"AE";"F03D";7,73888888888889
"AE";"F03G";4,66666666666667
"AE";"F04D";0,396825396825397
"AE";"F04F";1,11111111111111
"AE";"F15D";0,2
"AE";"F16B";1,56666666666667
"AE";"F16D";1,5
"AE";"F16F";0,1
"AE";"F16H";2
"AE";"F16K";2,86944444444444
"AE";"F16L";10,9833333333333
"AE";"F16M";0,555555555555556
"AE";"F16N";1
"AE";"F17D";0,325
"AE";"F21S";0,1
"AE";"F21V";1,13333333333333
"AE";"F23C";0,2
"AE";"F23G";0,666666666666667
"AE";"F23J";0,316666666666667
"AE";"F23L";0,483333333333333
"AE";"F23N";0,15
"AE";"F23Q";1
"AE";"F23R";1,35
"AE";"F24C";0,5
"AE";"F24D";1,11666666666667
"AE";"F24F";4,93095238095238
"AE";"F24H";0,4
"AE";"F24J";2,95
"AE";"F24S";1,02424242424242
"AE";"F25B";3,4
"AE";"F25D";1,60555555555556
"AE";"F25J";1,17777777777778
"AE";"F27B";0,5
"AE";"F27D";0,333333333333333
"AE";"F28D";1,1484126984127
"AE";"F28F";1,15396825396825
"AE";"F41A";4,6875
"AE";"F41C";0,554166666666667
"AE";"F41H";0,0833333333333333
"AE";"G01B";1,95555555555556
"AE";"G01C";4,59642857142857
"AE";"G01D";0,2
"AE";"G01F";2,22916666666667
"AE";"G01G";0,125
"AE";"G01H";0,5
"AE";"G01J";1,01388888888889
"AE";"G01K";1,91666666666667
"AE";"G01L";1,10119047619048
"AE";"G01M";3,90277777777778
"AE";"G01N";17,4410714285714
"AE";"G01P";1,82222222222222
"AE";"G01R";8,57103174603175
"AE";"G01S";10,014880952381
"AE";"G01T";0,5
"AE";"G01V";11,4468253968254
"AE";"G01W";0,0555555555555556
"AE";"G02B";6,05575396825397
"AE";"G02F";1,5952380952381
"AE";"G03B";0,345238095238095
"AE";"G04B";5
"AE";"G05B";4,75555555555556
"AE";"G05D";3,35833333333333
"AE";"G05F";1,41666666666667
"AE";"G06E";0,0285714285714286
"AE";"G06F";77,3564906770789
"AE";"G06G";0,579166666666667
"AE";"G06K";9,43849206349206
"AE";"G06N";3,09027777777778
"AE";"G06Q";60,1974728487886
"AE";"G06T";9,83452380952381
