"ctry_code";"nace2_code";"RCA_Gen";"RCA_AI";"Period"
"AD";"10";0;NA;"1989-2003"
"AD";"10.5";0;NA;"1989-2003"
"AD";"11";14,6981250539828;NA;"1989-2003"
"AD";"12";0;NA;"1989-2003"
"AD";"13";0;NA;"1989-2003"
"AD";"14";0;NA;"1989-2003"
"AD";"15";0;NA;"1989-2003"
"AD";"16";0;NA;"1989-2003"
"AD";"17";0;NA;"1989-2003"
"AD";"18.1";0;NA;"1989-2003"
"AD";"19";0;NA;"1989-2003"
"AD";"20.1";0;NA;"1989-2003"
"AD";"20.2";0;NA;"1989-2003"
"AD";"20.3";0;NA;"1989-2003"
"AD";"20.4";5,77634269062956;NA;"1989-2003"
"AD";"20.42";11,706203194266;NA;"1989-2003"
"AD";"20.5";0;NA;"1989-2003"
"AD";"20.51";0;NA;"1989-2003"
"AD";"20.6";0;NA;"1989-2003"
"AD";"21";0;NA;"1989-2003"
"AD";"22";3,4227871779479;NA;"1989-2003"
"AD";"22.1";0;NA;"1989-2003"
"AD";"22.2";0;NA;"1989-2003"
"AD";"23";0;NA;"1989-2003"
"AD";"23.1";16,7828357925881;NA;"1989-2003"
"AD";"23.3";27,782360596342;NA;"1989-2003"
"AD";"23.42";0;NA;"1989-2003"
"AD";"23.5";0;NA;"1989-2003"
"AD";"24";0;NA;"1989-2003"
"AD";"24.46";0;NA;"1989-2003"
"AD";"25.1";0;NA;"1989-2003"
"AD";"25.2";0;NA;"1989-2003"
"AD";"25.3";0;NA;"1989-2003"
"AD";"25.4";0;NA;"1989-2003"
"AD";"25.5";0;NA;"1989-2003"
"AD";"25.6";0;NA;"1989-2003"
"AD";"25.7";0;NA;"1989-2003"
"AD";"25.9";0;NA;"1989-2003"
"AD";"25.94";0;NA;"1989-2003"
"AD";"26.1";0;NA;"1989-2003"
"AD";"26.11";0;NA;"1989-2003"
"AD";"26.2";0,417147804534862;NA;"1989-2003"
"AD";"26.3";0;NA;"1989-2003"
"AD";"26.4";0;NA;"1989-2003"
"AD";"26.5";0;NA;"1989-2003"
"AD";"26.51";0;NA;"1989-2003"
"AD";"26.52";0;NA;"1989-2003"
"AD";"26.6";13,7417081556528;NA;"1989-2003"
"AD";"26.7";0;NA;"1989-2003"
"AD";"26.8";0;NA;"1989-2003"
"AD";"27.1";0;NA;"1989-2003"
"AD";"27.12";0;NA;"1989-2003"
"AD";"27.2";0;NA;"1989-2003"
"AD";"27.3";0;NA;"1989-2003"
"AD";"27.33";0;NA;"1989-2003"
"AD";"27.4";0;NA;"1989-2003"
"AD";"27.5";0;NA;"1989-2003"
"AD";"27.9";0;NA;"1989-2003"
"AD";"28.1";0;NA;"1989-2003"
