"nace2_code";"RCA_1st_period";"RCA_2nd_period";"RCA_3rd_period";"sum"
"10";0;0;0;0
"10.5";0;0;0;0
"11";0;0;0;0
"12";0;0;0;0
"13";0;0;0;0
"14";0;0;0;0
"15";0;0;0;0
"16";0;0;0;0
"17";0;0;0;0
"18.1";0;0;0;0
"19";0;0;0;0
"20.1";0;0;0;0
"20.2";0;0;0;0
"20.3";0;0;0;0
"20.4";0;0;0;0
"20.42";0;0;0;0
"20.5";0;0;0;0
"20.51";0;0;0;0
"20.6";0;0;0;0
"21";0;0;0;0
"22";0;0;0;0
"22.1";0;0;0;0
"22.2";0;0;0;0
"23";0;0;0;0
"23.1";0;0;0;0
"23.3";0;0;0;0
"23.42";0;0;0;0
"23.5";0;0;0;0
"24";0;0;0;0
"24.46";0;0;0;0
"25.1";0;0;0;0
"25.2";0;0;0;0
"25.3";1;1;0;2
"25.4";0;0;0;0
"25.5";0;0;0;0
"25.6";0;0;0;0
"25.7";0;0;0;0
"25.9";0;0;0;0
"25.94";0;0;0;0
"26.1";0;0;0;0
"26.11";0;0;0;0
"26.2";1;1;1;3
"26.3";0;0;0;0
"26.4";1;0;0;1
"26.5";1;1;1;3
"26.51";1;1;1;3
"26.52";0;0;0;0
"26.6";0;0;0;0
"26.7";0;0;0;0
"26.8";0;0;0;0
"27.1";0;0;0;0
"27.12";0;1;0;1
"27.2";0;0;0;0
"27.3";0;0;0;0
"27.33";0;0;0;0
"27.4";0;0;0;0
"27.5";0;0;0;0
"27.9";0;1;0;1
"28.1";0;0;0;0
"28.11";0;0;0;0
"28.14";0;0;0;0
"28.21";0;0;0;0
"28.22";0;0;0;0
"28.23";0;1;1;2
"28.25";0;1;0;1
"28.29";0;0;0;0
"28.3";0;0;0;0
"28.4";0;0;0;0
"28.9";0;0;0;0
"28.92";0;0;0;0
"28.94";0;0;0;0
"28.95";0;0;0;0
"28.99";0;0;0;0
"29.1";0;0;0;0
"29.3";0;1;1;2
"30";0;0;0;0
"31";0;0;0;0
"32";0;0;0;0
"32.5";0;0;0;0
"32.9";0;0;0;0
"42.2";0;0;0;0
"42.91";0;0;0;0
"43";0;0;0;0
"62";1;1;1;3
