"";"MORt(MergeAlldata_2nd)";"Step0";"Step1";"Step2"
"1";91,7852498233617;1421716;14581129,5149728;861577,011633357
"10";74,9450932279218;981860;13753335,0742214;854142,634771142
"11";18,0541089890163;140829;10382001,819753;829086,96683187
"12";79,514335379532;473098;14037524,4075583;857463,149113025
"13";24,0611533560681;541473;10711953,3700997;831545,707001047
"14";44,250471791527;554851;11550098,9629504;839124,948272634
"15";4,5229966482404;348170;8988090,87197633;820485,003426523
"16";0;416386;8922884,23684274;815348,78008658
"17";84,9116184237305;620905;14270696,5258663;857788,055038873
"18";47,624424116906;219227;11145064,2422329;834288,11339363
"19";68,2821772395331;648574;13246952,8847379;847829,005910944
"2";92,8158395280494;1473567;14543689,1991447;862803,757947439
"20";89,3950415246403;704740;14390156,6705125;858118,495090399
"21";88,2464670108531;661470;14601553,0424932;859453,70411245
"22";54,7129610159769;27648;12011406,2509404;843899,98022994
"23";69,1764886428109;602383;13409807,863034;850227,805237905
"24";88,6083151259929;436072;14356957,7948687;859274,043517138
"25";89,7224406329619;659381;14771005,5676157;860603,33458993
"26";87,3972674664482;605061;14408397,6247651;859349,30014788
"27";86,6377207739093;539842;14331218,0288029;859393,22749865
"28";94,6834596946425;709474;14976063,6984752;862312,390623911
"29";81,7170812025003;800507;14136681,1274005;856324,912828908
"3";74,5028380463813;887275;13152862,305744;854970,08273489
"30";94,9625221259188;458801;14521395,4542318;862923,395505939
"31";87,0395356524945;566243;14523543,1058786;859299,559785347
"32";81,3804451061085;717840;13835528,0615388;857793,382612471
"33";70,4281424987163;460943;13419023,7497435;852238,937134872
"34";71,0209072901126;401485;13013312,2959388;852399,111552962
"35";89,5123287132914;742450;14651558,9086039;859665,673571759
"4";41,0865268925009;501375;10872249,8540135;840751,459830103
"5";69,5997335349256;271406;13083064,673655;852996,767340631
"6";58,0121299326149;1423516;12467641,7943212;848702,338090986
"7";62,5985869324361;251454;12887329,8293923;850776,736126235
"8";87,4142709622161;1148787;13681044,9835435;861566,3354658
"9";100;1486528;15194226,5546999;865463,578915208
