"";"MORt(MergeAlldata_3rd)";"Step0";"Step1";"Step2"
"1";50,3204122568356;3477741;18155449,9681353;1867512,65035244
"10";81,8306385129413;3143434;20856882,6906043;1878917,30345642
"11";71,0477351104415;361399;18475041,7452539;1891226,53308463
"12";67,3330095349585;1278323;19009356,1913906;1890320,3754752
"13";45,9566367478164;1399794;15581493,9737304;1903188,63232745
"14";80,8113699649118;1276974;19986571,1629078;1880992,62028775
"15";86,2260621838925;1144482;20134944,6135876;1886257,44332957
"16";89,9649823940372;1433190;20522615,5882932;1886170,06549095
"17";72,0789630141593;1162078;20490420,7968346;1866392,2261446
"18";100;1129768;22494956,9167449;1870475,98529134
"19";85,1690148924348;1751978;21372799,5245568;1870721,77060035
"2";15,299241315444;1780484;14390065,4741525;1872629,81678901
"20";87,6958750587818;1796535;22012066,475443;1865908,12926441
"21";45,588226999531;1076199;17647136,7165431;1872490,43603731
"22";78,0363735000993;199159;19895833,7325202;1874638,22833257
"23";82,634447377052;1593464;20851890,3186919;1873041,01551116
"24";80,5433265909686;1220517;21021356,2220223;1868042,34907646
"25";58,3535965463198;1219133;18938726,5107736;1871486,91227316
"26";83,1926282987167;1485150;21231231,9726647;1871665,23491306
"27";35,9252365095704;976598;16710186,8205208;1872383,90077233
"28";37,6353225005612;886385;18064002,753334;1860767,35599818
"29";78,3446277750076;1912296;20620863,498916;1871906,16055409
"3";33,2412920924867;1435475;15234586,5674212;1881354,95573398
"30";60,1546678149271;916207;19138946,1044578;1866634,84070864
"31";48,1848676941254;1120139;18022491,3486648;1869949,97316666
"32";35,8465334346814;1670078;16392347,1383624;1870838,22697024
"33";19,1374996020826;1035192;15238747,2351052;1872434,36148057
"34";53,4246953808785;768211;17389445,9005508;1877352,22052836
"35";75,609618394167;1898642;20280913,4214812;1871073,73437743
"4";69,0151318035207;2084085;17788979,6731957;1896935,16687123
"5";31,1225592095735;315887;14825519,2949789;1891379,3035328
"6";53,7447912895703;3986034;16131706,3703812;1923047,81597345
"7";53,2438563981517;1045751;15898868,6326477;1909560,90882615
"8";9,68226070414437;1764977;13445571,1954813;1867591,69069775
"9";0;1654890;14177748,7903903;1857363,06488889
