"";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"Step"
"US";7157680,06253039;3950020,92593524;233201,165821806;327575,87284201;1811100,11818611;3276623,4802129;77581,4313313244;2536041,27455256;4149152,10612099;656435,338571322;545707,028908874;2354338,29169101;4362791,80945259;4740132,85051342;2279502,82773911;3492528,90296657;501554,755935214;618176,691253882;6247781,81592548;3603854,43555576;1901002,30047995;6091,71562667407;6104258,2388538;202704,13121486;1943284,64777462;4058293,97073696;3231601,7715919;1947355,66230324;6200851,71508434;2482021,64746969;439739,645267847;1826365,48151994;3414842,75984453;2893389,91170733;2811760,973463;"NoStep"
"JP";72145405,3491665;59206052,3264086;21029315,7457282;3998079,32139823;7096683,95150548;30205915,0313593;908481,926973188;42527779,3414254;57525824,7708123;33825722,9651572;1866056,09036044;8241618,48532633;8619677,00725934;15268826,9814415;8345669,78001847;12024748,537714;20325695,2482007;4667569,01908519;13171968,8330404;35683102,9915141;17230126,4394675;25139,9445460708;25813159,617617;11437271,8881297;14870557,7229896;15593763,7789847;23794863,354329;19467639,7369211;33376839,5266557;23280818,0086877;15913879,7261007;12909692,976337;3737483,33984149;10280742,0249209;11861113,7648388;"NoStep"
"CN";168182,199923594;46200;0;2694,52266621715;10443,546776494;47790,6480196052;0;31823,1548103405;66200;0;6848,57844330193;23668,7859186898;78155,825100654;4505,83744681384;43609,5084437999;51400;0;68429,6485441397;114879,014541434;351701,212952943;4509,54595500052;0;192900;0;30650,1953282201;73544,0420195164;93079,6195183286;3426,66156449053;143612,185810767;80200;0;48220,7285475111;29183,3690296422;85057,0017099833;4624,50970878754;"NoStep"
"KR";140916,430269809;190362,460509908;26398,3657033843;13711,1331657533;40056,3581067012;52581,163304084;0;96309,2037897251;47907,7232754305;20692,1687500327;3208,98861326141;36755,009911094;12734,5004877078;186478,600565502;89377,5506803884;80984,5424004222;45274,926331896;61505,6150875103;100654,438319403;94364,4091439364;27832,626950075;0;85863,1292920139;8616,9337830916;21441,8784613376;62285,4359571233;30515,853703263;89396,7361142707;78286,9057054497;45273,286353971;10461,3610811447;23678,4462827016;17974,0068427506;50468,5272784735;20355,2047843832;"NoStep"
"AI_pat";876,084743658753;835,353680544688;758,400177744119;1668,90059681645;2813,31452244005;54935,8891243949;4758,91497761554;4858,28812392581;1113,80490739292;5239,85577350482;1141,87935571652;8990,37466953669;685,627321365302;0;0;0;103,418206056016;0;0;1028,44098204795;0;0;835,353680544688;172,363676760027;1493,22684978314;1223,18022714785;2656,80587029055;0;1592,88135210682;904,966487256746;137,890941408022;2020,24809088307;0;0;475,891497761554;"NoStep"
"US1";68068561440;19105707297;1321538817;1527234912;7441351875;16725623850;399648652;24117406730;20068877395;3719984751;2544213098;9673380000;22270003002;24418055603;21677761080;16892881379;2842284585;2882083520;25670553750;18395984178;9792717069;57931385;29525456539;1148713716;9060045028;16674502500;16495809174;10031499188;58969254320;12005196932;2491981584;8514940680;14030724375;14769396486;14484348426;"Step0"
"JP1";491258714569;11060443116;59869332025;23249876760;51678900;130790215131;4457793312;289583821889;10746555252;96300015829;10851604143;60016450;37322802801;74921991048;56828054240;2246375868;57866162274;27143134425;95919850;154506185691;84545812224;171185078;4822226316;32561298542;86476181841;113555650;103030657866;95524975944;227272453497;4349152716;45305960529;75073240569;27216800;44515137507;58200820560;"Step0"
"CN1";572384365;212902536;49493769;4861392;73929938;213140974;0;108305613;305068136;345297666;12356038;167551495;348566286;152455770;148418803;236865592;180097728;123459101;813229318;1568548287;152581248;0;888937212;127624401;55298334;520618769;415124749;115941672;488763792;369584056;162385911;86998661;206589266;379344766;156471066;"Step0"
"KR1";137170368;1282167935;336622672;105377196;96743010;369203072;0;93748961;322677835;263859256;24662748;88769685;89416369;756279786;87001576;545463550;577329932;472702670;243097820;662587656;112877580;0;578322800;109880108;164791998;150430065;214269640;362556048;76205760;304933840;133399596;181981186;43410325;354369020;82552260;"Step0"
"AI_pat1";1996555;6366336;2474230;9537069;14491518;176855746;26587100;11071805;8488448;17094680;6525363;46309851;2207248;0;0;0;337395;0;0;3310872;0;0;6366336;562325;8533167;6300660;8553086;0;3630100;6896864;449860;11544873;0;0;2658710;"Step0"
"US2";689586890213,457;372691831725,671;183248839443,02;65472511771,6549;178154360423,902;338664237956,566;11381528392,5659;244327882874,585;391480229480,69;515825096922,964;109070334039,354;231591632271,437;450928088757,823;695397799407,057;219612395703,768;329526607227,599;394120357925,163;123554828211,06;614582022444,497;372486074000,965;278885182780,969;586889494,691641;575948134711,79;159284352908,477;388403840225,631;399206404719,876;334010898098,108;285685419572,549;597403909300,764;234183365486,659;345546212723,451;365035234282,441;335911373269,414;299054101112,621;412497382471,681;"Step1"
"JP2";6227424054931,25;5252139410477,73;2247678085295,2;535589554065,67;1180357493550,87;3098068808854,45;122819044648,47;3670899273375,01;5103087260966,62;3615397531110,58;249980070167,329;1370788977587;884076925028,295;2064215794596,4;720378858377,295;1066709453078,02;2172472957758,98;625275540713,459;2190830565816,52;3659836434896,31;2329366832335,69;2170021703,36614;2289872531767,6;1222450872360,61;1992085383833,36;2593636134138,68;2440519477475,44;2631859636454,63;2881011373349,74;2065229769035,76;1700924516274,2;1729404583674,68;621637725076,874;1054444010923,69;1603521894946,09;"Step1"
"CN2";15522716422,1188;3956597055,30339;1933980230,65208;363674514,292124;1600996031,88806;4577623212,29697;0;2937182460,46561;5669409633,35681;13492584485,4188;924339390,492481;3628425586,28836;7486149152,24017;7953714553,32377;4025027816,19361;4401928325,59728;7037359501,50321;9235817352,54373;17610956350,7686;33687671185,0808;7960260820,44585;0;16520077315,3252;4986952367,33362;4136797600,07291;11274303832,0341;8915623548,85999;6048750820,79931;13254977257,4858;6868378437,9942;6345266241,70464;6508258495,3528;4473811341,4442;8147177774,95454;8163195101,23024;"Step1"
"KR2";14125787577,13;16623959695,528;6446402099,47038;2106958802,00213;4368531963,02209;6893756397,3472;0;9654256440,15659;4183682322,14468;5052965837,79447;493118017,48986;4008488119,91588;1669581627,48253;32860055005,8777;8959411565,12415;7072212479,38917;11056001854,0043;9451428668,55565;10977336727,594;12371830677,382;4904485821,7728;0;7498249375,73791;2104229506,26817;3294924935,04588;6792827173,27062;4000840766,31757;15752915654,4105;7847659765,07225;3953622398,11635;2554633146,40584;3638613250,26609;1960238701,35607;6616775113,52522;3586862765,17712;"Step1"
"AI_pat2";89482201,848478;95060593,9798163;157545583,288365;157406183,369229;356777633,40264;5296590987,35309;746156974,856603;496219482,977924;126747458,639755;1088496757,26507;107698967,56842;1140137219,7867;66104099,686154;0;0;0;21483488,6302316;0;0;99156149,529231;0;0;95060593,9798163;35805814,3837194;140837111,435626;155120710,175061;256153386,283847;0;162694912,451778;102982310,144801;28644651,5069755;190544327,236435;0;0;74615697,4856603;"Step1"
"US3";34913791483,7648;18820156620,8895;11187990607,3136;3724315144,57621;9068193071,12159;17433501466,3806;622799253,028304;12370323272,4051;19768931341,1933;31492948915,4292;6204318207,66978;11788191038,9201;23212535058,3958;38052290965,6955;11118977897,7352;16640403225,5225;24062443593,2041;7028249038,2655;31282694536,9526;19174556358,4868;15260646683,4542;29714221,2714243;29084174049,6307;9724873836,30161;22093826328,3512;20319911028,9217;17193960357,0639;15632756847,233;30246566193,3574;11825769285,1989;21096820007,6642;20764534833,8475;17098145565,1419;15394480804,1487;22571929956,9025;"Step2"
"JP3";306602426888,307;262765899452,385;116592702703,735;28956574000,78;65501185949,5869;159126223982,226;6639358799,26344;180733898342,455;255308781681,774;187539742571,824;13515137376,3218;76068736979,3878;45408876131,9631;111587493117,688;35467298245,5095;53367751117,4274;112691624015,469;33805434269,7786;121575032191,213;187980315547,918;125921042776,756;106839347,181682;114562917778,013;63411594419,822;107701816428,201;143927787671,104;125352493106,614;142273215735,675;141844375968,323;103323981986,069;88231223031,8364;93500015869,0996;34496335598,3335;54159447130,2275;86683276469,8151;"Step2"
"CN3";777778254,545398;194400861,533306;121015709,921071;19856384,3425976;88287479,9718242;231889631,713624;0;147169901,533927;278557078,647291;844276825,73697;50468310,2041022;200090784,048293;379227448,253688;492482258,555757;201677272,472419;216281477,982942;440351479,579014;504269427,367218;971162279,690066;1706523517,14159;492887593,747984;0;811686714,064386;312050542,973731;225866371,897048;621725384,661397;451640636,49639;374529717,617711;664151350,512081;337466430,62708;397044854,289534;355346544,797736;246709873,939957;412713315,649157;505452984,707019;"Step2"
"KR3";721972952,13456;820215345,234027;374948635,816272;116332241,849705;227412655,448062;371078713,757413;0;493431745,642891;206420161,204463;293900786,589611;27226694,9009948;208669854,17487;89870625,9881235;1846716533,79477;457918029,826087;348938358,044204;643061470,379218;521844985,602401;571447185,484875;665953763,082501;275629333,402204;0;369958741,058915;122390438,983696;181923825,020284;353614184,020888;215358182,091356;885304963,405289;401096084,5192;195069154,376519;148587723,582213;200900006,314916;102044140,265156;356169301,151089;201579661,741911;"Step2"
"AI_pat3";4592510,47513839;4990592,09221129;9025364,19454245;7957325,98840303;19069724,1449835;268252292,900182;41236996,6061484;25467558,0894038;6654122,78961505;62357061,7077478;5444486,20259155;60940205,4198387;3347922,53229556;0;0;0;1230731,48107397;0;0;5021883,79844334;0;0;4990592,09221129;2051219,13512328;7119712,72646587;8291184,4108624;12973199,8126453;0;8350019,04570617;5406474,76656223;1640975,30809863;9632552,51227735;0;0;4123699,66061484;"Step2"
