"";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"Step"
"AD";166,502632834128;79,1065847393043;0;0;0;142,472988002264;0;0;0;143,957291125021;0;0;1274,43211991845;167,025681176539;63,8753453117062;0;0;54,4521646860351;64,8431767003868;131,005646122286;0;0;100;0;0;0;0;55,1591920061171;675,867143303783;0;63,3757764595676;806,75510148254;196,119585506213;0;307,221878123635;"NoStep"
"AE";95,4240751137217;507,006211676541;293,365491448196;196,119585506213;25,5396110920325;307,221878123635;333,005265668256;395,532923696522;70,1372462387794;326,050782893854;506,806490452606;712,364940011318;248,222684582892;428,984576227132;253,15495108369;503,850518937574;0;0;446,051241971456;334,051362353078;0;0;324,296414050919;272,260823430175;259,372706801547;131,005646122286;650,680165267224;23,461212042387;700;152,669636063249;299,714490967796;689,094442082506;333,141450457807;165,477576018351;3186,23081843212;"NoStep"
"AF";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;"NoStep"
"AG";217,80865874414;0;0;0;0;300;0;0;0;66,6282900915613;0;386,20979617359;0;0;73,3413728620491;49,0298963765534;0;76,8054695309087;0;0;0;0;72,4009272075152;0;62,0556711457229;0;50,630990216738;0;0;0;0;0;255,501381246825;0;0;"NoStep"
"AI";0;0;0;0;0;0;108,90432937207;0;0;0;0;0;76,3348180316245;0;68,9094442082506;0;0;0;0;63,3757764595676;0;0;0;153,610939061817;0;0;0;0;72,4009272075152;0;0;61,2835108895903;0;71,9786455625105;41,7266084301953;"NoStep"
"AL";142,472988002264;124,111342291446;0;0;0;0;0;0;0;63,8753453117062;0;0;54,4521646860351;129,686353400774;0;162,670041316806;11,7306060211935;0;0;0;0;0;55,1591920061171;289,657347130193;0;0;73,3413728620491;0;25,5396110920325;0;83,2513164170641;158,213169478609;210,411738716338;21,7367188595902;0;"NoStep"
"AM";384,027347654544;83,2513164170641;791,065847393043;561,097969910235;0;1737,62225298036;0;496,445369165783;245,134043558361;1468,2987162854;359,893227812553;125,179825290586;1090,16547015659;828,38087794699;2588,89805823636;1980,13570466289;0;1751,20063587496;108,90432937207;583,588590303482;917,039522856002;0;187,689696339096;0;152,669636063249;959,086371096947;413,456665249504;133,256580183123;441,273536048937;1448,28673565096;190,848150227443;0;586,730982896393;49,0298963765534;893,886388221137;"NoStep"
"AN";1062,07693947737;95,4240751137217;126,751552919135;146,682745724098;0;25,5396110920325;0;83,2513164170641;316,426338957217;911,784201104132;0;579,207417660122;854,837928013581;186,167013437169;551,551598006313;759,46485325107;431,871873375063;0;218,033094031318;191,164817987767;83,5128405882696;0;0;129,718565620367;108,90432937207;64,8431767003868;327,514115305715;244,005061975209;117,306060211935;600;458,008908189747;179,828694580677;0;333,141450457807;413,693940045878;"NoStep"
"AO";100;0;0;0;0;0;0;0;0;73,3413728620491;0;0;0;166,502632834128;79,1065847393043;0;0;0;142,472988002264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23,461212042387;"NoStep"
"AP";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21,7367188595902;0;0;0;0;0;71,9786455625105;0;0;0;0;0;0;"NoStep"
