"Country";"MORc";"RCA";"RCA_step0";"RCA_step1";"RCA_step2";"Period";"Category"
"CN";"49,7648129731607";"49,7648129731607";"34021";"478322,528232562";"6212321,70669513";"Period 1 (1974-1988)";"Overall Complexity"
"JP";"62,7001969090084";"62,7001969090084";"9082595";"512791,063384198";"6670948,50778727";"Period 1 (1974-1988)";"Overall Complexity"
"KR";"52,2068714683163";"52,2068714683163";"31404";"477314,863488728";"6304246,26216906";"Period 1 (1974-1988)";"Overall Complexity"
"US";"48,4221451802859";"48,4221451802859";"1486186";"464191,652377293";"6174629,75418278";"Period 1 (1974-1988)";"Overall Complexity"
"CN";"52,3417423298613";"52,3417423298613";"514698";"867867,947260335";"10140562,9760526";"Period 2 (1989-2003)";"Overall Complexity"
"JP";"72,3957746543983";"72,3957746543983";"17136225";"1040979,89445645";"11575592,1381666";"Period 2 (1989-2003)";"Overall Complexity"
"KR";"71,0066433862607";"71,0066433862607";"1060934";"1026826,19133518";"11339200,7169778";"Period 2 (1989-2003)";"Overall Complexity"
"US";"60,7589879271256";"60,7589879271256";"4165617";"954124,727782703";"10666068,1932628";"Period 2 (1989-2003)";"Overall Complexity"
"CN";"65,7601977566941";"65,7601977566941";"26766744";"2124107,68233103";"16803938,7538051";"Period 3 (2004-2018)";"Overall Complexity"
"JP";"43,784765568031";"43,784765568031";"12391336";"2078681,23657651";"15514013,7413157";"Period 3 (2004-2018)";"Overall Complexity"
"KR";"49,3305609043879";"49,3305609043879";"5287648";"2106943,61604857";"15662821,5378696";"Period 3 (2004-2018)";"Overall Complexity"
"US";"52,1295554188449";"52,1295554188449";"6784028";"2264060,14936583";"15456322,4278207";"Period 3 (2004-2018)";"Overall Complexity"
"CN";"20,3528223302672";"20,3528223302672";"3125";"558148,43296";"763699,375138";"Period 1 (1974-1988)";"AI-core codes"
"JP";"41,8300004496581";"41,8300004496581";"1031916";"500115,278746526";"795831,346219688";"Period 1 (1974-1988)";"AI-core codes"
