"field_nr";"sector";"field_name"
1;"Electrical engineering";"Electrical machinery, apparatus, energy"
2;"Electrical engineering";"Audio-visual technology"
3;"Electrical engineering";"Telecommunications"
4;"Electrical engineering";"Digital communication"
5;"Electrical engineering";"Basic communication processes"
6;"Electrical engineering";"Computer technology"
7;"Electrical engineering";"IT methods for management"
8;"Electrical engineering";"Semiconductors"
9;"Instruments";"Optics"
10;"Instruments";"Measurement"
11;"Instruments";"Analysis of biological materials"
12;"Instruments";"Control"
13;"Instruments";"Medical technology"
14;"Chemistry";"Organic fine chemistry"
15;"Chemistry";"Biotechnology"
16;"Chemistry";"Pharmaceuticals"
17;"Chemistry";"Macromolecular chemistry, polymers"
18;"Chemistry";"Food chemistry"
19;"Chemistry";"Basic materials chemistry "
20;"Chemistry";"Materials, metallurgy"
21;"Chemistry";"Surface technology, coating"
22;"Chemistry";"Micro-structural and nano-technology"
23;"Chemistry";"Chemical engineering"
24;"Chemistry";"Environmental technology"
25;"Mechanical engineering";"Handling"
26;"Mechanical engineering";"Machine tools"
27;"Mechanical engineering";"Engines, pumps, turbines"
28;"Mechanical engineering";"Textile and paper machines"
29;"Mechanical engineering";"Other special machines"
30;"Mechanical engineering";"Thermal processes and apparatus"
31;"Mechanical engineering";"Mechanical elements"
32;"Mechanical engineering";"Transport"
33;"Other fields";"Furniture, games"
34;"Other fields";"Other consumer goods"
35;"Other fields";"Civil engineering"
