"";"Herfindahl";"Herfindahl_RCA";"Entropy";"Entropy_RCA";"Period"
"AD";0,22;0,166666666666667;2,371;2,585;"1st"
"AE";0,36734693877551;0,166666666666667;1,95;2,585;"1st"
"AG";0,5;0,5;1;1;"1st"
"AI";0,2;0,2;2,322;2,322;"1st"
"AL";0,222222222222222;0,2;2,23;2,322;"1st"
"AM";1;1;0;0;"1st"
"AN";0,222222222222222;0,2;2,252;2,322;"1st"
"AR";0,0439401360544218;0,0666666666666667;4,709;3,907;"1st"
"AS";1;1;0;0;"1st"
"AT";0,0415359679376324;0,0555555555555556;4,757;4,17;"1st"
"AU";0,0432511837761526;0,0625;4,737;4;"1st"
"AZ";0,555555555555556;0,5;0,918;1;"1st"
"BA";0,272959183673469;0,125;2,761;3;"1st"
"BB";0,09375;0,0909090909090909;3,5;3,459;"1st"
"BD";0,277777777777778;0,25;1,918;2;"1st"
"BE";0,0479376056382879;0,0666666666666667;4,682;3,907;"1st"
"BG";0,0486753329449026;0,0666666666666667;4,625;3,907;"1st"
"BH";1;1;0;0;"1st"
"BI";0,5;0,5;1;1;"1st"
"BJ";1;1;0;0;"1st"
"BM";0,0978584176085663;0,0833333333333333;3,763;3,585;"1st"
"BN";1;1;0;0;"1st"
"BO";0,0762167125803489;0,0714285714285714;3,847;3,807;"1st"
"BR";0,0475247063225277;0,0769230769230769;4,61;3,7;"1st"
"BS";0,084949215143121;0,0909090909090909;3,914;3,459;"1st"
"BU";0,123829344432882;0,142857142857143;3,433;2,807;"1st"
"BY";1;1;0;0;"1st"
"BZ";0,333333333333333;0,333333333333333;1,585;1,585;"1st"
"CA";0,0385480963344844;0,0588235294117647;4,845;4,087;"1st"
"CC";1;1;0;0;"1st"
"CD";0,25;0,25;2;2;"1st"
"CH";0,0437107352777901;0,0588235294117647;4,741;4,087;"1st"
"CI";0,2578125;0,142857142857143;2,305;2,807;"1st"
"CL";0,0906905944560167;0,0769230769230769;4,138;3,7;"1st"
"CM";0,183673469387755;0,166666666666667;2,522;2,585;"1st"
"CN";0,0475243505788363;0,0666666666666667;4,69;3,907;"1st"
"CO";0,0599938781756964;0,0625;4,42;4;"1st"
"CR";0,0792899408284024;0,0714285714285714;3,915;3,807;"1st"
"CS";0,0509625380559887;0,0666666666666667;4,499;3,907;"1st"
"CU";0,123914037494284;0,111111111111111;3,362;3,17;"1st"
"CY";0,0809327846364883;0,0714285714285714;3,927;3,807;"1st"
"CZ";0,0748449048954772;0,0909090909090909;4,193;3,459;"1st"
"DD";0,0463974454840086;0,0625;4,655;4;"1st"
"DE";0,0407892500030135;0,0555555555555556;4,783;4,17;"1st"
"DK";0,0444329658467463;0,0588235294117647;4,687;4,087;"1st"
"DO";0,100591715976331;0,0833333333333333;3,441;3,585;"1st"
"DZ";0,137755102040816;0,1;3,137;3,322;"1st"
"EC";0,0994897959183673;0,0909090909090909;3,607;3,459;"1st"
"EG";0,0803324099722992;0,0666666666666667;3,934;3,907;"1st"
"ES";0,0478820716848214;0,0666666666666667;4,686;3,907;"1st"
"ET";0,277777777777778;0,25;1,918;2;"1st"
"FI";0,0506521208892228;0,0666666666666667;4,57;3,907;"1st"
"FR";0,0391032760491766;0,0666666666666667;4,85;3,907;"1st"
"GA";0,306122448979592;0,25;1,842;2;"1st"
"GB";0,0386132469807075;0,0555555555555556;4,85;4,17;"1st"
"GC";0,375;0,333333333333333;1,5;1,585;"1st"
"GH";0,375;0,333333333333333;1,5;1,585;"1st"
"GL";0,333333333333333;0,333333333333333;1,585;1,585;"1st"
"GN";0,28;0,25;1,922;2;"1st"
"GR";0,0432095168415896;0,0588235294117647;4,736;4,087;"1st"
"GT";0,0864197530864197;0,0714285714285714;3,684;3,807;"1st"
"GY";0,431952662721893;0,333333333333333;1,314;1,585;"1st"
"HK";0,0924609800092426;0,125;4,113;3;"1st"
"HN";0,25;0,25;2;2;"1st"
"HR";0,387755102040816;0,25;1,664;2;"1st"
"HT";0,506172839506173;0,333333333333333;1,224;1,585;"1st"
"HU";0,0555610155477152;0,0769230769230769;4,556;3,7;"1st"
"ID";0,0803324099722992;0,0769230769230769;4,059;3,7;"1st"
"IE";0,0417035061728395;0,0625;4,779;4;"1st"
"IL";0,0458588154964657;0,0666666666666667;4,733;3,907;"1st"
"IN";0,0556840581109003;0,0833333333333333;4,532;3,585;"1st"
"IQ";0,128888888888889;0,111111111111111;3,057;3,17;"1st"
"IR";0,0581421251949209;0,0625;4,308;4;"1st"
"IS";0,0866389054134444;0,0714285714285714;4,049;3,807;"1st"
"IT";0,0450056194192917;0,0625;4,716;4;"1st"
"JA";0,5;0,5;1;1;"1st"
"JM";0,133786848072562;0,0833333333333333;3,273;3,585;"1st"
"JO";0,1875;0,166666666666667;2,5;2,585;"1st"
"JP";0,0409116690655474;0,0625;4,805;4;"1st"
"KE";0,0918367346938776;0,0833333333333333;3,522;3,585;"1st"
"KI";0,333333333333333;0,333333333333333;1,585;1,585;"1st"
"KN";0,555555555555556;0,5;0,918;1;"1st"
"KP";0,0712809917355372;0,0666666666666667;3,999;3,907;"1st"
"KR";0,0522386129504331;0,0714285714285714;4,644;3,807;"1st"
"KW";0,09875;0,0909090909090909;3,713;3,459;"1st"
"KY";0,146814404432133;0,111111111111111;2,966;3,17;"1st"
"LA";0,28;0,25;1,922;2;"1st"
"LB";0,209829867674858;0,111111111111111;2,696;3,17;"1st"
"LI";0,0615738181818182;0,0909090909090909;4,421;3,459;"1st"
"LK";0,375;0,333333333333333;1,5;1,585;"1st"
"LR";0,166666666666667;0,166666666666667;2,585;2,585;"1st"
"LT";1;1;0;0;"1st"
"LU";0,136334257158066;0,1;3,716;3,322;"1st"
"LY";0,25;0,25;2;2;"1st"
"MA";0,0630963373345645;0,0833333333333333;4,331;3,585;"1st"
"MC";0,0545136003234429;0,0666666666666667;4,43;3,907;"1st"
"MD";1;1;0;0;"1st"
"MG";0,28;0,25;1,922;2;"1st"
"ML";0,333333333333333;0,333333333333333;1,585;1,585;"1st"
"MN";0,09375;0,0833333333333333;3,5;3,585;"1st"
"MO";0,14792899408284;0,125;2,873;3;"1st"
"MR";1;1;0;0;"1st"
"MT";0,5;0,5;1;1;"1st"
"MU";0,194214876033058;0,142857142857143;2,608;2,807;"1st"
"MW";0,5;0,5;1;1;"1st"
"MX";0,0498493147528567;0,0625;4,595;4;"1st"
"MY";0,0768288950107132;0,1;4,155;3,322;"1st"
"NC";0,52;0,5;0,971;1;"1st"
"NG";0,0865051903114187;0,0833333333333333;3,719;3,585;"1st"
"NL";0,0410040526506461;0,0625;4,813;4;"1st"
"NO";0,0636988557561042;0,0833333333333333;4,403;3,585;"1st"
"NZ";0,0564497133919918;0,0666666666666667;4,529;3,907;"1st"
"PA";0,130790331763366;0,111111111111111;3,826;3,17;"1st"
"PC";1;1;0;0;"1st"
"PE";0,0872741253364091;0,0769230769230769;3,844;3,7;"1st"
"PH";0,0740227762388427;0,0833333333333333;4,037;3,585;"1st"
"PK";0,100346020761246;0,0909090909090909;3,455;3,459;"1st"
"PL";0,0498722426067531;0,0625;4,581;4;"1st"
"PR";0,17;0,1;3,039;3,322;"1st"
