"";"Herfindahl";"Herfindahl_RCA";"Entropy";"Entropy_RCA";"Period"
"AB";1;1;0;0;"3rd"
"AD";0,0464699783202941;0,0666666666666667;4,617;3,907;"3rd"
"AE";0,0455169235003769;0,0714285714285714;4,757;3,807;"3rd"
"AF";0,12;0,111111111111111;3,122;3,17;"3rd"
"AG";0,102222222222222;0,0833333333333333;3,54;3,585;"3rd"
"AI";0,173469387755102;0,125;2,753;3;"3rd"
"AL";0,0957763236168947;0,0714285714285714;3,672;3,807;"3rd"
"AM";0,0952340192043896;0,1;4,216;3,322;"3rd"
"AN";0,0551853394418992;0,0909090909090909;4,409;3,459;"3rd"
"AO";0,0816326530612245;0,0714285714285714;3,852;3,807;"3rd"
"AP";0,142857142857143;0,142857142857143;2,807;2,807;"3rd"
"AR";0,0473611580853641;0,0833333333333333;4,709;3,585;"3rd"
"AS";1;1;0;0;"3rd"
"AT";0,0397253978775104;0,0526315789473684;4,867;4,248;"3rd"
"AU";0,0478178866205571;0,0769230769230769;4,704;3,7;"3rd"
"AW";0,136741973840666;0,125;2,987;3;"3rd"
"AX";0,5;0,5;1;1;"3rd"
"AZ";0,2182;0,111111111111111;3,265;3,17;"3rd"
"BA";0,0632002298190175;0,0833333333333333;4,3;3,585;"3rd"
"BB";0,0811114958448753;0,0714285714285714;4,142;3,807;"3rd"
"BC";0,5;0,5;1;1;"3rd"
"BD";0,0652078440358213;0,0833333333333333;4,341;3,585;"3rd"
"BE";0,0354286797505709;0,0625;4,948;4;"3rd"
"BF";0,17;0,125;2,771;3;"3rd"
"BG";0,0569227999544607;0,0909090909090909;4,676;3,459;"3rd"
"BH";0,053076872232137;0,0666666666666667;4,428;3,907;"3rd"
"BI";0,448979591836735;0,2;1,627;2,322;"3rd"
"BJ";0,111342351716961;0,0833333333333333;3,424;3,585;"3rd"
"BL";0,555555555555556;0,5;0,918;1;"3rd"
"BM";0,0813078703703704;0,0909090909090909;3,933;3,459;"3rd"
"BN";0,0917308099710472;0,0833333333333333;3,753;3,585;"3rd"
"BO";0,0973291081937528;0,0833333333333333;3,725;3,585;"3rd"
"BQ";0,5;0,5;1;1;"3rd"
"BR";0,0378781116698391;0,0555555555555556;4,887;4,17;"3rd"
"BS";0,0686102308736985;0,0833333333333333;4,254;3,585;"3rd"
"BT";0,36;0,25;1,685;2;"3rd"
"BU";0,333333333333333;0,333333333333333;1,585;1,585;"3rd"
"BW";0,14878892733564;0,111111111111111;3,052;3,17;"3rd"
"BY";0,0447111639896887;0,0666666666666667;4,73;3,907;"3rd"
"BZ";0,0742022299115725;0,1;4,075;3,322;"3rd"
"CA";0,0521314421130757;0,0714285714285714;4,708;3,807;"3rd"
"CD";0,28;0,25;1,922;2;"3rd"
"CF";1;1;0;0;"3rd"
"CG";0,0864197530864197;0,0769230769230769;3,684;3,7;"3rd"
"CH";0,0433822900004682;0,0666666666666667;4,835;3,907;"3rd"
"CI";0,0847750865051903;0,0666666666666667;3,76;3,907;"3rd"
"CK";0,5;0,5;1;1;"3rd"
"CL";0,048611274227921;0,0625;4,67;4;"3rd"
"CM";0,118457300275482;0,111111111111111;3,664;3,17;"3rd"
"CN";0,0387839425644486;0,0555555555555556;4,882;4,17;"3rd"
"CO";0,0489797850501147;0,0714285714285714;4,705;3,807;"3rd"
"CR";0,0793733379581455;0,1;4,287;3,322;"3rd"
"CS";0,112534626038781;0,142857142857143;3,591;2,807;"3rd"
"CT";0,28;0,25;1,922;2;"3rd"
"CU";0,166371191135734;0,125;3,66;3;"3rd"
"CV";0,1875;0,166666666666667;2,5;2,585;"3rd"
"CW";0,28;0,25;1,922;2;"3rd"
"CX";1;1;0;0;"3rd"
"CY";0,043912668773341;0,0666666666666667;4,762;3,907;"3rd"
"CZ";0,0382038135614065;0,0588235294117647;4,887;4,087;"3rd"
"DD";0,0699588477366255;0,0833333333333333;4,129;3,585;"3rd"
"DE";0,0467222931670879;0,0769230769230769;4,757;3,7;"3rd"
"DJ";0,135802469135802;0,125;2,948;3;"3rd"
"DK";0,04258053620038;0,0625;4,783;4;"3rd"
"DM";0,34375;0,25;1,75;2;"3rd"
"DO";0,0758114329001806;0,0714285714285714;4,086;3,807;"3rd"
"DZ";0,0569444444444444;0,0714285714285714;4,453;3,807;"3rd"
"EA";1;1;0;0;"3rd"
"EC";0,068808864265928;0,0833333333333333;4,403;3,585;"3rd"
"EE";0,0426197558686569;0,0714285714285714;4,803;3,807;"3rd"
"EG";0,0879134065064318;0,0909090909090909;4,299;3,459;"3rd"
"EP";0,218934911242604;0,142857142857143;2,47;2,807;"3rd"
"ER";0,375;0,333333333333333;1,5;1,585;"3rd"
"ES";0,0371105502496437;0,0588235294117647;4,916;4,087;"3rd"
"ET";0,0918367346938776;0,0769230769230769;3,824;3,7;"3rd"
"FI";0,0548733449432211;0,111111111111111;4,655;3,17;"3rd"
"FJ";0,166666666666667;0,166666666666667;2,585;2,585;"3rd"
"FK";1;1;0;0;"3rd"
"FL";0,111111111111111;0,1;3,252;3,322;"3rd"
"FM";1;1;0;0;"3rd"
"FO";0,134814814814815;0,125;3,361;3;"3rd"
"FR";0,0411775965793092;0,0833333333333333;4,858;3,585;"3rd"
"GA";0,0504017531044558;0,0588235294117647;4,412;4,087;"3rd"
"GB";0,0452245696777859;0,0555555555555556;4,782;4,17;"3rd"
"GD";0,135802469135802;0,1;3,17;3,322;"3rd"
"GE";0,0492603550295858;0,0769230769230769;4,615;3,7;"3rd"
"GF";0,34;0,25;1,722;2;"3rd"
"GG";0,25;0,25;2;2;"3rd"
"GH";0,168921262573708;0,125;3,446;3;"3rd"
"GI";0,1486;0,142857142857143;3,18;2,807;"3rd"
"GL";0,222222222222222;0,2;2,252;2,322;"3rd"
"GM";1;1;0;0;"3rd"
"GN";0,26530612244898;0,2;2,128;2,322;"3rd"
"GP";0,24;0,166666666666667;2,322;2,585;"3rd"
"GQ";0,234567901234568;0,2;2,197;2,322;"3rd"
"GR";0,0379393526903873;0,0625;4,893;4;"3rd"
"GT";0,0602551984877127;0,0714285714285714;4,325;3,807;"3rd"
"GU";1;1;0;0;"3rd"
"GY";0,5;0,5;1;1;"3rd"
"HA";1;1;0;0;"3rd"
"HK";0,0541822445758728;0,0666666666666667;4,67;3,907;"3rd"
"HN";0,0740740740740741;0,0588235294117647;4,039;4,087;"3rd"
"HR";0,0443948391961441;0,0666666666666667;4,723;3,907;"3rd"
"HT";0,5;0,5;1;1;"3rd"
"HU";0,0517382206548056;0,0833333333333333;4,659;3,585;"3rd"
"IB";0,5;0,5;1;1;"3rd"
"ID";0,0402091906721536;0,0526315789473684;4,814;4,248;"3rd"
"IE";0,073271604344209;0,1;4,415;3,322;"3rd"
"IL";0,114805685505448;0,1;4,02;3,322;"3rd"
"IM";0,10803324099723;0,0833333333333333;3,638;3,585;"3rd"
"IN";0,101306577160542;0,111111111111111;4,103;3,17;"3rd"
"IO";1;1;0;0;"3rd"
"IQ";0,0588235294117647;0,0769230769230769;4,272;3,7;"3rd"
"IR";0,0421373918273247;0,0714285714285714;4,812;3,807;"3rd"
"IS";0,140869602954172;0,1;3,882;3,322;"3rd"
"IT";0,0366885880964787;0,0714285714285714;4,918;3,807;"3rd"
"JE";0,0693122837370242;0,0769230769230769;4,231;3,7;"3rd"
"JM";0,059265306122449;0,0666666666666667;4,532;3,907;"3rd"
"JO";0,0667305922721683;0,1;4,438;3,322;"3rd"
"JP";0,0414786916565311;0,0666666666666667;4,825;3,907;"3rd"
"KE";0,0753682266564569;0,0909090909090909;4,178;3,459;"3rd"
"KG";0,0963950205932713;0,0909090909090909;3,82;3,459;"3rd"
"KH";0,085134645574206;0,111111111111111;4,107;3,17;"3rd"
"KI";0,5;0,5;1;1;"3rd"
