"";"MORc(mat_1st, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AD";91,5354418979212;91,5354418979212;6;53,1666666666667;11,9083526592455
"AE";84,1368237576805;84,1368237576805;6;49,5;11,452606607744
"AG";47,5465490970861;47,5465490970861;2;40,5;9,39285714285714
"AI";97,1626571676861;97,1626571676861;5;64;12,4483017577275
"AI_pat";21,7617989541511;21,7617989541511;8;20,875;11,6170837132162
"AL";96,851888896997;96,851888896997;5;60;12,3948801198801
"AM";0;0;1;21;7,28571428571429
"AN";97,3255613919617;97,3255613919617;5;56,6;12,4472304336754
"AR";96,768292310159;96,768292310159;15;63,1333333333333;12,4368137804212
"AS";97,5520966226089;97,5520966226089;1;77;12,1298701298701
"AT";95,4482235542602;95,4482235542602;18;58,1666666666667;12,2536547499063
"AU";97,3919188064778;97,3919188064778;16;63,8125;12,4795939292164
"AZ";84,7632328038274;84,7632328038274;2;54;12,0354932653804
"BA";87,1455421564119;87,1455421564119;8;47,375;11,6539136823312
"BB";87,9796337032239;87,9796337032239;11;52,4545454545455;12,0687698799803
"BD";81,7220417901967;81,7220417901967;4;55,75;11,9862798491831
"BE";94,7896769347678;94,7896769347678;15;59,4;12,2059072596731
"BG";91,4932342701212;91,4932342701212;15;54,1333333333333;12,1404330661764
"BH";97,1018974089849;97,1018974089849;1;62;11,4516129032258
"BI";38,4018768704033;38,4018768704033;2;35;8,93877551020408
"BJ";76,8037537408066;76,8037537408066;1;49;10,5918367346939
"BM";96,279824794003;96,279824794003;12;62,8333333333333;12,446834621978
"BN";94,5425111145859;94,5425111145859;1;84;11,5357142857143
"BO";84,2025226018218;84,2025226018218;14;52,1428571428571;11,8106608741865
"BR";94,0178410460099;94,0178410460099;13;58,6923076923077;12,2082480572617
"BS";94,2060248701162;94,2060248701162;11;56,1818181818182;12,0414479911493
"BU";88,7384134751523;88,7384134751523;7;49;12,2283005588881
"BY";97,1018974089849;97,1018974089849;1;62;11,4516129032258
"BZ";98,9211402758342;98,9211402758342;3;58,6666666666667;12,9385022124792
"CA";97,6019969412325;97,6019969412325;17;62,4705882352941;12,4271392090684
"CC";95,6775249600268;95,6775249600268;1;70;12,2714285714286
"CD";97,9160933398455;97,9160933398455;4;60,75;12,8008915847325
"CH";96,512707465674;96,512707465674;17;56,5882352941176;12,6744828804616
"CI";90,8985257381991;90,8985257381991;7;63,5714285714286;11,8631110084633
"CL";93,9667193640421;93,9667193640421;13;55,4615384615385;12,1387291182884
"CM";95,1327839585136;95,1327839585136;6;51;12,4526005461322
"CN";94,0438059405554;94,0438059405554;15;58,6666666666667;12,0622570670325
"CO";95,4182801734703;95,4182801734703;16;60,6875;12,4452674439201
"CR";80,6607117570049;80,6607117570049;14;55,9285714285714;12,279504936666
"CS";95,4493984558796;95,4493984558796;15;57,3333333333333;12,4465154496181
"CU";96,5408599671866;96,5408599671866;9;58,8888888888889;12,668862168972
"CY";90,0389491071232;90,0389491071232;14;53,7857142857143;11,9752495308822
"CZ";96,777724730239;96,777724730239;11;57,2727272727273;12,5902149504602
"DD";94,1548569215981;94,1548569215981;16;54,625;12,340136600397
"DE";97,2422170941585;97,2422170941585;18;57;12,587643710681
"DK";95,5331999955563;95,5331999955563;17;60,5882352941176;12,4977427787327
"DO";90,1123685574303;90,1123685574303;12;54,1666666666667;12,2303332086772
"DZ";95,0733060778869;95,0733060778869;10;58;12,2078034438632
"EC";96,1768703862035;96,1768703862035;11;64,2727272727273;12,2381738658165
"EG";86,0357099017703;86,0357099017703;15;53,0666666666667;12,1401276092238
"ES";94,5990960649597;94,5990960649597;15;61,6666666666667;12,3976083976813
"ET";71,645003797292;71,645003797292;4;42;10,6975440259022
"FI";96,8718633932185;96,8718633932185;15;58,9333333333333;12,423976064413
"FR";98,3059847106513;98,3059847106513;15;61,4;12,8264088258986
"GA";95,2519943202886;95,2519943202886;4;59,5;12,1765453296703
"GB";94,9999229983823;94,9999229983823;18;58,5;12,6195200986747
"GC";44,078057709731;44,078057709731;3;35;10,5497835497835
"GH";44,3945925350777;44,3945925350777;3;41;11,482303066154
"GL";80,1511645370741;80,1511645370741;3;52,6666666666667;12,1337662337662
"GN";91,9173876932836;91,9173876932836;4;53,5;11,292839153666
"GR";93,1766260972356;93,1766260972356;17;60,2352941176471;12,3524961139055
"GT";88,0662121686255;88,0662121686255;14;56,5;12,3108037067171
"GY";92,0839526658212;92,0839526658212;3;58;12,0834935423445
"HK";69,034940028298;69,034940028298;8;45,75;11,410099314343
"HN";95,8750706378878;95,8750706378878;4;65;12,53000879329
"HR";96,2831194604418;96,2831194604418;4;47,5;11,9344031661437
"HT";95,760164437391;95,760164437391;3;71;12,3105339105339
"HU";93,151354934698;93,151354934698;13;58;12,3501796035992
"ID";88,6878335129976;88,6878335129976;13;53;12,0245775501292
