"";"MORc(Surrounding_1st, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AD";97,2526662459806;97,2526662459806;1;81;2,88888888888889
"AG";0;0;1;40;2,425
"AI_pat";99,4930515185471;99,4930515185471;4;42,75;3,34102941176471
"AM";0;0;1;40;2,425
"AR";97,1771182222273;97,1771182222273;3;74,6666666666667;2,95100217864924
"AT";97,1771182222273;97,1771182222273;3;74,6666666666667;2,95100217864924
"AU";97,1771182222273;97,1771182222273;3;74,6666666666667;2,95100217864924
"BA";40,8222329041831;40,8222329041831;3;43,3333333333333;2,73425925925926
"BB";12,6070162332844;12,6070162332844;2;24,5;2,65694444444444
"BE";99,0449744640338;99,0449744640338;5;50,4;3,25060130718954
"BG";64,7595628069004;64,7595628069004;3;61;2,79637254901961
"BI";0;0;1;40;2,425
"BM";64,1820784540817;64,1820784540817;3;65,3333333333333;2,74462962962963
"BO";0;0;1;40;2,425
"BR";97,1771182222273;97,1771182222273;3;74,6666666666667;2,95100217864924
"BS";65,4125951834725;65,4125951834725;3;63;2,78600217864924
"BU";97,2526662459806;97,2526662459806;1;81;2,88888888888889
"CA";97,3758901852176;97,3758901852176;4;60,5;3,08825163398693
"CC";97,2526662459806;97,2526662459806;1;81;2,88888888888889
"CH";97,1771182222273;97,1771182222273;3;74,6666666666667;2,95100217864924
"CL";99,9828258009761;99,9828258009761;4;44,25;3,33325163398693
"CM";98,9851193044368;98,9851193044368;1;68;3,04411764705882
"CN";64,1820784540817;64,1820784540817;3;65,3333333333333;2,74462962962963
"CO";97,1393442103506;97,1393442103506;2;71,5;2,98205882352941
"CR";97,1771182222273;97,1771182222273;3;74,6666666666667;2,95100217864924
"CS";72,8828386666705;72,8828386666705;4;66;2,81950163398693
"CU";95,2935691162645;95,2935691162645;1;75;2,92
"CY";97,1771182222273;97,1771182222273;3;74,6666666666667;2,95100217864924
"CZ";96,2731176811226;96,2731176811226;2;78;2,90444444444444
"DD";72,8828386666705;72,8828386666705;4;66;2,81950163398693
"DE";72,8828386666705;72,8828386666705;4;66;2,81950163398693
"DK";97,1771182222273;97,1771182222273;3;74,6666666666667;2,95100217864924
"DO";97,1771182222273;97,1771182222273;3;74,6666666666667;2,95100217864924
"DZ";47,6467845581323;47,6467845581323;2;57,5;2,6725
"EC";97,1393442103506;97,1393442103506;2;71,5;2,98205882352941
"EG";96,6328875952264;96,6328875952264;2;46,5;3,21
"ES";97,3758901852176;97,3758901852176;4;60,5;3,08825163398693
"FI";97,1771182222273;97,1771182222273;3;74,6666666666667;2,95100217864924
"FR";99,3131665614952;99,3131665614952;4;58,5;3,18825163398693
"GA";98,1188927752087;98,1188927752087;2;74,5;2,96650326797386
"GB";97,1771182222273;97,1771182222273;3;74,6666666666667;2,95100217864924
"GC";0;0;1;40;2,425
"GL";97,6124361600845;97,6124361600845;2;49,5;3,19444444444444
"GR";96,2731176811226;96,2731176811226;2;78;2,90444444444444
"GT";97,1771182222273;97,1771182222273;3;74,6666666666667;2,95100217864924
"HK";48,6263331229903;48,6263331229903;2;60,5;2,65694444444444
"HN";95,2935691162645;95,2935691162645;1;75;2,92
"HT";97,2526662459806;97,2526662459806;1;81;2,88888888888889
"HU";73,0627236237224;73,0627236237224;4;50,25;2,97227941176471
"ID";97,6124361600845;97,6124361600845;2;49,5;3,19444444444444
"IE";97,1771182222273;97,1771182222273;3;74,6666666666667;2,95100217864924
"IL";99,4225156471813;99,4225156471813;3;55,3333333333333;3,2362962962963
"IN";72,8828386666705;72,8828386666705;4;66;2,81950163398693
"IQ";97,1393442103506;97,1393442103506;2;71,5;2,98205882352941
"IR";98,0699972082019;98,0699972082019;3;55,6666666666667;3,14433551198257
"IS";99,3131665614952;99,3131665614952;4;58,5;3,18825163398693
"IT";97,1771182222273;97,1771182222273;3;74,6666666666667;2,95100217864924
