"";"MORc(mat_1st, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AD";89,3958930100877;89,3958930100877;6;53,1666666666667;11,9083526592455
"AE";86,6844632305628;86,6844632305628;6;49,1666666666667;11,4895038603372
"AG";44,9529179161331;44,9529179161331;2;40,5;9,39285714285714
"AI";95,710515169127;95,710515169127;5;64;12,4483017577275
"AL";95,2571758205029;95,2571758205029;5;60;12,3948801198801
"AM";0;0;1;21;7,28571428571429
"AN";95,0462766694604;95,0462766694604;5;56,6;12,4472304336754
"AR";94,5728362670363;94,5728362670363;15;63,1333333333333;12,4368137804212
"AS";95,5748742894677;95,5748742894677;1;77;12,1298701298701
"AT";93,8076562005939;93,8076562005939;18;58,1111111111111;12,2593845974009
"AU";95,5838220741032;95,5838220741032;16;63,75;12,4860400076477
"AZ";88,5873797641598;88,5873797641598;2;53,5;12,0815298507463
"BA";87,5082157501355;87,5082157501355;8;47,25;11,6700774754346
"BB";88,6152179415158;88,6152179415158;11;52,3636363636364;12,0771401682287
"BD";87,392145749603;87,392145749603;4;55,5;12,0426523982027
"BE";93,5900290708132;93,5900290708132;15;59,3333333333333;12,2127830766666
"BG";92,0132418623526;92,0132418623526;15;53,9333333333333;12,1620677842071
"BH";96,3314320683517;96,3314320683517;1;62;11,4516129032258
"BI";37,8253778827752;37,8253778827752;2;35;8,93877551020408
"BJ";75,6507557655504;75,6507557655504;1;49;10,5918367346939
"BM";94,6799987122148;94,6799987122148;12;62,75;12,4554293932199
"BN";91,57037329544;91,57037329544;1;84;11,5357142857143
"BO";84,3365341471554;84,3365341471554;14;52;11,8264739824408
"BR";92,5341960522552;92,5341960522552;13;58,6153846153846;12,2181950068638
"BS";91,6171748239475;91,6171748239475;11;56,1818181818182;12,0414479911493
"BU";89,1843972286296;89,1843972286296;7;49;12,2283005588881
"BY";96,3314320683517;96,3314320683517;1;62;11,4516129032258
"BZ";100;100;3;58,3333333333333;12,9728812974465
"CA";95,6214542266893;95,6214542266893;17;62,4117647058824;12,4332061064156
"CC";93,3504899691923;93,3504899691923;1;70;12,2714285714286
"CD";98,3922884623073;98,3922884623073;4;60,5;12,826675898458
"CH";95,5047496647944;95,5047496647944;17;56,4705882352941;12,6859658466753
"CI";90,6607632042194;90,6607632042194;7;63,4285714285714;11,8762643185678
"CL";92,776879764311;92,776879764311;13;55,3846153846154;12,1466627532808
"CM";96,0468922533665;96,0468922533665;6;50,6666666666667;12,4851356170711
"CN";92,5319589805413;92,5319589805413;15;58,6;12,0683952784146
"CO";94,6457700086763;94,6457700086763;16;60,5625;12,4597954189031
"CR";86,9527859399262;86,9527859399262;14;55,6428571428571;12,3631264096454
"CS";94,1237811649992;94,1237811649992;15;57,2666666666667;12,4533912666116
"CU";95,8931868275347;95,8931868275347;9;58,7777777777778;12,6803218639611
"CY";89,8363950399396;89,8363950399396;14;53,7142857142857;11,9787817129858
"CZ";96,0688141288799;96,0688141288799;11;57,1818181818182;12,5995910645422
"DD";93,6634738282784;93,6634738282784;16;54,5;12,3523372519991
"DE";95,4070332159733;95,4070332159733;18;56,9444444444444;12,5933735581755
"DK";94,6249605676708;94,6249605676708;17;60,4705882352941;12,5114161669521
"DO";90,8471861821711;90,8471861821711;12;54,0833333333333;12,2491240583504
"DZ";93,059336247196;93,059336247196;10;58;12,2078034438632
"EC";93,9446492180809;93,9446492180809;11;64,2727272727273;12,2381738658165
"EG";88,5045758304314;88,5045758304314;15;52,8666666666667;12,1564383408961
"ES";93,5247352681721;93,5247352681721;15;61,6;12,4062290873365
"ET";76,8993340336112;76,8993340336112;4;41,75;10,7099066632649
"FI";94,7044399850895;94,7044399850895;15;58,8666666666667;12,4308518814065
"FR";96,461433031008;96,461433031008;15;61,3333333333333;12,833284642892
"GA";92,8894987584873;92,8894987584873;4;59,5;12,1765453296703
"GB";94,7325305020874;94,7325305020874;18;58,3333333333333;12,637549030367
"GC";52,5540922135309;52,5540922135309;3;34,6666666666667;10,6249469484764
"GH";66,2543040088383;66,2543040088383;3;40,6666666666667;11,732303066154
"GL";82,8238762064367;82,8238762064367;3;52,6666666666667;12,1337662337662
"GN";88,9681417291519;88,9681417291519;4;53,5;11,292839153666
"GR";93,2988080639619;93,2988080639619;17;60,1176470588235;12,3718271404337
"GT";89,6137406478512;89,6137406478512;14;56,3571428571429;12,3266168149713
"GY";91,3384123920166;91,3384123920166;3;58;12,0834935423445
"HK";72,900016293847;72,900016293847;8;45,5;11,4377722537879
"HN";93,1239624289654;93,1239624289654;4;65;12,53000879329
"HR";93,7656268231804;93,7656268231804;4;47,5;11,9344031661437
"HT";93,6292233612817;93,6292233612817;3;71;12,3105339105339
"HU";94,0928397182143;94,0928397182143;13;57,7692307692308;12,3751427397886
"ID";89,2733531785173;89,2733531785173;13;52,8461538461538;12,0395937367164
"IE";94,4759878546063;94,4759878546063;16;58,8125;12,4475034281724
"IL";92,9301337755872;92,9301337755872;15;50,1333333333333;13,0064014623203
"IN";93,5302090497292;93,5302090497292;12;60,5;12,3044030553265
"IQ";90,9059164200189;90,9059164200189;9;54,8888888888889;11,992485299087
"IR";88,5740866776482;88,5740866776482;16;49,375;12,1199828861721
"IS";94,6183175667557;94,6183175667557;14;62,8571428571429;12,3705350465195
"IT";94,4611965369649;94,4611965369649;16;61,125;12,4260935708091
"JA";92,6205621342955;92,6205621342955;2;45;12,5175
"JM";86,5104511966233;86,5104511966233;12;54,8333333333333;11,8210334556156
"JO";95,2843619861647;95,2843619861647;6;53,8333333333333;12,5794352798844
"JP";57,2502920742626;57,2502920742626;16;21,6875;11,3341694936036
"KE";91,2694191281072;91,2694191281072;12;57,75;12,0108608148079
"KI";98,1318169938309;98,1318169938309;3;55,3333333333333;12,6751867413632
"KN";95,8585328126693;95,8585328126693;2;65,5;12,890281030445
"KP";84,0567727803333;84,0567727803333;15;49,2666666666667;12,0582979085445
"KR";77,7445505737008;77,7445505737008;14;39,6428571428571;12,3072095841961
"KW";91,8098910505873;91,8098910505873;11;51,0909090909091;12,002178274057
"KY";84,0870315033944;84,0870315033944;9;52,3333333333333;11,8856083676672
"LA";93,5806863227849;93,5806863227849;4;59;12,1805342881163
"LB";94,4535689656998;94,4535689656998;9;62,8888888888889;12,3133443392522
"LI";93,8691406816381;93,8691406816381;11;60,2727272727273;12,2373405589643
"LK";76,0711943333726;76,0711943333726;3;53;10,5598782937493
"LR";85,9542465584792;85,9542465584792;6;52,8333333333333;11,5920411921162
"LT";83,8105688166232;83,8105688166232;1;27;10,2592592592593
"LU";91,44300390274;91,44300390274;10;56,7;11,8274350246372
"LY";65,4557294943632;65,4557294943632;4;56;10,6140306122449
"MA";84,3698448745614;84,3698448745614;12;54,5833333333333;11,7732150094281
