"";"MORc(mat_1st, RCA = F)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AD";45,7205267292487;45,7205267292487;10;350018,4;6090688,30890463
"AE";32,8008484415957;32,8008484415957;14;430481,857142857;5669897,18663129
"AG";53,1958993233429;53,1958993233429;2;676375;6358703,3975994
"AI";24,8079886059877;24,8079886059877;5;344252;5386948,69850026
"AL";42,3752980203938;42,3752980203938;12;356631,416666667;5964531,02861929
"AM";75,99891134726;75,99891134726;1;958540;7127060,98179732
"AN";37,4846507940062;37,4846507940062;6;361097,5;5809965,51005991
"AR";41,1984323817005;41,1984323817005;525;426991,859047619;5933692,27118405
"AS";39,3351422619924;39,3351422619924;1;550877;5885273,4920318
"AT";43,4298523597827;43,4298523597827;28825;453949,607007806;6006060,86239475
"AU";40,2679721226154;40,2679721226154;74421;439267,174614692;5899952,18601518
"AZ";25,5147098415121;25,5147098415121;3;592152;5375604,14260654
"BA";68,7897915359035;68,7897915359035;28;436928,678571429;6871327,49308351
"BB";41,1601021430514;41,1601021430514;16;456133,5;5934949,64802529
"BD";30,7064768096033;30,7064768096033;6;359380,833333333;5570754,55037519
"BE";44,0319834956863;44,0319834956863;19422;460668,968231902;6021007,69757074
"BG";49,7745928581508;49,7745928581508;60534;481582,9935243;6209579,13527642
"BH";32,9691586160166;32,9691586160166;1;511762;5618275,13425577
"BI";72,7210798551839;72,7210798551839;2;786680;6987045,08657544
"BJ";69,4432483631078;69,4432483631078;1;614820;6847029,19135357
"BM";36,0626349502287;36,0626349502287;82;456854,658536585;5757988,29453993
"BN";11,5477063729037;11,5477063729037;1;414430;4961012,12178896
"BO";45,5199583545072;45,5199583545072;33;467438,060606061;6083087,55544181
"BR";42,7984369338763;42,7984369338763;42785;439474,878368587;5989638,70287033
"BS";48,4185092633321;48,4185092633321;114;447937,807017544;6171381,48682859
"BU";52,5255242102154;52,5255242102154;31;457550,935483871;6315406,86505538
"BY";32,9691586160166;32,9691586160166;1;511762;5618275,13425577
"BZ";19,5972507395418;19,5972507395418;3;155504;5164713,68042888
"CA";45,8815030535722;45,8815030535722;136701;463307,923767931;6089636,60125577
"CC";31,8889428513987;31,8889428513987;1;225610;5603002,12189176
"CD";16,8513029058988;16,8513029058988;4;256768;5075040,1401628
"CH";43,1020026961812;43,1020026961812;88155;464200,71331178;5992336,39280734
"CI";37,5736654121729;37,5736654121729;16;380012,25;5777012,55117993
"CL";51,801536229791;51,801536229791;158;452031,67721519;6284277,19595425
"CM";39,6493283351256;39,6493283351256;7;368855,571428571;5865239,4132722
"CN";49,7648129731607;49,7648129731607;34021;478322,528232562;6212321,70669513
"CO";38,4199157675137;38,4199157675137;198;433398,611111111;5826965,28735311
"CR";43,464488089454;43,464488089454;65;407914,569230769;5998986,70565886
"CS";43,6805705651758;43,6805705651758;1608;467028,435323383;6002622,71557126
"CU";28,6181492692648;28,6181492692648;81;330893,679012346;5496552,94879718
"CY";44,2849645352514;44,2849645352514;27;412757,740740741;6043394,7561651
"CZ";47,042677684238;47,042677684238;884;432022,383484163;6112171,48591071
"DD";46,0843355356443;46,0843355356443;4406;465518,65660463;6087389,21035172
