"";"MORc(Top3_1st, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AR";0;0;1;64;1,328125
"AT";0;0;1;64;1,328125
"AU";0;0;1;64;1,328125
"BD";100;100;1;27;1,55555555555556
"BE";0;0;1;64;1,328125
"BG";50;50;2;45,5;1,44184027777778
"BM";0;0;1;64;1,328125
"BR";50;50;2;45,5;1,44184027777778
"BZ";0;0;1;64;1,328125
"CA";18,6857635503227;18,6857635503227;2;37,5;1,61860795454545
"CD";0;0;1;64;1,328125
"CH";0;0;1;64;1,328125
"CL";18,6857635503227;18,6857635503227;2;37,5;1,61860795454545
"CM";0;0;1;64;1,328125
"CN";0;0;1;64;1,328125
"CO";0;0;1;64;1,328125
"CR";50;50;2;45,5;1,44184027777778
"CS";0;0;1;64;1,328125
"CU";0;0;1;64;1,328125
"CZ";0;0;1;64;1,328125
"DD";0;0;1;64;1,328125
"DE";0;0;1;64;1,328125
"DK";0;0;1;64;1,328125
"DO";100;100;1;27;1,55555555555556
"EG";0;0;1;64;1,328125
"ES";18,6857635503227;18,6857635503227;2;37,5;1,61860795454545
"FI";0;0;1;64;1,328125
"FR";0;0;1;64;1,328125
"GB";0;0;1;64;1,328125
"GC";100;100;1;27;1,55555555555556
"GR";50;50;2;45,5;1,44184027777778
"HK";100;100;1;27;1,55555555555556
"HU";50;50;2;45,5;1,44184027777778
"ID";0;0;1;64;1,328125
"IE";18,6857635503227;18,6857635503227;2;37,5;1,61860795454545
"IL";0;0;1;64;1,328125
"IN";50;50;2;45,5;1,44184027777778
"IR";50;50;2;45,5;1,44184027777778
"IS";18,6857635503227;18,6857635503227;2;37,5;1,61860795454545
"IT";0;0;1;64;1,328125
"JA";0;0;1;64;1,328125
"JP";68,6857635503227;68,6857635503227;2;19;1,73232323232323
"KP";50;50;2;45,5;1,44184027777778
"KR";68,6857635503227;68,6857635503227;2;19;1,73232323232323
"KY";0;0;1;64;1,328125
"LB";0;0;1;64;1,328125
"LI";18,6857635503227;18,6857635503227;2;37,5;1,61860795454545
"LU";18,6857635503227;18,6857635503227;2;37,5;1,61860795454545
"MC";0;0;1;64;1,328125
"MN";100;100;1;27;1,55555555555556
"MU";0;0;1;64;1,328125
"MX";0;0;1;64;1,328125
"MY";0;0;1;64;1,328125
"NL";18,6857635503227;18,6857635503227;2;37,5;1,61860795454545
"NO";0;0;1;64;1,328125
"NZ";0;0;1;64;1,328125
"PA";100;100;1;27;1,55555555555556
"PC";100;100;1;27;1,55555555555556
"PL";100;100;1;27;1,55555555555556
"PT";100;100;1;27;1,55555555555556
"PY";0;0;1;64;1,328125
"RO";0;0;1;64;1,328125
"RU";50;50;2;45,5;1,44184027777778
"SA";0;0;1;64;1,328125
"SC";50;50;2;45,5;1,44184027777778
"SE";0;0;1;64;1,328125
"SG";100;100;1;27;1,55555555555556
"SK";100;100;1;27;1,55555555555556
"ST";0;0;1;64;1,328125
"SU";0;0;1;64;1,328125
"SV";0;0;1;64;1,328125
"TH";100;100;1;27;1,55555555555556
"TR";50;50;2;45,5;1,44184027777778
"TW";50;50;2;45,5;1,44184027777778
"US";0;0;1;64;1,328125
"UY";37,3715271006454;37,3715271006454;1;11;1,90909090909091
"VE";50;50;2;45,5;1,44184027777778
"YU";0;0;1;64;1,328125
"ZA";0;0;1;64;1,328125
