"";"MORc(Top3_1st, RCA = F)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AR";64,8303197275666;64,8303197275666;6;139802;187489,09581129
"AT";58,1340746077807;58,1340746077807;552;138007,789855072;182950,892841982
"AU";42,7032057099185;42,7032057099185;1178;113429,188455008;173001,989120235
"BD";96,3273061217999;96,3273061217999;1;206852;207376,217411483
"BE";42,8314641290454;42,8314641290454;489;105230,691206544;173293,872308505
"BG";66,9580767801655;66,9580767801655;1388;154651,703170029;188575,632556901
"BM";0;0;1;64896;144984,416450937
"BR";75,6441477105886;75,6441477105886;370;153953,654054054;194537,705970052
"BZ";0;0;1;64896;144984,416450937
"CA";66,7215254517023;66,7215254517023;2891;129007,110342442;189052,167567444
"CD";0;0;1;64896;144984,416450937
"CH";65,8940485877729;65,8940485877729;1397;137278,367931281;188279,932045051
"CL";50;50;2;76680;178910,753091177
"CM";0;0;1;64896;144984,416450937
"CN";66,1824049741281;66,1824049741281;384;146952,895833333;188236,431354634
"CO";0;0;1;64896;144984,416450937
"CR";64,2182040811999;64,2182040811999;6;159533,333333333;186578,950424634
"CS";18,0613698978375;18,0613698978375;16;91512,75;156682,879131039
"CU";0;0;5;64896;144984,416450937
"CZ";0;0;6;64896;144984,416450937
"DD";26,6996945811241;26,6996945811241;87;99973,9310344828;162384,253692464
"DE";68,8290475964806;68,8290475964806;22646;143198,370926433;190141,247775391
"DK";26,7265381089755;26,7265381089755;392;97966,1224489796;162452,610201288
"DO";96,3273061217999;96,3273061217999;1;206852;207376,217411483
"EG";0;0;1;64896;144984,416450937
"ES";70,8374914616061;70,8374914616061;98;133916,530612245;191746,888830089
"FI";25,4333029258711;25,4333029258711;498;92681,437751004;161699,091441596
"FR";59,7729704386784;59,7729704386784;4941;126047,548269581;184370,296970989
"GB";68,064226796611;68,064226796611;3211;137017,385238244;189771,686341455
"GC";96,3273061217999;96,3273061217999;2;206852;207376,217411483
"GR";65,4909295585225;65,4909295585225;31;153421,806451613;187602,144348076
"HK";90,6400244893199;90,6400244893199;15;173710,666666667;204308,9384781
"HU";71,9799731769003;71,9799731769003;2173;156386,867924528;191969,391169862
"ID";0;0;2;64896;144984,416450937
"IE";70,384014693592;70,384014693592;25;133955,68;191435,557392111
"IL";45,8420548467562;45,8420548467562;320;109240,125;175254,48671118
"IN";69,5458640619871;69,5458640619871;233;150381,991416309;190452,994453722
"IR";72,2454795913499;72,2454795913499;4;171363;191778,267171346
"IS";33,3333333333333;33,3333333333333;3;72752;167601,974211097
"IT";71,735189538608;71,735189538608;1517;147678,950560316;192018,648749389
"JA";0;0;2;64896;144984,416450937
"JP";85,2869473522777;85,2869473522777;261625;157477,078841854;201049,464045932
"KP";72,2454795913499;72,2454795913499;4;171363;191778,267171346
"KR";90,3743950139852;90,3743950139852;894;159028,161073825;204492,668340817
"KY";0;0;2;64896;144984,416450937
"LB";0;0;1;64896;144984,416450937
"LI";73,1636530608999;73,1636530608999;4;141766;193143,48525133
"LU";61,58182653045;61,58182653045;8;109223;186027,119171253
"MC";0;0;1;64896;144984,416450937
"MN";96,3273061217999;96,3273061217999;1;206852;207376,217411483
"MU";0;0;5;64896;144984,416450937
"MX";41,7543132926216;41,7543132926216;37;123082,702702703;172112,245847928
"MY";48,1636530609;48,1636530609;2;135874;176180,31693121
"NL";79,1072796581644;79,1072796581644;765;150727,31503268;196988,173493141
"NO";39,6902338497699;39,6902338497699;133;103839,428571429;171178,668861374
"NZ";42,6022831630625;42,6022831630625;208;112203,25;172963,438411167
"PA";96,3273061217999;96,3273061217999;1;206852;207376,217411483
"PC";96,3273061217999;96,3273061217999;1;206852;207376,217411483
"PL";81,5200858338316;81,5200858338316;2788;176371,915351506;198001,054170302
"PT";96,3273061217999;96,3273061217999;1;206852;207376,217411483
"PY";0;0;5;64896;144984,416450937
"RO";42,8932640492812;42,8932640492812;877;118790,321550741;172998,597004879
"RU";73,6620576225529;73,6620576225529;17;173450,588235294;192695,79365606
"SA";32,1091020406;32,1091020406;3;112214,666666667;165781,683437785
"SC";68,8052186584285;68,8052186584285;7;166293,142857143;189549,988565612
"SE";41,8496047577201;41,8496047577201;1352;104043,278106509;172651,454576602
"SG";96,3273061217999;96,3273061217999;3;206852;207376,217411483
"SK";96,3273061217999;96,3273061217999;1;206852;207376,217411483
"ST";5,35151700676666;5,35151700676666;18;72782,4444444444;148450,627615412
"SU";51,9862474010282;51,9862474010282;375;138205,952;178738,423163549
"SV";0;0;2;64896;144984,416450937
"TH";96,3273061217999;96,3273061217999;5;206852;207376,217411483
"TR";67,4291142852599;67,4291142852599;10;164265,2;188658,677123319
"TW";71,3646143927157;71,3646143927157;38;157033,263157895;191532,151087121
"US";65,3176292261832;65,3176292261832;45872;136669,819933729;187900,584035343
"UY";100;100;1;88464;212837,089731416
"VE";64,2182040811999;64,2182040811999;6;159533,333333333;186578,950424634
"YU";48,7757687072666;48,7757687072666;6;116142,666666667;177090,462317865
"ZA";55,930845505594;55,930845505594;235;127301,6;181709,549548091
