"";"MORc(mat_2nd, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AD";92,9368335863746;92,9368335863746;8;90,375;12,469855846996
"AE";87,44663660797;87,44663660797;14;82,6428571428571;12,4374124958193
"AF";97,9020082337164;97,9020082337164;1;107;12,392523364486
"AG";78,6006201394798;78,6006201394798;11;78,0909090909091;11,9692993419455
"AI";88,5731211203705;88,5731211203705;9;85,3333333333333;12,5200450674378
"AI_pat";63,3087461991409;63,3087461991409;6;62,3333333333333;12,0976187855123
"AL";86,9122139615263;86,9122139615263;14;79,7142857142857;12,1640436595851
"AM";81,7260361977486;81,7260361977486;16;82,875;12,3242104320781
"AN";88,932545561313;88,932545561313;13;81,1538461538462;12,2241336592885
"AO";87,6313519182073;87,6313519182073;6;87,1666666666667;11,8669883313538
"AP";100;100;2;97,5;12,6247368421053
"AR";91,9188615273449;91,9188615273449;17;87,5882352941177;12,5676624998995
"AS";97,4216001617156;97,4216001617156;1;59;12,4067796610169
"AT";91,1590236748356;91,1590236748356;18;77,3888888888889;12,7042323330914
"AU";91,9422718010599;91,9422718010599;15;87,1333333333333;12,5817822057685
"AW";66,8956539728323;66,8956539728323;7;56;11,5749749429211
"AZ";93,4010324605468;93,4010324605468;14;84,1428571428571;12,4325303242395
"BA";91,6505795893612;91,6505795893612;10;77,7;12,5008599693753
"BB";83,6880152446671;83,6880152446671;11;72,5454545454545;12,6226727698774
"BD";72,059516418477;72,059516418477;15;73,1333333333333;12,2323996794866
"BE";83,1112533751667;83,1112533751667;13;74,3076923076923;12,2507742013619
"BF";84,4690964637479;84,4690964637479;7;82,1428571428571;11,6801865088934
"BG";93,9810697977299;93,9810697977299;15;89,8666666666667;12,4212582106069
"BH";69,1565823478162;69,1565823478162;15;68,7333333333333;12,4071238605177
"BI";94,9536220800261;94,9536220800261;1;100;12,74
"BJ";93,1384598452912;93,1384598452912;2;118,5;12,2933576642336
"BM";73,5620344717814;73,5620344717814;11;82,0909090909091;12,1488945717285
"BN";87,3820301195629;87,3820301195629;3;96,6666666666667;12,2246737672163
"BO";93,4832116794421;93,4832116794421;16;86,8125;12,3702730035615
"BR";92,2098133930861;92,2098133930861;16;86,125;12,4922258492425
"BS";85,9139120486494;85,9139120486494;11;80,6363636363636;12,3699671934424
"BT";97,4216001617156;97,4216001617156;1;59;12,4067796610169
"BU";95,8796930593827;95,8796930593827;7;91,2857142857143;12,4416366933041
"BW";96,3174768487436;96,3174768487436;2;72,5;13,147154316272
"BY";94,4075963549437;94,4075963549437;15;74,8;12,5623467387719
"BZ";54,1062091595266;54,1062091595266;5;57;11,4168133207711
"CA";75,0209194646211;75,0209194646211;16;78,5625;12,3393829891274
"CC";94,9536220800261;94,9536220800261;1;100;12,74
"CF";85,6264392460144;85,6264392460144;2;112,5;12,303740904777
"CG";86,5328840662108;86,5328840662108;11;72,6363636363636;12,165754725456
"CH";93,2939910544086;93,2939910544086;19;85,2631578947368;12,5264771534585
"CI";94,6568529813738;94,6568529813738;11;95,3636363636364;12,4230286067496
"CK";97,133864857115;97,133864857115;1;66;12,6666666666667
"CL";94,6844774257975;94,6844774257975;14;87,7857142857143;12,5915916450447
"CM";82,2759008469369;82,2759008469369;11;83;12,3058384147677
"CN";86,2798309190168;86,2798309190168;14;82,9285714285714;12,7736482668458
"CO";91,3386017725946;91,3386017725946;11;89,9090909090909;12,4411082207894
"CR";93,0631475765616;93,0631475765616;12;85,8333333333333;12,474324739039
"CS";91,5758968021533;91,5758968021533;17;84,4705882352941;12,4157925994058
"CU";89,4522815879573;89,4522815879573;5;106,4;12,5271251418899
"CV";89,0935198891518;89,0935198891518;2;65;12,25875
"CY";86,2697659204945;86,2697659204945;13;85,3076923076923;12,5937766134489
