"";"MORc(Surrounding_2nd, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AD";48,262312912306;48,262312912306;1;133;2,81203007518797
"AE";44,431542891067;44,431542891067;5;76,8;2,96649650704835
"AG";25,6744821182085;25,6744821182085;2;74,5;2,89414913252123
"AI";43,9886385496622;43,9886385496622;2;115,5;2,91621911922664
"AI_pat";80,4386103203334;80,4386103203334;3;69;3,10797827903091
"AL";24,5498305071063;24,5498305071063;4;79,75;2,810649242153
"AM";80,4386103203334;80,4386103203334;3;69;3,10797827903091
"AN";32,7331073428084;32,7331073428084;3;98;2,85419898953733
"AO";10,2220449291007;10,2220449291007;1;63;2,73015873015873
"AR";43,0347321355469;43,0347321355469;3;105,666666666667;2,96352592444567
"AT";34,8315603339354;34,8315603339354;4;95;2,90518412587393
"AU";43,0347321355469;43,0347321355469;3;105,666666666667;2,96352592444567
"AZ";33,2037590495743;33,2037590495743;3;94;2,86677611341014
"BA";24,131156456153;24,131156456153;2;79;2,74601503759398
"BB";44,6946161098112;44,6946161098112;2;109,5;2,93508480503585
"BD";96,5267590243472;96,5267590243472;2;37;3,25595238095238
"BE";64,4315428910671;64,4315428910671;5;78,2;3,08049650704835
"BG";33,2037590495743;33,2037590495743;3;94;2,86677611341014
"BH";80,4386103203334;80,4386103203334;3;69;3,10797827903091
"BM";62,6590923664415;62,6590923664415;3;87,6666666666667;3,02747941281776
"BO";55,5394286138338;55,5394286138338;4;89,75;3,03812063381044
"BR";43,0347321355469;43,0347321355469;3;105,666666666667;2,96352592444567
"BS";43,9886385496622;43,9886385496622;2;115,5;2,91621911922664
"BY";34,8315603339354;34,8315603339354;4;95;2,90518412587393
"BZ";0;0;1;25;2,68
"CA";64,4315428910671;64,4315428910671;5;78,2;3,08049650704835
"CF";48,262312912306;48,262312912306;1;133;2,81203007518797
"CG";22,7659821058589;22,7659821058589;4;68;2,87217660707694
"CH";43,0347321355469;43,0347321355469;3;105,666666666667;2,96352592444567
"CI";43,9886385496622;43,9886385496622;2;115,5;2,91621911922664
"CL";34,8315603339354;34,8315603339354;4;95;2,90518412587393
"CM";10,2220449291007;10,2220449291007;1;63;2,73015873015873
"CN";70,2576987870047;70,2576987870047;4;76,25;3,08608575008951
"CO";43,9886385496622;43,9886385496622;2;115,5;2,91621911922664
"CR";43,0347321355469;43,0347321355469;3;105,666666666667;2,96352592444567
"CS";32,7331073428084;32,7331073428084;3;98;2,85419898953733
"CU";43,9886385496622;43,9886385496622;2;115,5;2,91621911922664
"CV";39,7149641870185;39,7149641870185;1;98;3,02040816326531
"CY";48,262312912306;48,262312912306;1;133;2,81203007518797
"CZ";34,8315603339354;34,8315603339354;4;95;2,90518412587393
"DD";29,2421789207033;29,2421789207033;2;98;2,77109440267335
"DE";34,8315603339354;34,8315603339354;4;95;2,90518412587393
"DK";63,1297440732074;63,1297440732074;3;83,6666666666667;3,04005653669056
"DO";43,9886385496622;43,9886385496622;2;115,5;2,91621911922664
"DZ";48,262312912306;48,262312912306;1;133;2,81203007518797
"EC";32,7331073428084;32,7331073428084;3;98;2,85419898953733
"EE";43,0347321355469;43,0347321355469;3;105,666666666667;2,96352592444567
"EG";80,4386103203334;80,4386103203334;3;69;3,10797827903091
"ES";43,0347321355469;43,0347321355469;3;105,666666666667;2,96352592444567
"FI";78,0601457853369;78,0601457853369;3;53,3333333333333;3,19001476559616
"FJ";50;50;2;28,5;2,965
"FR";55,5394286138338;55,5394286138338;4;89,75;3,03812063381044
"GA";10,2220449291007;10,2220449291007;1;63;2,73015873015873
"GB";64,4315428910671;64,4315428910671;5;78,2;3,08049650704835
"GD";24,9685045580596;24,9685045580596;2;80,5;2,87528344671202
"GE";32,7331073428084;32,7331073428084;3;98;2,85419898953733
"GH";41,1269193073164;41,1269193073164;1;86;3,05813953488372
"GI";63,1297440732074;63,1297440732074;3;83,6666666666667;3,04005653669056
"GL";0;0;1;25;2,68
"GN";48,262312912306;48,262312912306;1;133;2,81203007518797
"GP";40,4209417471674;40,4209417471674;2;92;3,03927384907451
"GQ";96,5267590243472;96,5267590243472;2;37;3,25595238095238
"GR";43,0347321355469;43,0347321355469;3;105,666666666667;2,96352592444567
"GT";43,9886385496622;43,9886385496622;2;115,5;2,91621911922664
"GU";24,9685045580596;24,9685045580596;2;80,5;2,87528344671202
"GY";44,6946161098112;44,6946161098112;2;109,5;2,93508480503585
"HK";16,6456697053731;16,6456697053731;3;62;2,81018896447468
"HN";67,0902186780054;67,0902186780054;2;64;3,16002214839424
"HR";34,8315603339354;34,8315603339354;4;95;2,90518412587393
"HT";48,262312912306;48,262312912306;1;133;2,81203007518797
"HU";34,8315603339354;34,8315603339354;4;95;2,90518412587393
"IB";10,2220449291007;10,2220449291007;1;63;2,73015873015873
"ID";39,7149641870185;39,7149641870185;1;98;3,02040816326531
