"";"MORc(Top3_2nd, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AE";65,963360943098;65,963360943098;1;86;1,37209302325581
"AI_pat";65,963360943098;65,963360943098;1;86;1,37209302325581
"AM";32,981680471549;32,981680471549;2;66;1,38169868554095
"AN";0;0;1;46;1,39130434782609
"AR";65,963360943098;65,963360943098;1;86;1,37209302325581
"AT";82,981680471549;82,981680471549;2;58;1,51937984496124
"AU";65,963360943098;65,963360943098;1;86;1,37209302325581
"AZ";82,981680471549;82,981680471549;2;58;1,51937984496124
"BB";100;100;1;30;1,66666666666667
"BD";32,981680471549;32,981680471549;2;66;1,38169868554095
"BE";65,963360943098;65,963360943098;1;86;1,37209302325581
"BG";82,981680471549;82,981680471549;2;58;1,51937984496124
"BH";100;100;1;30;1,66666666666667
"BM";0;0;1;46;1,39130434782609
"BO";0;0;1;46;1,39130434782609
"BR";65,963360943098;65,963360943098;1;86;1,37209302325581
"BS";0;0;1;46;1,39130434782609
"BY";65,963360943098;65,963360943098;1;86;1,37209302325581
"CA";32,981680471549;32,981680471549;2;66;1,38169868554095
"CH";65,963360943098;65,963360943098;1;86;1,37209302325581
"CL";65,963360943098;65,963360943098;1;86;1,37209302325581
"CM";65,963360943098;65,963360943098;1;86;1,37209302325581
"CN";32,981680471549;32,981680471549;2;66;1,38169868554095
"CO";65,963360943098;65,963360943098;1;86;1,37209302325581
"CR";0;0;1;46;1,39130434782609
"CS";65,963360943098;65,963360943098;1;86;1,37209302325581
"CU";65,963360943098;65,963360943098;1;86;1,37209302325581
"CY";82,981680471549;82,981680471549;2;58;1,51937984496124
"CZ";65,963360943098;65,963360943098;1;86;1,37209302325581
"DD";65,963360943098;65,963360943098;1;86;1,37209302325581
"DE";65,963360943098;65,963360943098;1;86;1,37209302325581
"DK";65,963360943098;65,963360943098;1;86;1,37209302325581
"DZ";65,963360943098;65,963360943098;1;86;1,37209302325581
"EE";65,963360943098;65,963360943098;1;86;1,37209302325581
"EG";0;0;1;46;1,39130434782609
"ES";65,963360943098;65,963360943098;1;86;1,37209302325581
"FI";0;0;1;46;1,39130434782609
"FR";65,963360943098;65,963360943098;1;86;1,37209302325581
"GB";32,981680471549;32,981680471549;2;66;1,38169868554095
"GE";65,963360943098;65,963360943098;1;86;1,37209302325581
"GQ";0;0;1;46;1,39130434782609
"GR";65,963360943098;65,963360943098;1;86;1,37209302325581
"GT";65,963360943098;65,963360943098;1;86;1,37209302325581
"HK";82,981680471549;82,981680471549;2;58;1,51937984496124
"HN";0;0;1;46;1,39130434782609
"HR";50;50;2;38;1,52898550724638
"HU";82,981680471549;82,981680471549;2;58;1,51937984496124
"ID";32,981680471549;32,981680471549;2;66;1,38169868554095
"IE";0;0;1;46;1,39130434782609
"IL";0;0;1;46;1,39130434782609
"IN";32,981680471549;32,981680471549;2;66;1,38169868554095
"IO";0;0;1;46;1,39130434782609
"IR";100;100;1;30;1,66666666666667
"IS";32,981680471549;32,981680471549;2;66;1,38169868554095
"IT";82,981680471549;82,981680471549;2;58;1,51937984496124
"JM";0;0;1;46;1,39130434782609
"JO";65,963360943098;65,963360943098;1;86;1,37209302325581
"JP";100;100;1;30;1,66666666666667
"KE";65,963360943098;65,963360943098;1;86;1,37209302325581
"KI";65,963360943098;65,963360943098;1;86;1,37209302325581
"KN";50;50;2;38;1,52898550724638
"KP";82,981680471549;82,981680471549;2;58;1,51937984496124
"KR";0;0;1;46;1,39130434782609
"KW";82,981680471549;82,981680471549;2;58;1,51937984496124
"KY";32,981680471549;32,981680471549;2;66;1,38169868554095
"KZ";65,963360943098;65,963360943098;1;86;1,37209302325581
"LB";32,981680471549;32,981680471549;2;66;1,38169868554095
"LI";65,963360943098;65,963360943098;1;86;1,37209302325581
"LK";32,981680471549;32,981680471549;2;66;1,38169868554095
"LR";0;0;1;46;1,39130434782609
"LT";65,963360943098;65,963360943098;1;86;1,37209302325581
"LU";82,981680471549;82,981680471549;2;58;1,51937984496124
"LV";65,963360943098;65,963360943098;1;86;1,37209302325581
"MA";65,963360943098;65,963360943098;1;86;1,37209302325581
"MC";65,963360943098;65,963360943098;1;86;1,37209302325581
"MD";65,963360943098;65,963360943098;1;86;1,37209302325581
"MG";65,963360943098;65,963360943098;1;86;1,37209302325581
"MO";0;0;1;46;1,39130434782609
"MR";100;100;1;30;1,66666666666667
"MT";0;0;1;46;1,39130434782609
"MX";65,963360943098;65,963360943098;1;86;1,37209302325581
"MY";100;100;1;30;1,66666666666667
"NC";65,963360943098;65,963360943098;1;86;1,37209302325581
"NG";0;0;1;46;1,39130434782609
"NL";65,963360943098;65,963360943098;1;86;1,37209302325581
"NO";32,981680471549;32,981680471549;2;66;1,38169868554095
"NP";0;0;1;46;1,39130434782609
"NZ";65,963360943098;65,963360943098;1;86;1,37209302325581
"OA";65,963360943098;65,963360943098;1;86;1,37209302325581
"PA";0;0;1;46;1,39130434782609
"PE";100;100;1;30;1,66666666666667
"PH";82,981680471549;82,981680471549;2;58;1,51937984496124
"PK";0;0;1;46;1,39130434782609
"PL";82,981680471549;82,981680471549;2;58;1,51937984496124
"PR";32,981680471549;32,981680471549;2;66;1,38169868554095
"PT";0;0;1;46;1,39130434782609
"RE";0;0;1;46;1,39130434782609
"RO";82,981680471549;82,981680471549;2;58;1,51937984496124
"RU";65,963360943098;65,963360943098;1;86;1,37209302325581
"SA";65,963360943098;65,963360943098;1;86;1,37209302325581
"SE";0;0;1;46;1,39130434782609
"SG";100;100;1;30;1,66666666666667
"SI";82,981680471549;82,981680471549;2;58;1,51937984496124
"SK";82,981680471549;82,981680471549;2;58;1,51937984496124
"ST";65,963360943098;65,963360943098;1;86;1,37209302325581
"SU";82,981680471549;82,981680471549;2;58;1,51937984496124
"SV";0;0;1;46;1,39130434782609
"SY";65,963360943098;65,963360943098;1;86;1,37209302325581
"TC";65,963360943098;65,963360943098;1;86;1,37209302325581
"TH";65,963360943098;65,963360943098;1;86;1,37209302325581
"TJ";65,963360943098;65,963360943098;1;86;1,37209302325581
"TM";65,963360943098;65,963360943098;1;86;1,37209302325581
"TN";65,963360943098;65,963360943098;1;86;1,37209302325581
"TR";0;0;1;46;1,39130434782609
"TT";100;100;1;30;1,66666666666667
"TW";100;100;1;30;1,66666666666667
"UA";65,963360943098;65,963360943098;1;86;1,37209302325581
"UG";65,963360943098;65,963360943098;1;86;1,37209302325581
"US";32,981680471549;32,981680471549;2;66;1,38169868554095
"UY";65,963360943098;65,963360943098;1;86;1,37209302325581
"UZ";65,963360943098;65,963360943098;1;86;1,37209302325581
"VE";65,963360943098;65,963360943098;1;86;1,37209302325581
"VG";0;0;1;46;1,39130434782609
"VN";32,981680471549;32,981680471549;2;66;1,38169868554095
"VU";0;0;1;46;1,39130434782609
"YU";82,981680471549;82,981680471549;2;58;1,51937984496124
"ZA";50;50;2;38;1,52898550724638
