"";"MORc(mat_2nd, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AD";92,7349198829244;92,7349198829244;8;90,5;12,5218270639182
"AE";88,0519114026282;88,0519114026282;14;82,5;12,5095989650096
"AF";98,1561729176646;98,1561729176646;1;107;12,411214953271
"AG";79,4065259127562;79,4065259127562;11;78;12,0382266979663
"AI";88,7968761855591;88,7968761855591;9;85,3333333333333;12,5879806762
"AL";86,4333858443263;86,4333858443263;14;79,7857142857143;12,2095506641782
"AM";82,1582739673476;82,1582739673476;16;82,8125;12,3836067472549
"AN";89,2675254074176;89,2675254074176;13;81,0769230769231;12,2814372766081
"AO";87,6734058536659;87,6734058536659;6;87;11,9050192713252
"AP";100;100;2;97,5;12,6455263157895
"AR";92,2041653502763;92,2041653502763;17;87,5882352941177;12,6221606467019
"AS";95,2951470197783;95,2951470197783;1;59;12,4406779661017
"AT";90,5858683895123;90,5858683895123;19;79,4210526315789;12,7240900546633
"AU";92,2666175467195;92,2666175467195;15;87,0666666666667;12,6426607881212
"AW";67,5107697318719;67,5107697318719;7;56,1428571428571;11,6576074183538
"AZ";93,4050975661336;93,4050975661336;14;84,1428571428571;12,472970346106
"BA";91,9511654719707;91,9511654719707;10;77,8;12,5626663231223
"BB";83,8151252589901;83,8151252589901;11;72,4545454545455;12,6897952046504
"BD";72,1576385274223;72,1576385274223;15;73,2;12,2946182848118
"BE";82,7932216415277;82,7932216415277;13;74,3076923076923;12,2892981622271
"BF";83,70937953072;83,70937953072;7;82,2857142857143;11,7057058095054
"BG";93,9616990502758;93,9616990502758;15;89,8;12,4605808473612
"BH";69,776223283077;69,776223283077;15;68,8;12,4880522540609
"BI";94,6404657557636;94,6404657557636;1;100;12,77
"BJ";93,0457046872928;93,0457046872928;2;118,5;12,3193065693431
"BM";74,1921474672802;74,1921474672802;11;82;12,2266861121976
"BN";88,9103579154139;88,9103579154139;3;96,6666666666667;12,3034209581886
"BO";93,5285269962255;93,5285269962255;16;86,75;12,4120751464929
"BR";92,3221845530409;92,3221845530409;16;86,1875;12,5407076252195
"BS";86,5253414892388;86,5253414892388;11;80,6363636363636;12,4471454378077
"BT";95,2951470197783;95,2951470197783;1;59;12,4406779661017
"BU";95,542421486572;95,542421486572;7;91,2857142857143;12,4690950015925
"BW";96,3399865696564;96,3399865696564;2;72,5;13,1674942704354
"BY";94,1735890416969;94,1735890416969;15;74,7333333333333;12,6104315423179
"BZ";55,5948461493084;55,5948461493084;5;56,8;11,5450077621146
"CA";75,4752467498706;75,4752467498706;16;78,5625;12,4097016813083
"CC";94,6404657557636;94,6404657557636;1;100;12,77
"CF";86,2591312810862;86,2591312810862;2;112,5;12,3953653906991
"CG";85,8996792647714;85,8996792647714;11;72,6363636363636;12,2054999580554
"CH";93,3272789563669;93,3272789563669;19;85,1578947368421;12,5746394430851
"CI";94,6936857896981;94,6936857896981;11;95,3636363636364;12,4608967296738
"CK";97,1017710120975;97,1017710120975;1;66;12,6969696969697
"CL";94,7522567855095;94,7522567855095;14;87,7142857142857;12,6273782890645
"CM";83,0030080280854;83,0030080280854;11;83;12,3799992208506
"CN";86,3707729236952;86,3707729236952;14;82,9285714285714;12,8214339631877
"CO";91,6488307469323;91,6488307469323;11;89,9090909090909;12,5009870541579
"CR";92,8379060753428;92,8379060753428;12;85,9166666666667;12,5170551446536
"CS";91,5750529077985;91,5750529077985;17;84,3529411764706;12,4641508781937
"CU";89,916042261363;89,916042261363;5;106,2;12,6050861753212
"CV";88,3496437345591;88,3496437345591;2;65;12,30375
"CY";86,4609379215654;86,4609379215654;13;85,2307692307692;12,6509704204641
"CZ";94,7555075405793;94,7555075405793;19;82,6842105263158;12,7033797294917
"DD";94,3511077980062;94,3511077980062;15;89,4;12,621886303452
"DE";92,2067838209117;92,2067838209117;16;78,125;12,7099603546701
"DJ";96,3716554871314;96,3716554871314;2;73,5;12,5772016774685
"DK";94,4360947947075;94,4360947947075;15;91,7333333333333;12,6048443599773
"DM";94,3802593063203;94,3802593063203;3;101;12,3644622291626
"DO";90,1106074365976;90,1106074365976;13;80,1538461538462;12,4989082930164
"DZ";88,7818692880697;88,7818692880697;12;76,75;12,4012667971487
"EC";90,0846379568304;90,0846379568304;11;90,5454545454545;12,5292679565827
"EE";92,4248373727525;92,4248373727525;16;77,0625;12,6341118152662
"EG";70,3385461523336;70,3385461523336;14;74,2857142857143;12,5266695029798
"EP";92,6802755394726;92,6802755394726;5;105,4;12,3430063351923
"ES";91,6490160939474;91,6490160939474;17;88,0588235294118;12,5990706782788
"ET";92,0184791234193;92,0184791234193;2;75;12,445
"FI";80,1117676345498;80,1117676345498;15;72,6;12,7925282503904
"FJ";73,3791456323099;73,3791456323099;7;80,7142857142857;12,1231488846853
"FO";92,163299216256;92,163299216256;4;93,5;12,327969543658
"FR";89,2705306186042;89,2705306186042;17;88,4705882352941;12,5424820385769
"GA";92,9982409817815;92,9982409817815;12;77,5;12,4433557876178
"GB";73,7359272945156;73,7359272945156;19;72,6842105263158;12,4110327470467
"GC";0;0;1;16;11
"GD";90,8828816721123;90,8828816721123;7;87,1428571428571;12,2219109452965
"GE";85,1051067067949;85,1051067067949;16;79,25;12,3178693934415
"GF";98,1561729176646;98,1561729176646;1;107;12,411214953271
"GH";94,6607319428383;94,6607319428383;7;97,1428571428571;12,4988249891191
"GI";93,2252900438925;93,2252900438925;10;88,4;12,3750627048792
"GL";50,9175035116811;50,9175035116811;2;52;11,4645732689211
"GM";89,5104608632816;89,5104608632816;4;108;12,2984947610957
"GN";97,4555758448194;97,4555758448194;7;99;12,6010574572754
"GP";93,0135534001638;93,0135534001638;6;82,5;12,5776335525679
"GQ";23,6539788739746;23,6539788739746;2;31,5;12,1535714285714
"GR";90,8008895657514;90,8008895657514;19;84,9473684210526;12,7217691208129
"GT";83,5844468757835;83,5844468757835;14;73,1428571428571;12,5106183166913
"GU";86,1465499384755;86,1465499384755;5;67,2;11,9978106958195
"GY";93,3414116048;93,3414116048;5;82,4;12,4117428424387
"HK";64,7405292146107;64,7405292146107;12;71;12,2286290088072
"HN";83,5317404287083;83,5317404287083;7;88,2857142857143;12,2959657524284
"HR";94,5593851948923;94,5593851948923;14;91,0714285714286;12,5328084855871
"HT";86,3525302166366;86,3525302166366;1;116;12,2586206896552
"HU";96,2954594589518;96,2954594589518;9;102,111111111111;12,5201134064197
"IB";63,5322726213442;63,5322726213442;1;43;10,3023255813953
"ID";90,2568572440489;90,2568572440489;12;82,3333333333333;12,5746224008046
"IE";68,1341829865468;68,1341829865468;14;72,1428571428571;12,4868461735715
"IL";62,4561557948027;62,4561557948027;12;67,1666666666667;12,3960051922308
"IN";83,8291917486283;83,8291917486283;10;81,8;12,449412929758
"IO";13,4059418846541;13,4059418846541;2;37;11,4406593406593
"IQ";94,0980492434935;94,0980492434935;6;98,3333333333333;12,2586666376957
"IR";71,5461795900285;71,5461795900285;16;72,625;12,433894066919
"IS";70,4858375381043;70,4858375381043;11;81,4545454545455;12,2014091157957
"IT";88,4761981065796;88,4761981065796;19;78,4210526315789;12,741361294551
"JA";47,830832396199;47,830832396199;4;49;10,4558576611391
"JE";67,2333671326534;67,2333671326534;4;79,5;11,6103868074146
"JM";80,9673646861148;80,9673646861148;13;81,8461538461539;12,3894176182937
"JO";86,5190459388096;86,5190459388096;8;82,5;12,2538862239169
"JP";67,3956271012588;67,3956271012588;17;46,1176470588235;12,12203984351
"KE";91,7093895059487;91,7093895059487;12;84,0833333333333;12,6115705027463
"KG";94,839424534617;94,839424534617;12;76,9166666666667;12,6737503299413
"KH";92,776317863266;92,776317863266;7;91,5714285714286;12,5418474866756
"KI";78,9582829978478;78,9582829978478;8;80,75;12,192354802248
"KM";85,784701733005;85,784701733005;1;86;12,0232558139535
"KN";72,6508505322483;72,6508505322483;8;62,625;12,4599716736973
"KP";75,9012565599088;75,9012565599088;15;75,3333333333333;12,3374581598619
"KR";58,1687360231112;58,1687360231112;15;53,7333333333333;12,3163199127053
"KW";86,8953837464937;86,8953837464937;16;80,625;12,5342433954737
"KY";80,5580750621573;80,5580750621573;11;68,4545454545455;12,5839625736566
"KZ";96,3716412106416;96,3716412106416;13;83,3846153846154;12,6033222465263
"LA";96,9662307232984;96,9662307232984;4;83;12,6662100124586
"LB";81,4445662964845;81,4445662964845;15;80,2666666666667;12,5055475527844
"LC";86,0686159748208;86,0686159748208;2;101;12,1409382518043
"LI";92,2685471496827;92,2685471496827;11;74,0909090909091;12,739892055738
"LK";77,0027106869731;77,0027106869731;14;77,7142857142857;12,4017707307333
"LR";75,375366844804;75,375366844804;9;67,5555555555556;12,0362650247437
"LS";95,2951470197783;95,2951470197783;1;59;12,4406779661017
"LT";93,2450967507881;93,2450967507881;14;88,7857142857143;12,5667509898358
"LU";94,1885335484345;94,1885335484345;12;70,75;12,5907751310031
"LV";91,8036623493783;91,8036623493783;13;90,5384615384615;12,4246728550578
"LY";87,0181710315371;87,0181710315371;6;78,5;12,1496429367618
"MA";88,2709252472754;88,2709252472754;16;82,75;12,4297230563207
"MC";92,1346727772268;92,1346727772268;14;93,5714285714286;12,5606024391287
"MD";93,8030498696662;93,8030498696662;14;83,2142857142857;12,6944987627752
"ME";3,7601227139857;3,7601227139857;1;39;10,5384615384615
"MG";95,1120804882935;95,1120804882935;8;95,125;12,6115983622861
"MH";85,4273013776343;85,4273013776343;2;52,5;12,1032608695652
"MK";92,8471659164251;92,8471659164251;13;85,3076923076923;12,5236142578439
"ML";85,2714173985848;85,2714173985848;11;76,5454545454545;12,2278527396402
"MM";84,1122407822515;84,1122407822515;1;81;12,4074074074074
"MN";79,2685737190975;79,2685737190975;13;71,3076923076923;12,289163623701
"MO";80,2477423727362;80,2477423727362;12;87;12,2447238014382
"MP";89,4104077999956;89,4104077999956;2;81,5;11,8222325007709
"MQ";86,0686159748208;86,0686159748208;2;101;12,1409382518043
"MR";68,8700262531191;68,8700262531191;6;58,8333333333333;12,5856383424213
"MS";95,4254310933595;95,4254310933595;2;116;12,3448328851325
"MT";85,1380708885324;85,1380708885324;11;67,3636363636364;12,3292048997438
"MU";84,4083882011686;84,4083882011686;11;87,9090909090909;12,2608861734731
"MV";96,1165831129856;96,1165831129856;2;67;12,9170588235294
"MW";80,9798868077913;80,9798868077913;3;61;11,7168036516348
"MX";94,6970853750963;94,6970853750963;16;91,375;12,5589067043259
"MY";56,0090966311169;56,0090966311169;10;52,4;11,9356133424866
"NC";91,9149342898251;91,9149342898251;9;89,6666666666667;12,5830592012399
"NE";74,7680079399888;74,7680079399888;7;67,5714285714286;11,8786486294488
"NF";98,8178333402068;98,8178333402068;1;68;12,7352941176471
"NG";91,1523479003663;91,1523479003663;8;104,375;12,3614143359136
"NI";94,2183846029929;94,2183846029929;11;80,4545454545455;12,3575784316478
"NL";83,8857110543814;83,8857110543814;14;86;12,6002674015692
"NO";90,3239092441895;90,3239092441895;16;81,5;12,6758238425356
"NP";71,447798746758;71,447798746758;8;78,25;12,1301567543393
"NR";84,0680811400985;84,0680811400985;4;74,25;12,2720003634546
"NU";99,3999185678968;99,3999185678968;1;95;12,8210526315789
"NZ";92,1048881274447;92,1048881274447;12;97;12,4820363179444
"OA";58,7238061826273;58,7238061826273;3;72,3333333333333;12,2988861955755
"OM";90,2389310949261;90,2389310949261;7;85,8571428571428;12,2539317133935
"PA";86,8784862526304;86,8784862526304;13;79,4615384615385;12,3627246761698
"PE";90,4679777874932;90,4679777874932;15;77,9333333333333;12,5049320701651
"PF";94,0722743130571;94,0722743130571;8;85,125;12,7132637397416
"PG";85,3007855919474;85,3007855919474;9;76,8888888888889;12,180239492776
"PH";70,925640345395;70,925640345395;11;73,5454545454545;11,9076466539783
"PK";69,8266759435079;69,8266759435079;15;59,8666666666667;12,3100566428018
"PL";95,3496718515158;95,3496718515158;15;78,7333333333333;12,6521573909065
"PN";98,1561729176646;98,1561729176646;1;107;12,411214953271
"PR";83,1278566481402;83,1278566481402;14;84,7142857142857;12,3983699860609
"PT";92,1198971868224;92,1198971868224;14;88;12,4629770096336
"PW";84,2570033210345;84,2570033210345;2;74,5;12,0553442028986
"PY";85,0296368755174;85,0296368755174;11;74,2727272727273;12,2283689128531
"QA";89,6652288595303;89,6652288595303;10;88,2;12,4886710514003
"RE";50,498269498347;50,498269498347;4;52,5;11,756143623818
"RO";94,1871160116544;94,1871160116544;15;81,7333333333333;12,3465675916619
"RS";85,2790075542056;85,2790075542056;4;63,75;11,9673092327288
"RU";93,9292822633929;93,9292822633929;17;86,8235294117647;12,6087440431164
"RW";60,6037643653764;60,6037643653764;3;61,6666666666667;11,697729468599
"SA";91,1215021613248;91,1215021613248;13;73,1538461538462;12,7829805129415
"SB";99,3999185678968;99,3999185678968;1;95;12,8210526315789
"SC";87,1403238779659;87,1403238779659;8;80,25;12,4625860592481
"SD";91,0575961123463;91,0575961123463;3;104;12,0990990472794
"SE";81,5089561661416;81,5089561661416;19;73,2631578947368;12,7625606965086
"SF";96,1135157800824;96,1135157800824;2;68;12,9117647058824
"SG";34,2574209380767;34,2574209380767;9;31,4444444444444;12,1797706419989
"SH";80,3289785172376;80,3289785172376;6;71;12,1510512086353
"SI";91,9857340274331;91,9857340274331;17;84,5882352941177;12,4035559863976
"SK";94,9504862440987;94,9504862440987;15;87,6;12,4930018551055
"SL";90,9215162894271;90,9215162894271;9;85,3333333333333;12,2027891846547
"SM";91,2185173518833;91,2185173518833;11;88,3636363636364;12,4967981629097
"SN";82,15095847214;82,15095847214;13;74;12,2778180435191
"SO";95,2951470197783;95,2951470197783;1;59;12,4406779661017
"SR";93,2233738864948;93,2233738864948;8;82,125;12,4560281245292
"ST";93,3115647661104;93,3115647661104;15;73,4;12,6526065876951
"SU";95,026401584457;95,026401584457;17;86;12,5434404530813
"SV";85,3157886459966;85,3157886459966;15;72,4;12,4537369735183
"SY";92,264717079685;92,264717079685;14;84,7142857142857;12,5765160154888
"SZ";71,9635059523942;71,9635059523942;6;72,5;11,5562110002624
"TC";85,9914619402694;85,9914619402694;8;84,25;12,6031761558636
"TD";91,8876681407506;91,8876681407506;2;101,5;12,2766933437439
"TG";80,5282028720879;80,5282028720879;4;66;11,6311318442259
"TH";83,228892100917;83,228892100917;17;77,8823529411765;12,4745541591582
"TJ";93,0552020012144;93,0552020012144;14;92,7142857142857;12,5016702647673
"TK";56,6423611403412;56,6423611403412;5;77,8;11,5736662613466
"TM";91,6188062318202;91,6188062318202;15;74,4;12,5015025279914
"TN";84,7918031048342;84,7918031048342;11;82,1818181818182;12,5514410522215
"TO";76,1005382282876;76,1005382282876;7;71,1428571428571;11,701598980353
"TR";93,7505820479143;93,7505820479143;15;86,3333333333333;12,513888013293
"TT";87,1812349772393;87,1812349772393;12;78,9166666666667;12,6174945393798
"TV";98,2871618838014;98,2871618838014;3;80,3333333333333;12,6962158469945
"TW";51,9878519909195;51,9878519909195;9;50,3333333333333;11,7297245871009
"TZ";93,5798596877103;93,5798596877103;4;106,25;12,2893088748411
"U ";78,3734513125718;78,3734513125718;5;61,8;11,6006765188834
"UA";95,2947236312078;95,2947236312078;15;86,5333333333333;12,6795566823625
"UG";83,3940506322477;83,3940506322477;14;75,8571428571428;12,2227612200721
"UK";94,8606036645285;94,8606036645285;4;96,5;12,7722158346241
"UN";88,808337982179;88,808337982179;2;123;12,2003616152146
"US";68,1116003748184;68,1116003748184;16;67,625;12,5677419220189
"UY";89,6243896270432;89,6243896270432;13;89,9230769230769;12,6025853257371
"UZ";93,2971697154161;93,2971697154161;13;82,0769230769231;12,6374897074507
"VA";85,0048823652595;85,0048823652595;6;67,1666666666667;12,00616690023
"VC";88,3687562711673;88,3687562711673;3;111;12,2049112761138
