"";"MORc(mat_2nd, RCA = F)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AD";47,6967447513805;47,6967447513805;65;913782,738461539;9762036,40437994
"AE";59,050059896675;59,050059896675;192;874763,604166667;10604812,8591372
"AF";61,9606753473116;61,9606753473116;1;996495;11100619,1678112
"AG";62,8763203937164;62,8763203937164;22;954973,545454546;10904032,174845
"AI";58,4849202110479;58,4849202110479;12;694566,166666667;10591743,3139872
"AL";57,7028943369168;57,7028943369168;25;895633,6;10462465,9012195
"AM";49,4118145105576;49,4118145105576;365;845822,643835616;9932841,74987277
"AN";54,3268598074814;54,3268598074814;156;901021,762820513;10304795,0587963
"AO";47,0952208308075;47,0952208308075;9;985252,111111111;9780092,60173327
"AP";55,2359951039252;55,2359951039252;2;940791;10472071,108805
"AR";46,6800352223249;46,6800352223249;2119;798072,65125059;9715522,41123192
"AS";69,518276796197;69,518276796197;1;780770;11374476,7370993
"AT";59,4409169489694;59,4409169489694;53702;882259,882965253;10640126,7397383
"AU";53,1378009778663;53,1378009778663;114821;856242,934489336;10173584,2893865
"AW";69,6541413131939;69,6541413131939;14;833745,642857143;11372274,9020994
"AZ";59,3165460789151;59,3165460789151;1820;882182,006043956;10747514,4655683
"BA";66,2819443348149;66,2819443348149;26;772880,961538462;11079526,124911
"BB";66,2855828957181;66,2855828957181;54;886656,666666667;11205156,0422835
"BD";61,0882951324088;61,0882951324088;31;967434,451612903;10517475,681909
"BE";58,9242936704884;58,9242936704884;55178;914390,648664323;10616976,4951153
"BF";40,3413361938597;40,3413361938597;19;943376,263157895;9287628,73282513
"BG";51,7461571110464;51,7461571110464;20455;858867,421706184;10145667,5509255
"BH";66,7582802187507;66,7582802187507;40;831211,425;11123437,7254108
"BI";17,501284959671;17,501284959671;1;313535;7960336,73437415
"BJ";3,80476593922732;3,80476593922732;7;505659,571428571;6818361,46661389
"BM";46,2754178397246;46,2754178397246;92;786540,293478261;9619975,80704313
"BN";47,7055087261161;47,7055087261161;4;802722,25;10001997,925042
"BO";55,938763494947;55,938763494947;53;877823,018867924;10455998,2373773
"BR";59,1531896489221;59,1531896489221;56049;863783,41344181;10620081,4632206
"BS";53,1256282253913;53,1256282253913;234;817952,235042735;10258149,9815145
"BT";69,518276796197;69,518276796197;1;780770;11374476,7370993
"BU";24,9893784401262;24,9893784401262;17;764406,823529412;8114851,83288247
"BW";75,8173737803772;75,8173737803772;2;552878,5;11857804,8976325
"BY";58,9989275264764;58,9989275264764;6026;881857,299037504;10672051,517402
"BZ";72,48981453833;72,48981453833;8;1008879,25;11742094,927767
"CA";59,1730186394016;59,1730186394016;212491;904118,527363512;10560213,2160428
"CC";17,501284959671;17,501284959671;1;313535;7960336,73437415
"CF";14,0811637642644;14,0811637642644;2;624261,5;7208965,71199419
"CG";54,6696442367073;54,6696442367073;16;904443,25;10379250,2751885
"CH";58,8048831152247;58,8048831152247;111963;897766,862633191;10615830,3370522
"CI";47,12104072568;47,12104072568;37;710473,702702703;9844955,18113368
"CK";67,0028661603124;67,0028661603124;1;889768;11565864,5632491
"CL";53,0295721759102;53,0295721759102;644;852513,672360248;10251309,872585
"CM";35,6423745327582;35,6423745327582;28;845482;8873361,88969389
"CN";52,3417423298613;52,3417423298613;514698;867867,947260335;10140562,9760526
"CO";46,4724030165862;46,4724030165862;399;829406,781954887;9758025,14699354
"CR";61,0620412406567;61,0620412406567;150;887949,533333333;10762918,2624598
"CS";55,6653908661006;55,6653908661006;506;847640,193675889;10444179,4694864
"CU";12,0178679464248;12,0178679464248;580;629458,332758621;7122527,69073214
"CV";68,3501747272985;68,3501747272985;2;640672,5;11060605,578685
"CY";53,5511135336649;53,5511135336649;228;859911,802631579;10237286,5169827
"CZ";57,2463771715033;57,2463771715033;17419;850599,265686894;10526543,9647136
"DD";49,7708602476891;49,7708602476891;694;843780,008645533;9972585,82660951
"DE";61,2773599507381;61,2773599507381;1920530;920571,421844491;10755762,1188674
"DJ";64,2253903858812;64,2253903858812;2;677510,5;10857968,8676701
"DK";47,1767967294641;47,1767967294641;37226;807702,129936066;9737259,98934284
"DM";26,0030197088893;26,0030197088893;3;745168,666666667;8096347,65946655
"DO";43,4097989835595;43,4097989835595;47;734075,617021277;9487574,65148333
"DZ";59,8005562400362;59,8005562400362;99;948566,858585859;10654288,4331102
"EC";40,3358596267136;40,3358596267136;124;626717,870967742;9382095,8361611
"EE";57,0543899849736;57,0543899849736;5208;884220,540898617;10563559,8069541
"EG";51,0531955353662;51,0531955353662;338;875285,819526627;9948062,71505191
"EP";39,4359410421675;39,4359410421675;6;776197,5;9200402,48447637
"ES";52,3774418811349;52,3774418811349;65908;840954,195074953;10122514,9937925
"ET";53,2441081467902;53,2441081467902;31;610576,290322581;10350431,6420055
"FI";63,4895388882793;63,4895388882793;93649;874816,700317142;10828658,5453723
"FJ";55,2518415992173;55,2518415992173;11;845198,727272727;10264436,7125219
"FO";61,6649200406056;61,6649200406056;9;975442,222222222;10909149,3935049
"FR";56,7758128835083;56,7758128835083;507432;903724,594351558;10406940,3365954
"GA";56,9245368015444;56,9245368015444;20;1029624,75;10572613,349095
"GB";58,3918595090028;58,3918595090028;236841;918351,985268598;10508615,9811796
"GC";100;100;1;1241124;12724525,3582575
"GD";30,9611275774843;30,9611275774843;11;792561,454545455;8626800,4908426
"GE";45,4245844727807;45,4245844727807;298;836208,006711409;9654009,08394339
"GF";61,9606753473116;61,9606753473116;1;996495;11100619,1678112
"GH";20,8484651114609;20,8484651114609;15;563655,333333333;7933413,20563604
"GI";59,2359638742667;59,2359638742667;30;903495,4;10723576,2713927
"GL";72,6725418534097;72,6725418534097;3;1202116,33333333;11297919,851906
"GM";20,0074011271595;20,0074011271595;5;470368;7842473,21147451
"GN";43,6816038145121;43,6816038145121;15;841896,466666667;9631155,198768
"GP";67,9103357802651;67,9103357802651;8;751252;11266958,6003896
"GQ";65,6412633458574;65,6412633458574;2;808113;10386800,4749087
"GR";55,7764153098145;55,7764153098145;8545;860925,618139263;10380848,0471278
"GT";54,4106036572679;54,4106036572679;51;824020,019607843;10319214,9195401
"GU";71,1663535310932;71,1663535310932;8;910549,75;11384255,6239675
"GY";60,4999242154295;60,4999242154295;7;891628,571428571;10813097,0047232
"HK";66,9993545798605;66,9993545798605;8722;983441,193418941;11094802,8311673
"HN";44,5184460436413;44,5184460436413;40;715989,7;9667850,37625899
"HR";49,7165487611304;49,7165487611304;5022;861103,952608522;9932568,96208069
"HT";21,6947042024232;21,6947042024232;3;751183;7927843,67580203
"HU";42,0258565278307;42,0258565278307;53315;811679,04477164;9403827,5876222
"IB";85,3329460588355;85,3329460588355;1;1673583;12535452,4726506
"ID";59,9062285709081;59,9062285709081;442;855803,520361991;10685146,6450346
"IE";58,6036567702306;58,6036567702306;11543;923289,69306073;10520759,5977837
"IL";56,1527114349769;56,1527114349769;49512;956793,981257069;10280842,6355546
"IN";42,3760052070958;42,3760052070958;45741;835435,466911523;9383684,25976832
"IO";62,8303225160243;62,8303225160243;2;1077128,5;10345155,0813535
"IQ";38,1179864426074;38,1179864426074;17;877171,764705882;9116397,61001853
"IR";59,344814255362;59,344814255362;296;936954,672297297;10549213,3115246
"IS";47,9797717233931;47,9797717233931;972;855535,314814815;9728653,71265479
"IT";59,1940043393961;59,1940043393961;219156;878128,030439504;10607535,4154664
"JA";85,5470714821833;85,5470714821833;24;1574080,91666667;12646952,9227574
"JE";51,607113143081;51,607113143081;4;1105078,25;10137161,2793599
"JM";53,2615363790722;53,2615363790722;67;814356,567164179;10181633,3168647
"JO";33,0652099629229;33,0652099629229;147;807552,278911565;8721719,30486383
"JP";72,3957746543983;72,3957746543983;17136225;1040979,89445645;11575592,1381666
"KE";56,6457549651494;56,6457549651494;92;833466,315217391;10482848,2286929
"KG";61,7166708097363;61,7166708097363;237;784620,459915612;10838779,935366
"KH";47,7865785316111;47,7865785316111;7;608121,428571429;9816162,34737095
"KI";34,3839488310105;34,3839488310105;13;785754,076923077;8813827,41480341
"KM";65,0344357164556;65,0344357164556;1;577677;10839724,8246442
"KN";64,6493003629169;64,6493003629169;15;826720,466666667;10790514,6511577
"KP";60,3560250766268;60,3560250766268;136;934988,007352941;10680598,2706865
"KR";71,0066433862607;71,0066433862607;1060934;1026826,19133518;11339200,7169778
"KW";55,8705122194295;55,8705122194295;123;865740,731707317;10370442,3132005
"KY";64,2267119109989;64,2267119109989;119;943587,033613445;11005067,4117569
"KZ";58,9558878668751;58,9558878668751;1577;861542,618896639;10743154,4874769
"LA";56,1404692737326;56,1404692737326;9;791971,777777778;10547188,6559554
"LB";52,7206050997688;52,7206050997688;151;863657,894039735;10134693,6424028
