"";"MORc(Surrounding_2nd, RCA = F)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AD";11,9762065906927;11,9762065906927;23;867834,913043478;2186142,79899968
"AE";66,598822419404;66,598822419404;31;974772,741935484;2854103,52126261
"AG";85,5900760274352;85,5900760274352;5;1504633,6;3168839,34402066
"AI";32,2327194911289;32,2327194911289;2;629289,5;2345387,2846757
"AL";73,3196984280315;73,3196984280315;6;1297416,5;3003925,03302955
"AM";44,5671628320771;44,5671628320771;42;913291,928571429;2547485,73273817
"AN";50,9239877511834;50,9239877511834;35;1041145,42857143;2656939,62007737
"AO";87,7263757929657;87,7263757929657;1;1673583;3200453,26737724
"AR";43,4899502114786;43,4899502114786;515;890333,53592233;2570732,65809518
"AT";66,7110785765352;66,7110785765352;9515;1121437,53431424;2872223,9138588
"AU";56,4738285615829;56,4738285615829;26331;953495,204625726;2730720,85276107
"AZ";49,2958938107899;49,2958938107899;202;1120400,84158416;2681375,21178516
"BA";50;50;2;1170280;2743328,35589792
"BB";61,7429737842146;61,7429737842146;15;904872,333333333;2831694,03934886
"BD";61,987725223069;61,987725223069;11;944985,545454546;2748103,00775853
"BE";65,3313092005358;65,3313092005358;9105;1028277,5641955;2838564,7870558
"BG";65,561416136009;65,561416136009;2698;1198667,67309118;2884893,98193207
"BH";58,7398738355384;58,7398738355384;9;1065239,44444444;2756893,06713612
"BM";55,5538534230258;55,5538534230258;24;767677,291666667;2655650,89721897
"BO";37,4252229015729;37,4252229015729;7;743715,285714286;2441962,57229915
"BR";62,5112211767461;62,5112211767461;13891;985113,388452955;2812981,81698698
"BS";37,1742410430675;37,1742410430675;61;913399,245901639;2485587,28760055
"BY";55,9205747375651;55,9205747375651;444;1030530,36486486;2728204,06287436
"BZ";100;100;1;1589377;3465934,54703573
"CA";62,8083123487515;62,8083123487515;56377;990087,196977491;2787284,37746042
"CF";0;0;1;751183;2020722,16476012
"CG";82,3091729351341;82,3091729351341;4;1149798;3094705,96739964
"CH";60,6679137856428;60,6679137856428;24927;1050701,90066996;2800002,59988573
"CI";51,1231079898616;51,1231079898616;7;731618,142857143;2598226,92784587
"CL";67,6270744209443;67,6270744209443;79;1182787,06329114;2904183,37654544
"CM";87,7263757929657;87,7263757929657;1;1673583;3200453,26737724
"CN";63,5494541804568;63,5494541804568;91479;1064160,48208879;2811804,07901559
"CO";35,1174909856978;35,1174909856978;112;881147,883928571;2462918,67891346
"CR";59,7586298945809;59,7586298945809;60;927481,116666667;2783953,72404917
"CS";64,0026053825895;64,0026053825895;66;1218368,1969697;2856143,25150237
"CU";16,4565777010475;16,4565777010475;21;748671,19047619;2200581,78675735
"CV";64,4654389822578;64,4654389822578;1;507396;2670052,40459129
"CY";38,8415938467707;38,8415938467707;42;973446,952380952;2523200,74141746
"CZ";65,5277452011353;65,5277452011353;2240;1083338,36026786;2866384,91793903
"DD";50,0641916003529;50,0641916003529;103;1154081,5631068;2696085,09037389
"DE";68,5775317593195;68,5775317593195;355717;1140308,42060402;2906672,97202491
"DK";57,3312885624718;57,3312885624718;6908;995496,37970469;2749038,6062543
"DO";17,1907837286021;17,1907837286021;15;686173,133333333;2193876,89538176
"DZ";44,493539040182;44,493539040182;34;1050452,08823529;2609050,1246508
"EC";46,4532402109968;46,4532402109968;15;971441,866666667;2595494,59685835
"EE";48,5706963895977;48,5706963895977;527;983364,924098672;2648012,67822127
"EG";55,5521282953332;55,5521282953332;73;980134,561643836;2686448,71432882
"ES";63,4855135976979;63,4855135976979;12722;994634,316774092;2818210,2424787
"FI";62,9307850330832;62,9307850330832;32284;924297,249721224;2761452,00006221
"FJ";81,5889295607527;81,5889295607527;4;1161724,75;3081782,65958698
"FR";65,433003824638;65,433003824638;110304;1064347,03214752;2847164,10302589
"GA";90,1811006343726;90,1811006343726;5;1656741,8;3253549,52330894
"GB";64,7317512090495;64,7317512090495;61427;1019183,29268888;2827717,95987494
"GD";76,0959073876117;76,0959073876117;2;1090489,5;2935252,83598426
"GE";52,4612343167644;52,4612343167644;44;1140479,70454545;2703264,61289794
"GH";77,044876965313;77,044876965313;1;828836;3042383,65059433
"GI";51,0977561628238;51,0977561628238;6;834674,666666667;2687054,55195677
"GL";100;100;1;1589377;3465934,54703573
"GN";0;0;3;751183;2020722,16476012
