"";"MORc(Top3_2nd, RCA = F)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AE";41,1034253023177;41,1034253023177;12;342911,666666667;311289,668620659
"AM";60,4986313273558;60,4986313273558;13;444968,538461538;316970,606061291
"AN";98,3102759069532;98,3102759069532;2;597052;336367,911300858
"AR";47,9472090006972;47,9472090006972;66;346391,5;319069,285422031
"AT";66,1682991014556;66,1682991014556;2251;377909,760550866;335831,54659704
"AU";50,3418402360216;50,3418402360216;4567;372398,209984673;317390,814508849
"AZ";57,8947368421053;57,8947368421053;19;267433,526315789;345291,51794255
"BB";99,1551379534766;99,1551379534766;2;456169,5;362413,932899729
"BD";78,6482207255625;78,6482207255625;5;517968,6;326281,312576283
"BE";60,82379784988;60,82379784988;2701;414653,245834876;322751,138397065
"BG";61,7305725711765;61,7305725711765;321;315980,788161994;341380,027233795
"BH";99,1551379534766;99,1551379534766;4;456169,5;362413,932899729
"BM";98,3102759069532;98,3102759069532;1;597052;336367,911300858
"BO";98,3102759069532;98,3102759069532;1;597052;336367,911300858
"BR";54,8482924386032;54,8482924386032;737;349808,149253731;326930,425669455
"BS";98,3102759069532;98,3102759069532;2;597052;336367,911300858
"BY";25,5536341033572;25,5536341033572;144;254317,666666667;307937,15270569
"CA";77,2758271067087;77,2758271067087;16940;475262,740909091;332178,496168255
"CH";66,4044593974611;66,4044593974611;3221;402786,17385905;331705,271294815
"CL";19,746541386043;19,746541386043;20;266630,15;298626,118562445
"CM";0;0;2;201635;285934,917677983
"CN";77,8835027608327;77,8835027608327;18689;474624,845203061;333037,355878367
"CO";0;0;2;201635;285934,917677983
"CR";98,7327069302149;98,7327069302149;4;526610,75;349390,922100294
"CS";0;0;33;201635;285934,917677983
"CU";0;0;40;201635;285934,917677983
"CY";79,6620551813906;79,6620551813906;5;348909,6;357536,538494928
"CZ";38,5163382951044;38,5163382951044;232;291875,301724138;317175,243851868
"DD";0;0;5;201635;285934,917677983
"DE";68,0582552608451;68,0582552608451;54583;399484,469706685;334320,602977551
"DK";49,4990706252461;49,4990706252461;1657;357190,135787568;319056,459926879
"DZ";0;0;1;201635;285934,917677983
"EE";34,4869725600351;34,4869725600351;49;275567,12244898;315126,210877249
"EG";90,91857658045;90,91857658045;25;486524,44;346919,043906396
"ES";52,4022405462779;52,4022405462779;2229;373825,372812921;319665,586286681
"FI";91,389947121694;91,389947121694;12052;533518,472535679;339155,06695813
"FR";72,042703203999;72,042703203999;22583;430411,840720896;333719,33197948
"GB";77,713011604475;77,713011604475;15901;456625,466637318;336023,400682619
"GE";25;25;8;230048;311566,176883137
"GQ";98,3102759069532;98,3102759069532;1;597052;336367,911300858
"GR";58,3740564453741;58,3740564453741;198;388329,666666667;324418,239291124
"GT";0;0;1;201635;285934,917677983
"HK";78,703056116077;78,703056116077;367;435630,746594005;340965,159295537
"HN";98,3102759069532;98,3102759069532;3;597052;336367,911300858
"HR";96,0957394935243;96,0957394935243;36;499973,333333333;350884,008010644
"HU";61,3072689236347;61,3072689236347;734;362910,630790191;332529,675823344
"ID";76,4635479276302;76,4635479276302;9;509181,555555556;325160,579384664
"IE";84,9054264063182;84,9054264063182;1137;469790,078276165;342511,553785016
"IL";85,8996869862612;85,8996869862612;6284;494464,718650541;339351,289679663
"IN";80,8801586151063;80,8801586151063;1706;462670,667643611;338836,364633609
"IO";98,3102759069532;98,3102759069532;1;597052;336367,911300858
"IR";88,6732885875041;88,6732885875041;19;436791,263157895;352992,667002762
"IS";73,5268999322474;73,5268999322474;103;491766,834951456;324648,748700865
"IT";79,263328252477;79,263328252477;5581;382909,398494893;351011,676055026
"JM";98,3102759069532;98,3102759069532;1;597052;336367,911300858
"JO";12,5;12,5;8;215841,5;298750,54728056
"JP";86,1670907509454;86,1670907509454;535010;445090,863497879;348444,210755742
"KE";0;0;1;201635;285934,917677983
"KI";0;0;1;201635;285934,917677983
"KN";98,8735172713021;98,8735172713021;3;503130,333333333;353731,925700105
"KP";33,3333333333333;33,3333333333333;6;239519;320109,929951522
"KR";94,6565939633608;94,6565939633608;67095;514438,379238393;346550,343953239
"KW";75;75;4;286874;362828,695293445
"KY";54,6168199483073;54,6168199483073;9;421311,111111111;313953,247468469
"KZ";32,9109023100716;32,9109023100716;12;309960,25;307086,919152086
"LB";70,4630148039732;70,4630148039732;7;443823,571428571;329400,205008285
"LI";69,1551379534766;69,1551379534766;10;422073,9;331656,421853544
"LK";62,5610846680611;62,5610846680611;11;453264;318028,64089254
"LR";98,3102759069532;98,3102759069532;1;597052;336367,911300858
"LT";29,2008935571264;29,2008935571264;92;259490,695652174;311494,044292925
"LU";68,2747650988306;68,2747650988306;32;359017,15625;341769,993342792
"LV";21,1492181897497;21,1492181897497;113;240734,451327434;304944,197540888
"MA";42,1329753886942;42,1329753886942;7;371099,428571429;307549,057802072
"MC";45,1473228921733;45,1473228921733;11;304525;323065,926560492
"MD";44,9937116109872;44,9937116109872;11;330140;318330,286269788
"MG";0;0;5;201635;285934,917677983
"MO";98,3102759069532;98,3102759069532;2;597052;336367,911300858
"MR";100;100;1;315287;388459,9544986
"MT";98,3102759069532;98,3102759069532;3;597052;336367,911300858
"MX";55,8296893714643;55,8296893714643;113;400653,03539823;319108,652402243
"MY";83,2552107413962;83,2552107413962;117;381119,367521368;356227,499699346
"NC";0;0;1;201635;285934,917677983
"NG";98,3102759069532;98,3102759069532;1;597052;336367,911300858
"NL";75,6198438123138;75,6198438123138;4456;424646,390709156;339131,979259285
"NO";72,9398946533539;72,9398946533539;949;457912,559536354;329938,27994709
"NP";98,3102759069532;98,3102759069532;1;597052;336367,911300858
"NZ";36,6727896869166;36,6727896869166;915;324854,535519126;309058,748451757
"OA";0;0;2;201635;285934,917677983
"PA";98,3102759069532;98,3102759069532;2;597052;336367,911300858
"PE";99,1551379534766;99,1551379534766;2;456169,5;362413,932899729
"PH";79,1551379534766;79,1551379534766;10;433439,1;341908,925535606
"PK";98,5702334597296;98,5702334597296;13;553703,538461538;344382,071792818
"PL";43,557947249833;43,557947249833;2225;280081,764494382;325454,902855768
"PR";65,5401839379688;65,5401839379688;6;465246,333333333;319556,913426566
"PT";83,3203797230074;83,3203797230074;89;455704,101123595;343067,227808985
"RE";98,3102759069532;98,3102759069532;1;597052;336367,911300858
"RO";56,2581453928315;56,2581453928315;370;303909,372972973;336808,243449934
"RU";29,2077461325059;29,2077461325059;18071;264437,330252891;310624,329002565
"SA";24,5775689767383;24,5775689767383;36;300489,25;298543,166083701
"SE";82,9817220679824;82,9817220679824;10702;490936,027845263;336397,344028858
"SG";91,1082374478224;91,1082374478224;872;450277,309633028;353586,326237549
"SI";71,9809984313991;71,9809984313991;109;366726,633027523;344948,977554139
"SK";68,123004645794;68,123004645794;104;303607,855769231;351420,006384561
"ST";0;0;2;201635;285934,917677983
"SU";33,8915734524478;33,8915734524478;492;248802,396341463;319146,91056635
"SV";98,6482207255625;98,6482207255625;5;540699;346786,319940407
"SY";0;0;1;201635;285934,917677983
"TC";0;0;6;201635;285934,917677983
"TH";65,9907770294479;65,9907770294479;30;390109;333448,124945964
"TJ";4,34782608695652;4,34782608695652;23;206576,391304348;290392,527974531
"TM";32,1044523392578;32,1044523392578;68;279840,794117647;311444,187943808
"TN";28,0886502591295;28,0886502591295;7;314611,285714286;300344,344427376
"TR";81,3889461868476;81,3889461868476;57;473304,894736842;337572,868124479
"TT";100;100;1;315287;388459,9544986
"TW";87,1306559930363;87,1306559930363;3880;431901,790463918;351967,825681895
"UA";26,1539740547997;26,1539740547997;202;245403,346534653;310256,237081524
"UG";0;0;1;201635;285934,917677983
"US";76,9527999592505;76,9527999592505;291697;450249,175816001;336222,532535237
"UY";32,7700919689844;32,7700919689844;6;333440,666666667;302745,915552274
"UZ";19,8873517271302;19,8873517271302;15;243149,733333333;302967,122162257
"VE";53,4649911548058;53,4649911548058;70;400189,085714286;316289,516684557
"VG";98,3102759069532;98,3102759069532;6;597052;336367,911300858
"VN";65,5401839379688;65,5401839379688;3;465246,333333333;319556,913426566
"VU";98,3102759069532;98,3102759069532;2;597052;336367,911300858
"YU";55,3678084341059;55,3678084341059;9;296082,222222222;337105,266667465
"ZA";92,6216981725545;92,6216981725545;459;484900,098039216;349297,134218104
