"";"MORc(Top4_2nd, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AD";38,9879833813095;38,9879833813095;2;75;1,66191325014854
"AE";85,3558503394387;85,3558503394387;3;69,6666666666667;1,91296739323055
"AG";100;100;1;72;1,93055555555556
"AI";78,0915842556972;78,0915842556972;1;38;2,13157894736842
"AL";77,975966762619;77,975966762619;1;99;1,67676767676768
"AM";77,975966762619;77,975966762619;1;99;1,67676767676768
"AN";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"AO";77,975966762619;77,975966762619;1;99;1,67676767676768
"AR";100;100;1;72;1,93055555555556
"AT";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"AU";100;100;1;72;1,93055555555556
"AW";100;100;1;72;1,93055555555556
"AZ";77,975966762619;77,975966762619;1;99;1,67676767676768
"BA";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"BB";59,3638614185657;59,3638614185657;3;53,6666666666667;1,90306444215113
"BD";0;0;1;51;1,64705882352941
"BE";38,9879833813095;38,9879833813095;2;75;1,66191325014854
"BG";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"BH";89,0457921278486;89,0457921278486;2;55;2,03106725146199
"BM";39,0457921278486;39,0457921278486;2;44,5;1,88931888544892
"BN";100;100;1;72;1,93055555555556
"BO";77,975966762619;77,975966762619;1;99;1,67676767676768
"BR";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"BS";89,0457921278486;89,0457921278486;2;55;2,03106725146199
"BY";77,975966762619;77,975966762619;1;99;1,67676767676768
"BZ";100;100;1;72;1,93055555555556
"CA";39,0457921278486;39,0457921278486;2;44,5;1,88931888544892
"CH";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"CL";78,0337755091581;78,0337755091581;2;68,5;1,90417331206805
"CM";50;50;2;61,5;1,78880718954248
"CN";38,9879833813095;38,9879833813095;2;75;1,66191325014854
"CO";100;100;1;72;1,93055555555556
"CR";38,9879833813095;38,9879833813095;2;75;1,66191325014854
"CS";77,975966762619;77,975966762619;1;99;1,67676767676768
"CU";38,9879833813095;38,9879833813095;2;75;1,66191325014854
"CY";78,0915842556972;78,0915842556972;1;38;2,13157894736842
"CZ";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"DD";77,975966762619;77,975966762619;1;99;1,67676767676768
"DE";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"DK";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"DO";39,0457921278486;39,0457921278486;2;44,5;1,88931888544892
"DZ";77,975966762619;77,975966762619;1;99;1,67676767676768
"EC";39,0457921278486;39,0457921278486;2;44,5;1,88931888544892
"EE";77,975966762619;77,975966762619;1;99;1,67676767676768
"EG";38,9879833813095;38,9879833813095;2;75;1,66191325014854
"ES";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"FI";78,0337755091581;78,0337755091581;2;68,5;1,90417331206805
"FR";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"GA";100;100;1;72;1,93055555555556
"GB";89,0457921278486;89,0457921278486;2;55;2,03106725146199
"GE";77,975966762619;77,975966762619;1;99;1,67676767676768
"GI";77,975966762619;77,975966762619;1;99;1,67676767676768
"GR";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"GT";59,3638614185657;59,3638614185657;3;53,6666666666667;1,90306444215113
"GY";77,975966762619;77,975966762619;1;99;1,67676767676768
"HK";38,9879833813095;38,9879833813095;2;75;1,66191325014854
"HN";0;0;1;51;1,64705882352941
"HR";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"HU";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"ID";85,3558503394387;85,3558503394387;3;69,6666666666667;1,91296739323055
"IE";39,0457921278486;39,0457921278486;2;44,5;1,88931888544892
"IL";0;0;1;51;1,64705882352941
"IN";39,0457921278486;39,0457921278486;2;44,5;1,88931888544892
"IO";0;0;1;51;1,64705882352941
"IR";39,0457921278486;39,0457921278486;2;44,5;1,88931888544892
"IS";38,9879833813095;38,9879833813095;2;75;1,66191325014854
"IT";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"JA";0;0;1;51;1,64705882352941
"JE";38,9879833813095;38,9879833813095;2;75;1,66191325014854
"JM";59,3638614185657;59,3638614185657;3;53,6666666666667;1,90306444215113
"JO";89,0457921278486;89,0457921278486;2;55;2,03106725146199
"JP";89,0457921278486;89,0457921278486;2;55;2,03106725146199
"KE";100;100;1;72;1,93055555555556
"KG";77,975966762619;77,975966762619;1;99;1,67676767676768
"KI";77,975966762619;77,975966762619;1;99;1,67676767676768
"KP";77,975966762619;77,975966762619;1;99;1,67676767676768
"KR";39,0457921278486;39,0457921278486;2;44,5;1,88931888544892
"KW";77,975966762619;77,975966762619;1;99;1,67676767676768
"KY";78,0337755091581;78,0337755091581;2;68,5;1,90417331206805
"KZ";77,975966762619;77,975966762619;1;99;1,67676767676768
"LB";50;50;2;61,5;1,78880718954248
"LI";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"LK";39,0457921278486;39,0457921278486;2;44,5;1,88931888544892
"LT";77,975966762619;77,975966762619;1;99;1,67676767676768
"LU";77,975966762619;77,975966762619;1;99;1,67676767676768
"LV";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"LY";77,975966762619;77,975966762619;1;99;1,67676767676768
"MA";39,0457921278486;39,0457921278486;2;44,5;1,88931888544892
"MC";85,3558503394387;85,3558503394387;3;69,6666666666667;1,91296739323055
"MD";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"ME";0;0;1;51;1,64705882352941
"MG";0;0;1;51;1,64705882352941
"MH";77,975966762619;77,975966762619;1;99;1,67676767676768
"MK";77,975966762619;77,975966762619;1;99;1,67676767676768
"ML";0;0;1;51;1,64705882352941
"MN";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"MO";0;0;1;51;1,64705882352941
"MP";77,975966762619;77,975966762619;1;99;1,67676767676768
"MT";85,3558503394387;85,3558503394387;3;69,6666666666667;1,91296739323055
"MU";77,975966762619;77,975966762619;1;99;1,67676767676768
"MX";85,3558503394387;85,3558503394387;3;69,6666666666667;1,91296739323055
"MY";38,9879833813095;38,9879833813095;2;75;1,66191325014854
"NC";77,975966762619;77,975966762619;1;99;1,67676767676768
"NG";0;0;1;51;1,64705882352941
"NI";77,975966762619;77,975966762619;1;99;1,67676767676768
"NL";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"NO";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"NP";0;0;1;51;1,64705882352941
"NR";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"NZ";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"OA";0;0;1;51;1,64705882352941
"OM";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"PA";78,0337755091581;78,0337755091581;2;68,5;1,90417331206805
"PE";89,0457921278486;89,0457921278486;2;55;2,03106725146199
"PG";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"PH";78,0915842556972;78,0915842556972;1;38;2,13157894736842
"PK";0;0;1;51;1,64705882352941
"PL";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"PR";100;100;1;72;1,93055555555556
"PT";85,3558503394387;85,3558503394387;3;69,6666666666667;1,91296739323055
"PW";77,975966762619;77,975966762619;1;99;1,67676767676768
"QA";78,0915842556972;78,0915842556972;1;38;2,13157894736842
"RE";0;0;1;51;1,64705882352941
"RO";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"RS";77,975966762619;77,975966762619;1;99;1,67676767676768
"RU";77,975966762619;77,975966762619;1;99;1,67676767676768
"RW";77,975966762619;77,975966762619;1;99;1,67676767676768
"SA";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"SE";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"SG";0;0;1;51;1,64705882352941
"SI";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"SK";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"SL";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"SM";50;50;2;61,5;1,78880718954248
"SN";0;0;1;51;1,64705882352941
"ST";77,975966762619;77,975966762619;1;99;1,67676767676768
"SU";77,975966762619;77,975966762619;1;99;1,67676767676768
"SV";100;100;1;72;1,93055555555556
"SY";50;50;2;61,5;1,78880718954248
"SZ";0;0;1;51;1,64705882352941
"TC";78,0337755091581;78,0337755091581;2;68,5;1,90417331206805
"TG";77,975966762619;77,975966762619;1;99;1,67676767676768
"TH";85,3558503394387;85,3558503394387;3;69,6666666666667;1,91296739323055
"TJ";77,975966762619;77,975966762619;1;99;1,67676767676768
"TK";0;0;1;51;1,64705882352941
"TM";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"TN";100;100;1;72;1,93055555555556
"TR";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"TW";0;0;1;51;1,64705882352941
"UA";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"UG";77,975966762619;77,975966762619;1;99;1,67676767676768
"US";39,0457921278486;39,0457921278486;2;44,5;1,88931888544892
"UY";78,0915842556972;78,0915842556972;1;38;2,13157894736842
"UZ";77,975966762619;77,975966762619;1;99;1,67676767676768
"VA";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"VE";38,9879833813095;38,9879833813095;2;75;1,66191325014854
"VG";39,0457921278486;39,0457921278486;2;44,5;1,88931888544892
"VN";77,975966762619;77,975966762619;1;99;1,67676767676768
"VU";0;0;1;51;1,64705882352941
"WO";100;100;1;72;1,93055555555556
"YE";0;0;1;51;1,64705882352941
"YU";88,9879833813095;88,9879833813095;2;85,5;1,80366161616162
"ZA";100;100;1;72;1,93055555555556
"ZM";77,975966762619;77,975966762619;1;99;1,67676767676768
"ZW";100;100;1;72;1,93055555555556
