"";"MORc(mat_3rd, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AB";88,6924220381167;88,6924220381167;1;55;13,2545454545455
"AD";68,0471207268492;68,0471207268492;15;82,8;12,241215772403
"AE";56,6604573634971;56,6604573634971;14;82,6428571428571;11,926252751055
"AF";59,1174152999119;59,1174152999119;9;75,3333333333333;11,873043753816
"AG";55,8046539738325;55,8046539738325;12;85,9166666666667;11,7277257173618
"AI";68,316348016009;68,316348016009;8;73,875;12,0865453897303
"AI_pat";45,3839713301363;45,3839713301363;7;94,4285714285714;11,2097992587123
"AL";71,3665446992293;71,3665446992293;14;82,2857142857143;12,2633462513702
"AM";52,6014149022479;52,6014149022479;10;80,9;12,0514365015687
"AN";52,8154566845075;52,8154566845075;11;80,8181818181818;12,0086035628021
"AO";66,3031891691775;66,3031891691775;14;71,1428571428571;12,2266013604973
"AP";58,5216735081427;58,5216735081427;7;74;11,572938498617
"AR";53,9278887530697;53,9278887530697;12;91,3333333333333;11,860425384065
"AS";80,5877646831117;80,5877646831117;1;91;12,1428571428571
"AT";67,8464290250113;67,8464290250113;19;74,1052631578947;12,2906360738728
"AU";61,737960387441;61,737960387441;13;96;12,0993121094556
"AW";68,1329254670302;68,1329254670302;8;87,25;12,2966425320114
"AX";59,0174807276082;59,0174807276082;2;65;10,9516339869281
"AZ";77,0877375761654;77,0877375761654;9;81,3333333333333;12,6060378057439
"BA";64,6376523677112;64,6376523677112;12;91,8333333333333;11,8418077116336
"BB";51,6356948584072;51,6356948584072;14;87,5714285714286;11,8121222023901
"BC";38,0668497770225;38,0668497770225;2;121;10,4717809364548
"BD";53,3156433024369;53,3156433024369;12;84,4166666666667;12,0328298420436
"BE";66,2660136085291;66,2660136085291;16;77,5;12,3576063887517
"BF";58,6778211768397;58,6778211768397;8;105,5;11,596432870568
"BG";65,2928263658664;65,2928263658664;11;77,1818181818182;12,0812975691708
"BH";67,7746084342397;67,7746084342397;15;80,5333333333333;12,1635446628176
"BI";87,5962791713834;87,5962791713834;5;72;12,3882696950909
"BJ";64,4677957865242;64,4677957865242;12;77,8333333333333;11,952904801859
"BL";73,6223624599695;73,6223624599695;2;111,5;11,6098465473146
"BM";47,8756511595731;47,8756511595731;11;87,9090909090909;11,6766335219835
"BN";63,5007646352503;63,5007646352503;12;70,8333333333333;12,006604244096
"BO";71,8945847808079;71,8945847808079;12;82,8333333333333;12,1912136506294
"BQ";57,313790154113;57,313790154113;2;66,5;11,4665404040404
"BR";74,9507853083728;74,9507853083728;18;86,6666666666667;12,5272735536142
"BS";58,874857549169;58,874857549169;12;97,1666666666667;11,8566857210115
"BT";58,920308642044;58,920308642044;4;98,75;11,6713122255833
"BU";70,8920335348302;70,8920335348302;3;86,6666666666667;12,6135503385503
"BW";67,1729863576708;67,1729863576708;9;93,1111111111111;12,3091274705844
"BY";75,1388438031094;75,1388438031094;15;66;12,5589932575476
"BZ";59,7037752015435;59,7037752015435;10;87,8;11,7846741327842
"CA";48,7420419792348;48,7420419792348;14;92,7142857142857;11,7561448452335
"CD";66,3168462626472;66,3168462626472;4;95,5;11,6849845620066
"CF";71,1272461172596;71,1272461172596;1;89;13
"CG";65,7871273544615;65,7871273544615;13;83,4615384615385;12,2163286387895
"CH";70,326562670394;70,326562670394;15;80,6666666666667;12,6128689585705
"CI";72,5266579667785;72,5266579667785;15;82,2666666666667;12,3598920402291
"CK";78,4523571782722;78,4523571782722;2;91;12,4092117988395
"CL";78,5442767899462;78,5442767899462;16;80,4375;12,6244541582401
"CM";63,4657032464245;63,4657032464245;9;85,8888888888889;12,4036894802197
"CN";73,7918971824448;73,7918971824448;18;72,2777777777778;12,4449728929185
"CO";76,048441754087;76,048441754087;14;85,6428571428571;12,6477122747427
"CR";52,0836932694491;52,0836932694491;11;84,1818181818182;11,7476793808257
"CS";42,1125329393478;42,1125329393478;7;96,5714285714286;11,4120366192947
"CT";71,8993855754961;71,8993855754961;4;97;12,2005752442927
"CU";69,1879422906218;69,1879422906218;8;89;12,6377943686614
"CV";55,8097441745048;55,8097441745048;6;87,3333333333333;11,3351816752922
"CW";39,8666402798025;39,8666402798025;4;81,5;11,2718706031068
"CX";70,4261567140875;70,4261567140875;1;96;12,2291666666667
"CY";57,3044712017632;57,3044712017632;15;92,8666666666667;11,8362358048442
"CZ";74,4962742079778;74,4962742079778;17;76,1764705882353;12,4983217095284
"DD";67,1143376456666;67,1143376456666;12;58,6666666666667;12,3842878642327
"DE";72,0562236521325;72,0562236521325;13;72;12,4054268073439
"DJ";75,0668254908154;75,0668254908154;8;76,875;12,3320565281218
"DK";66,0230322505818;66,0230322505818;16;85,1875;12,3878915760168
"DM";39,6185057157482;39,6185057157482;4;92;10,7538601977453
"DO";62,8885462144347;62,8885462144347;14;91,5;11,9576410982174
"DZ";66,1502959853051;66,1502959853051;14;81,1428571428571;12,2522358053576
"EA";70,4261567140875;70,4261567140875;1;96;12,2291666666667
"EC";75,9093114434368;75,9093114434368;11;90,9090909090909;12,5041895695891
"EE";58,611002687139;58,611002687139;14;90,4285714285714;11,9605010090379
"EG";45,7311777567475;45,7311777567475;11;84;11,5884860545828
"EP";53,9233418698497;53,9233418698497;7;101,714285714286;11,6060603731037
"ER";52,9421161241961;52,9421161241961;2;81;11,6559356136821
"ES";73,3604189292088;73,3604189292088;17;86,4705882352941;12,5012097508239
"ET";57,0187389435374;57,0187389435374;13;69,6153846153846;11,9207875947736
"FI";43,1438761941474;43,1438761941474;9;77,2222222222222;11,6639885751586
"FJ";55,4188365545135;55,4188365545135;6;71,6666666666667;11,4921221852444
"FK";70,5992872802489;70,5992872802489;1;138;11,7608695652174
"FL";59,2983963207064;59,2983963207064;10;66,6;12,003837603895
"FM";70,5992872802489;70,5992872802489;1;138;11,7608695652174
"FO";78,9700613027456;78,9700613027456;8;78,125;12,449941928045
