"";"MORc(Surrounding_3rd, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AD";55,119814826425;55,119814826425;4;89,75;2,91150427219791
"AE";25,1964743039428;25,1964743039428;4;97;2,85312048273411
"AF";48,4679550213247;48,4679550213247;2;93;2,63384477878743
"AG";31,2856882095412;31,2856882095412;3;100,333333333333;2,85142914422665
"AI";49,1876965847953;49,1876965847953;3;91,6666666666667;2,78960438436016
"AI_pat";13,0768662346871;13,0768662346871;2;112;2,66234583438208
"AL";33,8516660796247;33,8516660796247;2;82;2,95962546816479
"AM";42,0512441564581;42,0512441564581;3;89,3333333333333;2,76732146534563
"AN";55,9011107197498;55,9011107197498;3;69,3333333333333;2,96550788786744
"AO";48,4714474398907;48,4714474398907;3;71;2,90681444113226
"AP";57,240262348932;57,240262348932;2;69;2,78261866544371
"AR";16,7195725013449;16,7195725013449;3;99,6666666666667;2,77045277847694
"AT";47,8153592197437;47,8153592197437;4;91;2,82534935568585
"AU";40,1597531018999;40,1597531018999;3;105;2,88958145383963
"AW";47,1627634181628;47,1627634181628;2;89;3,01685393258427
"AX";70,7821775732751;70,7821775732751;1;49;2,63265306122449
"AZ";34,9260397969816;34,9260397969816;2;113;2,78381038300664
"BA";23,2840265313211;23,2840265313211;3;104,333333333333;2,75242531280903
"BB";40,1597531018999;40,1597531018999;3;105;2,88958145383963
"BC";26,1537324693743;26,1537324693743;1;137;2,63503649635036
"BD";12,0024925173302;12,0024925173302;2;81;2,83816091954023
"BE";28,896848868072;28,896848868072;5;95,4;2,86901324011987
"BF";34,9260397969816;34,9260397969816;2;113;2,78381038300664
"BG";31,4418422787752;31,4418422787752;3;88,3333333333333;2,90778767919411
"BH";25,1964743039428;25,1964743039428;4;97;2,85312048273411
"BJ";47,2781723610653;47,2781723610653;4;75,5;2,91325689826492
"BL";26,1537324693743;26,1537324693743;1;137;2,63503649635036
"BM";75,3135898558683;75,3135898558683;2;66,5;3,03919816138917
"BN";70,7821775732751;70,7821775732751;1;49;2,63265306122449
"BO";48,4679550213247;48,4679550213247;2;93;2,63384477878743
"BQ";57,240262348932;57,240262348932;2;69;2,78261866544371
"BR";40,1597531018999;40,1597531018999;3;105;2,88958145383963
"BS";30,1198148264249;30,1198148264249;4;100,5;2,83959988348317
"BT";0;0;1;87;2,68965517241379
"BU";43,6983471245889;43,6983471245889;1;89;2,93258426966292
"BW";60,7046786425058;60,7046786425058;2;69;2,86688832836505
"BY";49,1876965847953;49,1876965847953;3;91,6666666666667;2,78960438436016
"BZ";25,5936373937036;25,5936373937036;3;104,333333333333;2,80860508808993
"CA";12,0024925173302;12,0024925173302;2;81;2,83816091954023
"CG";85,3910887866375;85,3910887866375;2;46,5;2,80496289424861
