"";"MORc(Top3_3rd, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AD";0;0;1;86;1,25581395348837
"AE";0;0;1;86;1,25581395348837
"AI_pat";0;0;1;86;1,25581395348837
"AM";42,0008042290547;42,0008042290547;2;75;1,52634447674419
"AN";84,0016084581093;84,0016084581093;1;64;1,796875
"AO";0;0;1;86;1,25581395348837
"AR";84,0016084581093;84,0016084581093;1;64;1,796875
"AT";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"AU";100;100;1;93;1,48387096774194
"AZ";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"BA";0;0;1;86;1,25581395348837
"BB";0;0;1;86;1,25581395348837
"BD";100;100;1;93;1,48387096774194
"BE";100;100;1;93;1,48387096774194
"BG";42,0008042290547;42,0008042290547;2;75;1,52634447674419
"BH";0;0;1;86;1,25581395348837
"BM";0;0;1;86;1,25581395348837
"BN";100;100;1;93;1,48387096774194
"BR";100;100;1;93;1,48387096774194
"BS";0;0;1;86;1,25581395348837
"BT";0;0;1;86;1,25581395348837
"BY";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"BZ";0;0;1;86;1,25581395348837
"CA";0;0;1;86;1,25581395348837
"CF";100;100;1;93;1,48387096774194
"CG";84,0016084581093;84,0016084581093;1;64;1,796875
"CH";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"CL";100;100;1;93;1,48387096774194
"CN";0;0;1;86;1,25581395348837
"CO";100;100;1;93;1,48387096774194
"CR";0;0;1;86;1,25581395348837
"CS";84,0016084581093;84,0016084581093;1;64;1,796875
"CU";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"CV";0;0;1;86;1,25581395348837
"CW";0;0;1;86;1,25581395348837
"CY";42,0008042290547;42,0008042290547;2;75;1,52634447674419
"CZ";100;100;1;93;1,48387096774194
"DD";100;100;1;93;1,48387096774194
"DE";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"DJ";100;100;1;93;1,48387096774194
"DK";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"DM";0;0;1;86;1,25581395348837
"DO";0;0;1;86;1,25581395348837
"DZ";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"EC";42,0008042290547;42,0008042290547;2;75;1,52634447674419
"EE";100;100;1;93;1,48387096774194
"EG";84,0016084581093;84,0016084581093;1;64;1,796875
"ES";100;100;1;93;1,48387096774194
"ET";50;50;2;89,5;1,36984246061515
"FI";0;0;1;86;1,25581395348837
"FJ";0;0;1;86;1,25581395348837
"FO";0;0;1;86;1,25581395348837
"FR";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"GA";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"GB";42,0008042290547;42,0008042290547;2;75;1,52634447674419
"GD";0;0;1;86;1,25581395348837
"GE";0;0;1;86;1,25581395348837
"GF";100;100;1;93;1,48387096774194
"GH";50;50;2;89,5;1,36984246061515
"GI";0;0;1;86;1,25581395348837
"GL";0;0;1;86;1,25581395348837
"GQ";84,0016084581093;84,0016084581093;1;64;1,796875
"GR";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"GT";0;0;1;86;1,25581395348837
"HK";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"HN";84,0016084581093;84,0016084581093;1;64;1,796875
"HR";100;100;1;93;1,48387096774194
"HU";50;50;2;89,5;1,36984246061515
"ID";0;0;1;86;1,25581395348837
"IE";42,0008042290547;42,0008042290547;2;75;1,52634447674419
"IL";42,0008042290547;42,0008042290547;2;75;1,52634447674419
"IN";42,0008042290547;42,0008042290547;2;75;1,52634447674419
"IQ";50;50;2;89,5;1,36984246061515
"IR";100;100;1;93;1,48387096774194
"IS";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"IT";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"JE";42,0008042290547;42,0008042290547;2;75;1,52634447674419
"JM";100;100;1;93;1,48387096774194
"JO";100;100;1;93;1,48387096774194
"JP";84,0016084581093;84,0016084581093;1;64;1,796875
"KE";50;50;2;89,5;1,36984246061515
"KG";100;100;1;93;1,48387096774194
"KH";100;100;1;93;1,48387096774194
"KN";0;0;1;86;1,25581395348837
"KP";0;0;1;86;1,25581395348837
"KR";0;0;1;86;1,25581395348837
"KW";100;100;1;93;1,48387096774194
"KY";0;0;1;86;1,25581395348837
"KZ";100;100;1;93;1,48387096774194
"LB";100;100;1;93;1,48387096774194
"LI";100;100;1;93;1,48387096774194
"LK";84,0016084581093;84,0016084581093;1;64;1,796875
"LT";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"LU";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"LV";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"LY";100;100;1;93;1,48387096774194
"MA";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"MC";50;50;2;89,5;1,36984246061515
"MD";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"ME";0;0;1;86;1,25581395348837
"MG";100;100;1;93;1,48387096774194
"MH";0;0;1;86;1,25581395348837
"MK";0;0;1;86;1,25581395348837
"ML";0;0;1;86;1,25581395348837
"MM";0;0;1;86;1,25581395348837
"MN";0;0;1;86;1,25581395348837
"MO";100;100;1;93;1,48387096774194
"MQ";0;0;1;86;1,25581395348837
"MT";0;0;1;86;1,25581395348837
"MU";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"MV";0;0;1;86;1,25581395348837
"MX";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"MY";84,0016084581093;84,0016084581093;1;64;1,796875
"NC";50;50;2;89,5;1,36984246061515
"NE";0;0;1;86;1,25581395348837
"NF";100;100;1;93;1,48387096774194
"NG";0;0;1;86;1,25581395348837
"NJ";0;0;1;86;1,25581395348837
"NL";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"NO";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"NP";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"NY";0;0;1;86;1,25581395348837
"NZ";100;100;1;93;1,48387096774194
"OM";0;0;1;86;1,25581395348837
"ON";0;0;1;86;1,25581395348837
"OR";100;100;1;93;1,48387096774194
"PA";50;50;2;89,5;1,36984246061515
"PE";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"PF";100;100;1;93;1,48387096774194
"PH";42,0008042290547;42,0008042290547;2;75;1,52634447674419
"PK";0;0;1;86;1,25581395348837
"PL";100;100;1;93;1,48387096774194
"PR";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"PT";100;100;1;93;1,48387096774194
"PY";100;100;1;93;1,48387096774194
"QA";42,0008042290547;42,0008042290547;2;75;1,52634447674419
"RE";100;100;1;93;1,48387096774194
"RO";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"RS";42,0008042290547;42,0008042290547;2;75;1,52634447674419
"RU";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"SA";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"SC";100;100;1;93;1,48387096774194
"SD";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"SE";0;0;1;86;1,25581395348837
"SG";84,0016084581093;84,0016084581093;1;64;1,796875
"SI";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"SK";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"SM";84,0016084581093;84,0016084581093;1;64;1,796875
"SN";100;100;1;93;1,48387096774194
"SR";0;0;1;86;1,25581395348837
"SU";100;100;1;93;1,48387096774194
"SV";100;100;1;93;1,48387096774194
"SY";100;100;1;93;1,48387096774194
"SZ";42,0008042290547;42,0008042290547;2;75;1,52634447674419
"TG";0;0;1;86;1,25581395348837
"TH";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"TJ";100;100;1;93;1,48387096774194
"TM";0;0;1;86;1,25581395348837
"TN";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"TO";0;0;1;86;1,25581395348837
"TR";0;0;1;86;1,25581395348837
"TT";100;100;1;93;1,48387096774194
"TW";84,0016084581093;84,0016084581093;1;64;1,796875
"TZ";0;0;1;86;1,25581395348837
"UA";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"UG";100;100;1;93;1,48387096774194
"UK";0;0;1;86;1,25581395348837
"US";42,0008042290547;42,0008042290547;2;75;1,52634447674419
"UY";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"UZ";100;100;1;93;1,48387096774194
"VA";0;0;1;86;1,25581395348837
"VE";100;100;1;93;1,48387096774194
"VG";0;0;1;86;1,25581395348837
"VN";92,0008042290547;92,0008042290547;2;78,5;1,64037298387097
"WA";0;0;1;86;1,25581395348837
"WF";0;0;1;86;1,25581395348837
"WS";0;0;1;86;1,25581395348837
"XK";0;0;1;86;1,25581395348837
"XN";0;0;1;86;1,25581395348837
"YE";100;100;1;93;1,48387096774194
"YS";0;0;1;86;1,25581395348837
"YU";100;100;1;93;1,48387096774194
"ZA";0;0;1;86;1,25581395348837
"ZW";100;100;1;93;1,48387096774194
