"";"MORc(mat_3rd, RCA = F)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AB";44,3911255840456;44,3911255840456;1;1416696;14524095,4022903
"AD";57,2930018152724;57,2930018152724;103;1923144,10679612;16072580,6481045
"AE";58,765826387225;58,765826387225;3077;2150384,15274618;16085385,3402742
"AF";57,313934374231;57,313934374231;10;2065548,6;15965099,2004075
"AG";52,6118301018331;52,6118301018331;30;2366435,33333333;15384173,3540707
"AI";50,3294551540591;50,3294551540591;14;2114455,57142857;15542212,4373255
"AL";55,1245963245373;55,1245963245373;41;1642664,02439024;15465062,4304619
"AM";57,2916443663408;57,2916443663408;675;2485870,5837037;15878442,4196339
"AN";45,0485620129513;45,0485620129513;98;1795377,73469388;15464931,5967542
"AO";56,5214390503424;56,5214390503424;28;2010208,17857143;16233369,7100973
"AP";51,0371519980923;51,0371519980923;7;2349649,42857143;16022159,0542985
"AR";62,4178468878173;62,4178468878173;3759;2065433,88613993;16010917,3797201
"AS";35,8312492800647;35,8312492800647;1;1260596;13226328,3078591
"AT";53,8924907009174;53,8924907009174;91941;2044562,06238784;15879127,0029419
"AU";62,3474670456911;62,3474670456911;243822;1906509,87460524;15978270,1208657
"AW";57,0806563648993;57,0806563648993;29;1670278,17241379;16480640,7963938
"AX";37,9864448156436;37,9864448156436;2;3020935,5;14683671,8001006
"AZ";73,931934520407;73,931934520407;1000;1977754,695;17178100,9024342
"BA";56,794564687712;56,794564687712;118;1979681,42372881;15693172,4472154
"BB";51,820581659528;51,820581659528;152;2272569,23026316;15443566,8838745
"BC";48,5534294191508;48,5534294191508;2;3071611;13665746,6967877
"BD";67,4671831666;67,4671831666;759;2088955,60079051;16381876,4310255
"BE";57,932336192347;57,932336192347;63447;1959120,28231437;16106291,0194095
"BF";49,7775677550965;49,7775677550965;20;1716044;14934708,3834736
"BG";59,2020558749757;59,2020558749757;6047;2377653,55167852;16156945,6542795
"BH";62,7459537008485;62,7459537008485;123;1966611,62601626;16460977,032677
"BI";100;100;14;1523832,42857143;19048804,9464943
"BJ";62,0183804702973;62,0183804702973;31;1956338,80645161;16563691,1377744
"BL";38,4001247363418;38,4001247363418;3;2018191;12889928,2606748
"BM";49,0898379456758;49,0898379456758;144;2044472,44444444;15111836,4122496
"BN";55,8397702899592;55,8397702899592;119;2364763,63865546;16214296,9070555
"BO";65,1783378813506;65,1783378813506;47;2204938,29787234;16718133,9778846
"BQ";49,2993348402798;49,2993348402798;2;2643969,5;16501516,8567554
"BR";66,965711648881;66,965711648881;124780;1875348,07945184;16533876,4524498
"BS";60,7579671808552;60,7579671808552;235;2030160,17446809;15866924,3839394
"BT";80,1960654381557;80,1960654381557;10;1733512,1;16440855,4190884
"BU";61,0393325046001;61,0393325046001;6;1373709;16673427,7921157
"BW";66,9849582434819;66,9849582434819;17;1763013,47058824;16595642,9154046
"BY";62,5377650990308;62,5377650990308;6150;1919177,62325203;16555503,0869508
"BZ";59,8750437059683;59,8750437059683;51;2112835,2745098;16065558,5177237
"CA";54,3120097813965;54,3120097813965;348080;2223775,51248564;15680867,0362393
"CD";27,1269063143885;27,1269063143885;5;1377378;13617316,3400267
"CF";80,2279982727916;80,2279982727916;1;458021;14770067,5348139
"CG";63,1268204204714;63,1268204204714;18;1687669,16666667;16323078,6996877
"CH";59,0920903299064;59,0920903299064;155825;2117416,0942275;16081088,4866247
"CI";77,717124198864;77,717124198864;34;1795171,64705882;16936082,0296066
"CK";67,4653155193481;67,4653155193481;2;1794805,5;17166629,4580557
"CL";74,9283332877951;74,9283332877951;7428;1828417,29254173;17116208,4137634
"CM";69,3920171176762;69,3920171176762;66;1823449,56060606;16249490,2522469
"CN";65,7601977566941;65,7601977566941;26766744;2124107,68233103;16803938,7538051
"CO";67,9336128025096;67,9336128025096;2275;1863972,58021978;16489466,8282749
"CR";56,941957148053;56,941957148053;744;2295577,55376344;15611188,1187814
"CS";61,9997761327145;61,9997761327145;76;2219070,69736842;15876373,5531798
"CT";64,3121051112063;64,3121051112063;5;1573345,8;16248289,6241154
"CU";81,5275541541105;81,5275541541105;190;1750144,13684211;16905442,9130168
"CV";44,3881402060625;44,3881402060625;8;2290337,5;14666770,185911
"CW";51,9039662375211;51,9039662375211;5;1968725,6;15616080,1437084
"CX";9,41476700421189;9,41476700421189;1;1176165;13501142,6747837
"CY";60,1060243508615;60,1060243508615;590;1967107,90338983;16029867,0371827
"CZ";66,3857692884594;66,3857692884594;45186;1948574,19915461;16539400,9152866
"DD";45,5724502436931;45,5724502436931;54;2120453,5;15827393,1009312
"DE";53,5830519465897;53,5830519465897;2086707;2049861,4376647;15742311,1843829
"DJ";72,1997289187412;72,1997289187412;9;1855198,66666667;16702224,9703671
"DK";60,2305140510174;60,2305140510174;49987;1913825,27449137;15934960,7919159
"DM";55,6980242624369;55,6980242624369;8;3196045,625;15436153,4594874
"DO";52,0934569617512;52,0934569617512;131;2172712,72519084;15344038,0355347
"DZ";66,7028672037178;66,7028672037178;120;2132875,4;16665184,934077
"EA";9,41476700421189;9,41476700421189;1;1176165;13501142,6747837
"EC";70,1473205163743;70,1473205163743;190;1843748,15263158;16677765,9065578
"EE";63,5020716087426;63,5020716087426;3703;2062446,80394275;16322007,1726934
"EG";55,871421808058;55,871421808058;1943;2483549,9372105;15624183,0907331
"EP";76,9289291026583;76,9289291026583;13;1704644,69230769;16400433,6096887
"ER";36,6044465488856;36,6044465488856;4;1473050,25;13170416,9830123
"ES";64,6571339621993;64,6571339621993;155492;1931597,05244;16392158,2744249
"ET";56,0927033085439;56,0927033085439;56;2298190,46428571;15910139,8079624
"FI";54,1617686679314;54,1617686679314;114802;2148498,57041689;15880819,7450213
"FJ";71,6581414632811;71,6581414632811;6;2420608;16863850,4653388
"FK";50,5047363542542;50,5047363542542;1;1755945;12610098,1298936
"FL";48,9044116162239;48,9044116162239;12;2009868,08333333;16131020,5025784
"FM";50,5047363542542;50,5047363542542;2;1755945;12610098,1298936
"FO";64,1095446509365;64,1095446509365;45;1912217,75555556;16478692,5124329
"FR";56,0376544343439;56,0376544343439;681997;2046258,98328732;15782227,672559
"GA";62,9814902817178;62,9814902817178;37;1890654,13513514;16275559,2702328
"GB";54,1043761472398;54,1043761472398;327837;2178870,90440981;15620527,7918078
"GD";68,0702754124397;68,0702754124397;18;2213855,72222222;16049470,8417288
"GE";58,4367012882102;58,4367012882102;260;2121867,01538462;16079823,9857883
"GF";77,6857584264922;77,6857584264922;10;1264252,3;15860240,0403749
"GG";50,0146169811246;50,0146169811246;4;1503174,25;15406860,2436639
"GH";78,7447180449666;78,7447180449666;93;1816032,53763441;16809398,6702545
"GI";43,4098863839926;43,4098863839926;100;1889915,9;15086982,9597121
"GL";46,7113773278514;46,7113773278514;6;3004190,5;15320366,2382596
"GM";46,6021224840475;46,6021224840475;1;4387277;14721395,2636818
"GN";69,8660129939337;69,8660129939337;7;1882105,14285714;16475695,1363529
"GP";51,6915783719722;51,6915783719722;10;1761463,9;14362543,1711126
