"";"MORc(Surrounding_3rd, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AD";77,4445845983388;77,4445845983388;4;89,75;2,91150427219791
"AE";41,1531858645545;41,1531858645545;4;97;2,85358025284905
"AF";78,829503770299;78,829503770299;2;93;2,63384477878743
"AG";53,7382771142339;53,7382771142339;3;100,333333333333;2,8558735886711
"AI";78,9503657749023;78,9503657749023;3;91,6666666666667;2,78960438436016
"AL";51,7779119010518;51,7779119010518;2;82;2,96629213483146
"AM";51,597356980218;51,597356980218;3;89,3333333333333;2,76349004772111
"AN";66,8962957340532;66,8962957340532;3;69,3333333333333;2,96995233231188
"AO";68,9845786392067;68,9845786392067;3;71;2,9112588855767
"AP";87,8970888342963;87,8970888342963;2;69;2,78261866544371
"AR";28,473551224703;28,473551224703;3;99,6666666666667;2,77106580529686
"AT";78,1613187483248;78,1613187483248;4;91;2,82534935568585
"AU";70,8817583310997;70,8817583310997;3;105;2,88958145383963
"AW";77,4931337263507;77,4931337263507;2;89;3,01685393258427
"AX";100;100;1;49;2,63265306122449
"AZ";66,7265926045952;66,7265926045952;2;113;2,78381038300664
"BA";44,4843950697301;44,4843950697301;3;104,333333333333;2,7485938951845
"BB";70,8817583310997;70,8817583310997;3;105;2,88958145383963
"BC";57,6590075405979;57,6590075405979;1;137;2,63503649635036
"BD";13,8808230667556;13,8808230667556;2;81;2,83908045977011
"BE";48,0813842253621;48,0813842253621;5;95,4;2,86938105621183
"BF";66,7265926045952;66,7265926045952;2;113;2,78381038300664
"BG";51,6620891509004;51,6620891509004;3;88,3333333333333;2,90395626156959
"BH";41,1531858645545;41,1531858645545;4;97;2,85358025284905
"BJ";70,6869783965531;70,6869783965531;4;75,5;2,91659023159826
"BL";57,6590075405979;57,6590075405979;1;137;2,63503649635036
"BM";88,1625765920824;88,1625765920824;2;66,5;3,03919816138917
"BN";100;100;1;49;2,63265306122449
"BO";78,829503770299;78,829503770299;2;93;2,63384477878743
"BQ";87,8970888342963;87,8970888342963;2;69;2,78261866544371
"BR";70,8817583310997;70,8817583310997;3;105;2,88958145383963
"BS";53,1613187483248;53,1613187483248;4;100,5;2,83672632026478
"BT";0;0;1;87;2,67816091954023
"BU";75,7941776685925;75,7941776685925;1;89;2,93258426966292
"BW";89,5960448920544;89,5960448920544;2;69;2,86688832836505
"BY";78,9503657749023;78,9503657749023;3;91,6666666666667;2,78960438436016
"BZ";45,6170324415689;45,6170324415689;3;104,333333333333;2,8047736704654
"CA";13,8808230667556;13,8808230667556;2;81;2,83908045977011
"CG";98,566531700028;98,566531700028;2;46,5;2,80496289424861
"CH";70,8817583310997;70,8817583310997;3;105;2,88958145383963
"CI";68,4255486623534;68,4255486623534;2;113;2,86808004592799
"CK";75,7941776685925;75,7941776685925;1;89;2,93258426966292
"CL";66,7265926045952;66,7265926045952;2;113;2,78381038300664
"CM";68,028933105892;68,028933105892;3;69,3333333333333;3,02613210759278
"CN";63,7465668631753;63,7465668631753;4;78,5;2,83613046148331
"CO";70,8817583310997;70,8817583310997;3;105;2,88958145383963
"CR";28,473551224703;28,473551224703;3;99,6666666666667;2,77106580529686
"CS";59,730696594703;59,730696594703;3;75;2,80397919209011
"CT";57,6590075405979;57,6590075405979;1;137;2,63503649635036
"CU";45,6170324415689;45,6170324415689;3;104,333333333333;2,8047736704654
"CV";0;0;1;87;2,67816091954023
"CW";0;0;1;87;2,67816091954023
"CY";40,3037078356754;40,3037078356754;4;97;2,81144542138838
"CZ";78,1613187483248;78,1613187483248;4;91;2,82534935568585
"DD";87,8970888342963;87,8970888342963;2;69;2,78261866544371
"DE";78,1613187483248;78,1613187483248;4;91;2,82534935568585
"DK";76,8620828697488;76,8620828697488;3;90;2,84829783109534
"DM";0;0;1;87;2,67816091954023
"DO";78,9503657749023;78,9503657749023;3;91,6666666666667;2,78960438436016
"DZ";78,829503770299;78,829503770299;2;93;2,63384477878743
"EC";70,8817583310997;70,8817583310997;3;105;2,88958145383963
"EE";40,3037078356754;40,3037078356754;4;97;2,81144542138838
"EG";28,473551224703;28,473551224703;3;99,6666666666667;2,77106580529686
"EP";57,6590075405979;57,6590075405979;1;137;2,63503649635036
"ER";42,7103268370546;42,7103268370546;2;106;2,81751824817518
"ES";70,8817583310997;70,8817583310997;3;105;2,88958145383963
"ET";13,8808230667556;13,8808230667556;2;81;2,83908045977011
"FI";34,5186079340346;34,5186079340346;3;83,6666666666667;2,87024839640105
"FJ";0;0;1;87;2,67816091954023
"FK";57,6590075405979;57,6590075405979;1;137;2,63503649635036
"FL";77,4931337263507;77,4931337263507;2;89;3,01685393258427
"FM";57,6590075405979;57,6590075405979;1;137;2,63503649635036
"FO";77,4931337263507;77,4931337263507;2;89;3,01685393258427
"FR";70,8817583310997;70,8817583310997;3;105;2,88958145383963
"GA";60,9159711954042;60,9159711954042;3;84,3333333333333;3,01123595505618
"GB";41,1531858645545;41,1531858645545;4;97;2,85358025284905
"GD";42,7103268370546;42,7103268370546;2;106;2,81751824817518
"GE";44,4843950697301;44,4843950697301;3;104,333333333333;2,7485938951845
"GG";66,7265926045952;66,7265926045952;2;113;2,78381038300664
"GH";41,6315698445224;41,6315698445224;3;68,6666666666667;2,88514454893765
"GI";70,8817583310997;70,8817583310997;3;105;2,88958145383963
"GL";34,5186079340346;34,5186079340346;3;83,6666666666667;2,87024839640105
"GP";42,7103268370546;42,7103268370546;2;106;2,81751824817518
"GQ";27,7616461335112;27,7616461335112;1;75;3
"GR";60,1017302817026;60,1017302817026;4;97,5;2,91718609037973
"GT";67,5079969053733;67,5079969053733;5;86,8;2,92920341775833
"GU";57,6590075405979;57,6590075405979;1;137;2,63503649635036
"HK";92,1083843947216;92,1083843947216;3;60,6666666666667;2,90368312800094
"HN";70,8817583310997;70,8817583310997;3;105;2,88958145383963
"HR";70,8817583310997;70,8817583310997;3;105;2,88958145383963
"HU";28,829503770299;28,829503770299;2;112;2,6565987079453
"ID";69,9702442465671;69,9702442465671;4;74,25;3,00274514811032
"IE";28,473551224703;28,473551224703;3;99,6666666666667;2,77106580529686
"IL";28,473551224703;28,473551224703;3;99,6666666666667;2,77106580529686
"IM";68,9845786392067;68,9845786392067;3;71;2,9112588855767
"IN";13,8808230667556;13,8808230667556;2;81;2,83908045977011
"IQ";45,6170324415689;45,6170324415689;3;104,333333333333;2,8047736704654
"IR";68,4255486623534;68,4255486623534;2;113;2,86808004592799
"IS";57,6590075405979;57,6590075405979;1;137;2,63503649635036
"IT";70,8817583310997;70,8817583310997;3;105;2,88958145383963
"JE";84,0397769509191;84,0397769509191;3;74;3,00366019748042
"JM";51,738433979405;51,738433979405;4;75;2,85298439406758
"JO";28,473551224703;28,473551224703;3;99,6666666666667;2,77106580529686
"JP";75,1722218005399;75,1722218005399;4;64,25;2,88562751454003
"KE";34,5186079340346;34,5186079340346;3;83,6666666666667;2,87024839640105
"KG";78,829503770299;78,829503770299;2;93;2,63384477878743
"KH";44,4843950697301;44,4843950697301;3;104,333333333333;2,7485938951845
"KN";41,6315698445224;41,6315698445224;3;68,6666666666667;2,88514454893765
"KP";41,6315698445224;41,6315698445224;3;68,6666666666667;2,88514454893765
"KR";51,021699829419;51,021699829419;4;73,75;2,93913931057964
"KW";70,8817583310997;70,8817583310997;3;105;2,88958145383963
"KY";0;0;1;87;2,67816091954023
"KZ";78,829503770299;78,829503770299;2;93;2,63384477878743
"LA";57,6590075405979;57,6590075405979;1;137;2,63503649635036
"LB";35,6512453058733;35,6512453058733;3;83,6666666666667;2,92642817168195
"LI";70,8817583310997;70,8817583310997;3;105;2,88958145383963
"LK";68,4255486623534;68,4255486623534;2;113;2,86808004592799
"LN";57,6590075405979;57,6590075405979;1;137;2,63503649635036
"LR";63,8808230667556;63,8808230667556;2;62;2,81632653061224
"LT";68,4255486623534;68,4255486623534;2;113;2,86808004592799
"LU";70,8817583310997;70,8817583310997;3;105;2,88958145383963
"LV";78,9503657749023;78,9503657749023;3;91,6666666666667;2,78960438436016
"LY";67,8519412673679;67,8519412673679;3;71;2,8550791102958
"MA";45,6170324415689;45,6170324415689;3;104,333333333333;2,8047736704654
"MC";53,1613187483248;53,1613187483248;4;100,5;2,83672632026478
"MD";77,4445845983388;77,4445845983388;4;89,75;2,91150427219791
"ME";13,8808230667556;13,8808230667556;2;81;2,83908045977011
"MG";66,7265926045952;66,7265926045952;2;113;2,78381038300664
"MH";13,8808230667556;13,8808230667556;2;81;2,83908045977011
"MK";28,473551224703;28,473551224703;3;99,6666666666667;2,77106580529686
"ML";65,711021133352;65,711021133352;3;60;2,76269556934582
"MM";34,5186079340346;34,5186079340346;3;83,6666666666667;2,87024839640105
"MN";65,4364517145685;65,4364517145685;4;86,25;2,92835820478218
"MO";39,5960448920544;39,5960448920544;2;88;2,88964225752292
"MQ";0;0;1;87;2,67816091954023
"MT";89,5960448920544;89,5960448920544;2;69;2,86688832836505
"MU";70,8817583310997;70,8817583310997;3;105;2,88958145383963
"MV";13,8808230667556;13,8808230667556;2;81;2,83908045977011
"MW";57,6590075405979;57,6590075405979;1;137;2,63503649635036
"MX";70,8817583310997;70,8817583310997;3;105;2,88958145383963
"MY";74,9649031778557;74,9649031778557;3;56;2,86997526283241
"MZ";57,6590075405979;57,6590075405979;1;137;2,63503649635036
"NC";52,5530025135326;52,5530025135326;3;91;2,64861682570503
"NE";41,6315698445224;41,6315698445224;3;68,6666666666667;2,88514454893765
"NG";45,6170324415689;45,6170324415689;3;104,333333333333;2,8047736704654
"NI";42,7103268370546;42,7103268370546;2;106;2,81751824817518
"NJ";44,4843950697301;44,4843950697301;3;104,333333333333;2,7485938951845
"NL";66,7265926045952;66,7265926045952;2;113;2,78381038300664
"NO";66,7265926045952;66,7265926045952;2;113;2,78381038300664
"NP";42,7103268370546;42,7103268370546;2;106;2,81751824817518
"NY";57,6465621523116;57,6465621523116;4;89,25;2,80576360320656
"NZ";70,8817583310997;70,8817583310997;3;105;2,88958145383963
"OA";100;100;1;49;2,63265306122449
"OH";70,8817583310997;70,8817583310997;3;105;2,88958145383963
"OM";77,8177284030635;77,8177284030635;3;91,6666666666667;2,73342460907926
"ON";0;0;1;87;2,67816091954023
"OR";57,6590075405979;57,6590075405979;1;137;2,63503649635036
"PA";70,8817583310997;70,8817583310997;3;105;2,88958145383963
"PE";70,8817583310997;70,8817583310997;3;105;2,88958145383963
"PF";0;0;1;87;2,67816091954023
"PH";90,9757470228828;90,9757470228828;3;60,6666666666667;2,84750335272005
"PK";45,6384292685413;45,6384292685413;4;85,75;2,82261753579083
"PL";78,1613187483248;78,1613187483248;4;91;2,82534935568585
