"";"MORc(Surrounding_3rd, RCA = F)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AD";65,7524420141626;65,7524420141626;29;2119374,03448276;3322365,92685948
"AE";51,4635574091341;51,4635574091341;719;2127207,00556328;3266695,59539919
"AF";46,6012718299073;46,6012718299073;2;2824251;3221625,21930948
"AG";41,1035014853088;41,1035014853088;8;2227417,5;3166542,79111594
"AI";61,7543697774985;61,7543697774985;7;1881818,71428571;3303685,86180621
"AL";68,0263484203774;68,0263484203774;4;1560143,5;3245861,99768783
"AM";49,4766399192654;49,4766399192654;130;2398634,78461538;3325964,40394168
"AN";72,1858329476475;72,1858329476475;33;2106320,66666667;3284239,07286101
"AO";73,3182391417018;73,3182391417018;8;2668589,25;3434864,59292859
"AP";85,3921168316606;85,3921168316606;2;2643969,5;3613283,35077682
"AR";42,9242449103915;42,9242449103915;1055;2003941,34218009;3220505,41934594
"AT";67,7573219973666;67,7573219973666;21066;2511354,6458274;3357964,56721952
"AU";45,7917658357835;45,7917658357835;55118;1914466,99228927;3189026,53426654
"AW";74,3591270589483;74,3591270589483;5;1297889,2;3559783,92595314
"AX";93,2025436598146;93,2025436598146;1;3892557;3594819,95881293
"AZ";29,4984063240626;29,4984063240626;85;2117545,01176471;3109260,96363234
"BA";50,6937500789075;50,6937500789075;35;2257905,57142857;3342837,71523658
"BB";52,5721169109644;52,5721169109644;55;1751863,2;3279551,02838986
"BC";0;0;1;1755945;2848430,47980603
"BD";50,8657918671078;50,8657918671078;159;2460866;3374788,26838667
"BE";55,3510831476923;55,3510831476923;13542;2161457,67198346;3289917,74398007
"BF";25,8605633345022;25,8605633345022;3;1635757,33333333;3109535,90078425
"BG";59,2253557668585;59,2253557668585;1339;2382318,33756535;3362624,61674896
"BH";35,4819093235483;35,4819093235483;21;1839393,76190476;3239368,99663522
"BJ";80,1544458323581;80,1544458323581;7;2427345,28571429;3491017,11000856
"BL";0;0;1;1755945;2848430,47980603
"BM";70,6256235407473;70,6256235407473;27;2034297,48148148;3218783,32327955
"BN";86,1163263821313;86,1163263821313;31;3388599,74193548;3517798,12293478
"BO";60,7456536949104;60,7456536949104;16;2775422,3125;3280116,20521814
"BQ";85,3921168316606;85,3921168316606;2;2643969,5;3613283,35077682
"BR";54,7154665073002;54,7154665073002;23462;2028128,27960106;3282508,41582139
"BS";56,5797184924602;56,5797184924602;58;2241558,74137931;3311026,69566013
"BT";25,9567533735918;25,9567533735918;1;2347586;3438537,84123436
"BU";77,5816900035066;77,5816900035066;2;1395382;3631746,7427407
"BW";77,3357094702648;77,3357094702648;2;2400237,5;3433376,30880791
"BY";58,9450650971973;58,9450650971973;649;2492463,71186441;3285197,89944423
"BZ";49,4814165187307;49,4814165187307;13;1735804,07692308;3244320,94548432
"CA";54,0310336800729;54,0310336800729;107423;2130368,87989537;3291435,59368955
"CG";96,6012718299073;96,6012718299073;2;2928075,5;3343400,38231486
"CH";55,2828745448415;55,2828745448415;42262;2163668,54905116;3266760,63304405
"CI";10,2448125467858;10,2448125467858;6;1614607,16666667;2919014,17630551
"CK";77,5816900035066;77,5816900035066;1;1395382;3631746,7427407
"CL";53,6580086907584;53,6580086907584;917;1954388,23227917;3292847,9459774
"CM";75,4706046726465;75,4706046726465;11;1899664,72727273;3241666,77300142
"CN";63,8521183297966;63,8521183297966;5366383;2462524,76330165;3379048,1509095
"CO";35,5432725146489;35,5432725146489;525;1931505,5847619;3129171,25243337
"CR";36,3912854105562;36,3912854105562;240;2102487,02916667;3272992,27724381
"CS";63,9042998157886;63,9042998157886;11;2677013,45454545;3419507,1285587
"CT";0;0;1;1755945;2848430,47980603
"CU";42,5199156602641;42,5199156602641;17;2120351,47058824;3210322,5232046
"CV";25,9567533735918;25,9567533735918;1;2347586;3438537,84123436
"CW";25,9567533735918;25,9567533735918;1;2347586;3438537,84123436
"CY";48,7173246377225;48,7173246377225;148;2083573,45945946;3270416,11877809
"CZ";56,1915585484166;56,1915585484166;7131;2357147,18286355;3308070,24821161
"DD";80,7581185625716;80,7581185625716;10;3179460,8;3527566,3676978
"DE";65,7868957582046;65,7868957582046;453744;2463711,78350347;3354914,28588013
"DK";57,9848756579102;57,9848756579102;13311;2160399,22086996;3239963,63105064
"DM";25,9567533735918;25,9567533735918;2;2347586;3438537,84123436
"DO";58,6924054069901;58,6924054069901;46;2455722,04347826;3315694,88230103
"DZ";57,6114397033663;57,6114397033663;28;2654371,10714286;3269084,2920391
"EC";42,8525102116276;42,8525102116276;40;1985563,65;3242736,61204958
"EE";54,1635547241477;54,1635547241477;943;2205191,44220573;3320625,75978122
"EG";43,265298690162;43,265298690162;458;2183675,86681223;3239576,43171807
"EP";0;0;1;1755945;2848430,47980603
"ER";32,4206172796672;32,4206172796672;2;1685504,5;2982832,11457145
"ES";58,2218978853829;58,2218978853829;31863;2250914,51680633;3325284,66902359
"ET";47,7586456537198;47,7586456537198;18;2461661,27777778;3391781,01021356
"FI";53,9458896444058;53,9458896444058;42988;2121554,56790267;3325102,91149919
"FJ";25,9567533735918;25,9567533735918;1;2347586;3438537,84123436
"FK";0;0;1;1755945;2848430,47980603
"FL";73,4304960561878;73,4304960561878;4;1775943,75;3442608,00478985
"FM";0;0;2;1755945;2848430,47980603
"FO";67,120595937832;67,120595937832;9;1570967,66666667;3346305,40473547
"FR";61,0792083662272;61,0792083662272;152795;2284223,29427665;3322851,97088366
"GA";62,1751828128271;62,1751828128271;12;2003046,08333333;3337412,76562319
"GB";54,6118135688351;54,6118135688351;94642;2125642,3633165;3288003,85028251
"GD";26,2857902275344;26,2857902275344;7;2125569,57142857;3077759,06694404
"GE";44,869884751659;44,869884751659;67;2132784,10447761;3255870,38136049
"GG";38,7908450017533;38,7908450017533;2;1575663,5;3240088,61127336
"GH";58,6463183987768;58,6463183987768;14;2150673,5;3320388,38674434
"GI";60,6194881128066;60,6194881128066;14;2054159,07142857;3368672,53778337
"GL";65,3955553990618;65,3955553990618;4;2312647,25;3445584,57303121
"GP";32,4206172796672;32,4206172796672;2;1685504,5;2982832,11457145
"GQ";64,8412345593344;64,8412345593344;1;1615064;3117233,74933687
"GR";57,5256044737077;57,5256044737077;3563;2038689,30451866;3289090,20856885
"GT";58,6569922360249;58,6569922360249;34;1577676,20588235;3204318,99002043
"GU";0;0;1;1755945;2848430,47980603
"HK";72,5315086357324;72,5315086357324;8102;2623405,03529993;3360562,29541891
"HN";58,177768719437;58,177768719437;12;1478770,58333333;3305318,18249987
"HR";58,5112800961907;58,5112800961907;1058;2198198,1389414;3305975,87986855
"HU";53,1139011536953;53,1139011536953;5286;2459085,10839955;3328092,47890028
"ID";63,5812046849419;63,5812046849419;309;2011851,37864078;3267405,23891266
"IE";41,1476104014189;41,1476104014189;11989;2089865,79497873;3190233,31268235
"IL";41,5162976953345;41,5162976953345;47041;2088443,69581854;3213575,76039294
"IM";77,8977693500347;77,8977693500347;6;2518095,16666667;3407593,15723024
"IN";48,2873185278693;48,2873185278693;48539;2274975,54939327;3324220,59679133
"IQ";41,034750221071;41,034750221071;18;2200854,33333333;3259531,04434304
"IR";40,9889219741615;40,9889219741615;622;2158794,54662379;3165411,65715321
"IS";18,8451758942438;18,8451758942438;668;1821723,93113772;2993904,48240239
"IT";57,2949914333517;57,2949914333517;37966;2034805,43085919;3323962,50698696
"JE";74,9184369302558;74,9184369302558;30;2357582,13333333;3340849,50951032
"JM";67,8787574514428;67,8787574514428;40;2530490,175;3354628,34346087
"JO";40,5539854056692;40,5539854056692;175;2074570,12571429;3212501,11229416
"JP";74,3817773084201;74,3817773084201;3313233;2434218,14261206;3326650,67772754
"KE";51,3825629343238;51,3825629343238;137;2182001,75182482;3400497,84428596
"KG";49,5477195701086;49,5477195701086;15;2783081,26666667;3254006,27873986
"KH";42,6236183787603;42,6236183787603;10;2095750,8;3281119,92132323
"KN";56,3191951731704;56,3191951731704;5;1977778,8;3240704,79739185
"KP";66,4278609102649;66,4278609102649;48;2357812,25;3313631,49852423
