"";"MORc(Top3_3rd, RCA = F)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AD";100;100;2;2347586;866327,113471029
"AE";87,4547431128088;87,4547431128088;227;2015015,44933921;838038,925805228
"AM";83,5994149588326;83,5994149588326;75;1881086,93333333;823101,164628728
"AN";53,2023155072079;53,2023155072079;6;710431,833333333;682748,230727647
"AO";100;100;1;2347586;866327,113471029
"AR";82,1360958405707;82,1360958405707;360;1834363,56944444;818240,435381243
"AT";57,987359991866;57,987359991866;4479;1186013,05402992;762178,464321417
"AU";55,4492915642408;55,4492915642408;12850;1464359,99416342;824485,506048611
"AZ";54,1872841352554;54,1872841352554;9;1281156,55555556;792165,038581072
"BA";100;100;7;2347586;866327,113471029
"BB";93,7603087342944;93,7603087342944;9;2129298,77777778;841849,929105245
"BD";65,2059378309536;65,2059378309536;125;1632308,28;828633,842312086
"BE";73,4452693536069;73,4452693536069;4531;1739938,4696535;825405,598065135
"BG";86,4035085902704;86,4035085902704;406;1974957,65024631;833269,174151962
"BH";100;100;8;2347586;866327,113471029
"BM";100;100;4;2347586;866327,113471029
"BN";0;0;7;458021;790703,994995863
"BR";51,442850602654;51,442850602654;4551;1354828,57965282;814797,549975842
"BS";100;100;12;2347586;866327,113471029
"BT";100;100;1;2347586;866327,113471029
"BY";32,5605713415414;32,5605713415414;215;766518,720930233;754948,906728064
"BZ";100;100;3;2347586;866327,113471029
"CA";85,8605911806613;85,8605911806613;41315;1987825,47597725;837410,592356651
"CF";0;0;1;458021;790703,994995863
"CG";43,8427786086495;43,8427786086495;1;383001;646032,454178971
"CH";63,2963730387405;63,2963730387405;7392;1482082,13230519;804722,968117719
"CL";30,9001578754914;30,9001578754914;176;990566,738636364;803967,861561712
"CN";81,5842777679896;81,5842777679896;1405082;1933552,36497728;839398,707921644
"CO";51,0871839939982;51,0871839939982;58;1329885,39655172;810941,839029107
"CR";91,8413909831762;91,8413909831762;137;2120883,37226277;845879,253291551
"CS";68,8015436714719;68,8015436714719;9;1256149,88888889;743941,191642108
"CU";64,6142595362165;64,6142595362165;6;1377796,83333333;780291,707294482
"CV";100;100;1;2347586;866327,113471029
"CW";100;100;1;2347586;866327,113471029
"CY";84,9603402377938;84,9603402377938;49;1952774,36734694;833178,941437294
"CZ";53,480355243751;53,480355243751;1791;1389369,48967058;815559,115272898
"DD";0;0;1;458021;790703,994995863
"DE";68,1469194922429;68,1469194922429;69598;1571430,22576798;807937,188124215
"DJ";0;0;1;458021;790703,994995863
"DK";67,6179503974257;67,6179503974257;2966;1617214,86210384;818516,265064696
"DM";100;100;2;2347586;866327,113471029
"DO";100;100;2;2347586;866327,113471029
"DZ";47,9475928695498;47,9475928695498;3;1062869,33333333;767687,854215288
"EC";71,5380865120722;71,5380865120722;9;1709395,44444444;825044,791666319
"EE";73,330042349747;73,330042349747;407;1805903,24815725;838730,804043495
"EG";79,1593406478305;79,1593406478305;251;1701827,85258964;800973,62067971
"ES";55,0621558305228;55,0621558305228;7990;1411163,43116395;815161,949265826
"ET";78,5714285714286;78,5714285714286;14;1942679,21428571;850122,159512065
"FI";91,8679839095346;91,8679839095346;17585;2135922,07023031;848760,512808706
"FJ";100;100;1;2347586;866327,113471029
"FO";100;100;1;2347586;866327,113471029
"FR";70,7679283863853;70,7679283863853;39900;1663353,86754386;818264,433544237
