"";"MORc(Top4_3rd, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AD";39,5292240016007;39,5292240016007;2;108,5;2,10705061983471
"AE";26,3528160010671;26,3528160010671;3;113,666666666667;1,99878643472852
"AF";26,5451443703231;26,5451443703231;2;110;1,96925403225806
"AG";12,9840796312776;12,9840796312776;2;122,5;1,92005465209278
"AI";100;100;1;59;1,94915254237288
"AL";12,9840796312776;12,9840796312776;2;122,5;1,92005465209278
"AM";0;0;1;124;1,78225806451613
"AN";76,5451443703231;76,5451443703231;2;77,5;2,05270127118644
"AO";25,9681592625553;25,9681592625553;1;121;2,05785123966942
"AP";26,5451443703231;26,5451443703231;2;110;1,96925403225806
"AR";12,9840796312776;12,9840796312776;2;122,5;1,92005465209278
"AT";76,5451443703231;76,5451443703231;2;77,5;2,05270127118644
"AU";26,3528160010671;26,3528160010671;3;113,666666666667;1,99878643472852
"AW";39,5292240016007;39,5292240016007;2;108,5;2,10705061983471
"AZ";53,0902887406461;53,0902887406461;1;96;2,15625
"BA";39,5292240016007;39,5292240016007;2;108,5;2,10705061983471
"BB";12,9840796312776;12,9840796312776;2;122,5;1,92005465209278
"BC";0;0;1;124;1,78225806451613
"BD";12,9840796312776;12,9840796312776;2;122,5;1,92005465209278
"BE";12,9840796312776;12,9840796312776;2;122,5;1,92005465209278
"BF";12,9840796312776;12,9840796312776;2;122,5;1,92005465209278
"BG";0;0;1;124;1,78225806451613
"BH";39,5292240016007;39,5292240016007;2;108,5;2,10705061983471
"BJ";25,9681592625553;25,9681592625553;1;121;2,05785123966942
"BM";25,9681592625553;25,9681592625553;1;121;2,05785123966942
"BN";39,5292240016007;39,5292240016007;2;108,5;2,10705061983471
"BO";12,9840796312776;12,9840796312776;2;122,5;1,92005465209278
"BR";59,6861493344005;59,6861493344005;3;92;2,05441792734743
"BS";39,5292240016007;39,5292240016007;2;108,5;2,10705061983471
"BW";39,5292240016007;39,5292240016007;2;108,5;2,10705061983471
"BY";100;100;1;59;1,94915254237288
"BZ";26,3528160010671;26,3528160010671;3;113,666666666667;1,99878643472852
"CA";12,9840796312776;12,9840796312776;2;122,5;1,92005465209278
"CD";25,9681592625553;25,9681592625553;1;121;2,05785123966942
"CG";25,9681592625553;25,9681592625553;1;121;2,05785123966942
"CH";100;100;1;59;1,94915254237288
"CI";59,6861493344005;59,6861493344005;3;92;2,05441792734743
"CL";59,6861493344005;59,6861493344005;3;92;2,05441792734743
"CM";12,9840796312776;12,9840796312776;2;122,5;1,92005465209278
"CN";76,5451443703231;76,5451443703231;2;77,5;2,05270127118644
"CO";59,6861493344005;59,6861493344005;3;92;2,05441792734743
"CR";12,9840796312776;12,9840796312776;2;122,5;1,92005465209278
"CS";26,3528160010671;26,3528160010671;3;113,666666666667;1,99878643472852
"CT";53,0902887406461;53,0902887406461;1;96;2,15625
"CU";76,5451443703231;76,5451443703231;2;77,5;2,05270127118644
"CV";0;0;1;124;1,78225806451613
"CW";25,9681592625553;25,9681592625553;1;121;2,05785123966942
"CY";26,3528160010671;26,3528160010671;3;113,666666666667;1,99878643472852
"CZ";76,5451443703231;76,5451443703231;2;77,5;2,05270127118644
"DD";50;50;2;91,5;1,86570530344451
"DE";76,5451443703231;76,5451443703231;2;77,5;2,05270127118644
"DJ";100;100;1;59;1,94915254237288
"DK";76,5451443703231;76,5451443703231;2;77,5;2,05270127118644
"DM";12,9840796312776;12,9840796312776;2;122,5;1,92005465209278
"DO";12,9840796312776;12,9840796312776;2;122,5;1,92005465209278
"DZ";50;50;2;91,5;1,86570530344451
"EC";26,3528160010671;26,3528160010671;3;113,666666666667;1,99878643472852
"EE";39,5292240016007;39,5292240016007;2;108,5;2,10705061983471
"EG";0;0;1;124;1,78225806451613
"EP";39,5292240016007;39,5292240016007;2;108,5;2,10705061983471
"ES";76,5451443703231;76,5451443703231;2;77,5;2,05270127118644
"ET";12,9840796312776;12,9840796312776;2;122,5;1,92005465209278
"FI";0;0;1;124;1,78225806451613
"FJ";50;50;2;91,5;1,86570530344451
"FL";50;50;2;91,5;1,86570530344451
"FO";50;50;2;91,5;1,86570530344451
"FR";50;50;2;91,5;1,86570530344451
"GA";39,5292240016007;39,5292240016007;2;108,5;2,10705061983471
"GB";12,9840796312776;12,9840796312776;2;122,5;1,92005465209278
"GD";76,5451443703231;76,5451443703231;2;77,5;2,05270127118644
"GE";12,9840796312776;12,9840796312776;2;122,5;1,92005465209278
"GF";12,9840796312776;12,9840796312776;2;122,5;1,92005465209278
"GH";39,5292240016007;39,5292240016007;2;108,5;2,10705061983471
"GI";39,5292240016007;39,5292240016007;2;108,5;2,10705061983471
"GL";0;0;1;124;1,78225806451613
"GM";0;0;1;124;1,78225806451613
"GN";0;0;1;124;1,78225806451613
"GQ";12,9840796312776;12,9840796312776;2;122,5;1,92005465209278
"GR";39,5292240016007;39,5292240016007;2;108,5;2,10705061983471
"GT";25,9681592625553;25,9681592625553;1;121;2,05785123966942
"HA";0;0;1;124;1,78225806451613
"HK";26,5451443703231;26,5451443703231;2;110;1,96925403225806
"HN";12,9840796312776;12,9840796312776;2;122,5;1,92005465209278
