"";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"Step"
"AD";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73,493672194827;0;0;0;78,1414485517298;0;0;0;239,999377312777;0;0;0;93,0707258188016;64,8079387094921;92,0539056608359;0;"NoStep"
"AE";0;0;0;0;0;0;0;0;0;51,859418166226;0;100;0;0;0;0;0;0;0;0;28,286880806866;0;0;0;0;0;22,1687582116431;0;58,8424262650048;0;0;0;0;0;135,036838530223;"NoStep"
"AG";79,9997924375922;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78,1414485517298;0;0;0;"NoStep"
"AI";0;0;0;0;0;0;0;0;0;0;0;0;0;58,8392135941667;34,7543669754954;91,9238445229194;0;0;0;0;0;0;0;0;0;0;0;0;0;30,3766215260108;0;0;0;0;11,0843791058215;"NoStep"
"AL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;92,0539056608359;0;212,198215215847;0;0;0;0;0;0;0;0;0;0;0;0;147,433250485952;0;0;0;0;8,01660918631344;"NoStep"
"AM";88,7558367422767;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"AN";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59,8967442550893;0;0;0;0;0;0;61,3692704405572;55,2069585475427;0;0;0;0;0;51,859418166226;0;100;0;0;0;"NoStep"
"AR";1700;326,471976245136;426,947673224289;12,2964524352056;290,053121424603;0;0;51,083706519965;710,046693938214;622,311377751052;60,7532430520217;72,149482676821;1837,34180487068;628,399398798939;575,959404192749;199,518823904788;468,848691310379;529,581836385043;936,258993551844;838,55441957125;399,998962187961;0;1421,88937624135;135,036838530223;2233,69741965124;518,463509675937;981,908327048916;717,690461118056;3324,43870504828;1117,94505828917;695,087339509909;2941,56302473342;257,940819280452;1296,48545415565;1452,25164483939;"NoStep"
"AS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93,0707258188016;0;0;0;0;0;0;"NoStep"
"AT";75081,4636246581;40459,1263678216;22064,7050978125;1946,24455062774;25279,0572438028;1558,3924498194;363,015927163582;4674,4349818268;51700;30065,1010851202;7862,95298188066;3762,71444517291;59847,6273872764;0;32533,6039405668;26384,7344175619;82542,9281703173;6873,71203606844;37484,7509630974;15167,424580505;42479,34252861;0;52678,1331988599;7537,37779195865;65795,0996805565;95501,2578281028;79365,954684164;51451,3033151217;123119,680561454;33607,5232078767;74132,1415704011;18483,1672738242;139792,23017984;30783,7708870088;64683,2110443473;"NoStep"
