"";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"Step"
"AD";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49,1310434612033;0;0;0;58,8397598817841;0;0;0;176,501299100514;0;0;0;0;35,5779890671678;136,095749633725;0;"NoStep"
"AE";0;0;0;0;0;0;0;0;0;10,7514047812193;0;30,6716925419828;0;0;0;0;0;0;0;0;45,3652498779085;0;0;0;0;0;156,355332903467;0;30,3723574250191;0;0;0;0;0;442,01244502998;"NoStep"
"AG";79,9899611938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,7514047812193;0;0;0;"NoStep"
"AI";0;0;0;0;0;0;0;0;0;0;0;0;0;73,5248519318857;28,2891829932084;49,1310434612033;0;0;0;0;0;0;0;0;0;0;0;0;0;45,3652498779085;0;0;0;0;60,0407833873069;"NoStep"
"AI_pat";808,773371250742;339,470195918501;1080,88295614647;233,561750089364;4600;6891,65046476156;5883,97598817841;1870,97324506095;271,204810638656;12158,4741014576;764,838962768894;6510,03748033777;64,1037765662755;0;0;0;136,095749633725;0;0;777,388156308635;0;0;938,131997420802;120,816666369728;516,330076225325;510,665893710758;3045,65003818133;0;1036,9644897874;451,693804865266;221,00622251499;2139,93605689766;0;0;110,924886563754;"NoStep"
"AL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;89,001920902902;0;104,237031891984;0;0;0;0;0;0;0;0;0;0;0;117,679519763568;92,0150776259485;0;0;0;0;8,01297207078443;"NoStep"
"AM";98,2467754252043;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"AN";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64,782346359053;0;0;0;0;0;0;196,493550850409;29,667306967634;0;0;0;0;0;71,9926396300651;0;73,5248519318857;0;0;0;"NoStep"
"AR";1562,22997844431;777,803153643329;777,388156308635;64,6111330240014;180,122350161921;234,532999355201;0;60,7447148500382;204,266357484303;2161,42905935449;59,334613935268;466,634020404329;868,641932433204;1436,54044634744;1209,52907563781;658,925210321111;431,955837780391;99,832397907379;955,823075114514;396,048561904918;245,655217306016;0;2200;86,0112382497543;1412,15423716282;245,373540335863;542,409621277311;1039,8694955194;2765,18701924138;841,43341582597;160,259441415689;2853,3185227687;0;889,449726679196;1451,68799609307;"NoStep"
"AS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,1633332739455;0;0;0;0;0;0;"NoStep"
"AT";23052,4089042857;45754,2578028536;22062,6623875642;2480,01427822391;2203,56731946572;12839,9333524592;0;3664,53287391829;23453,8341868787;93090,5275390636;15626,7724504705;19823,3979858702;39994,2913418568;96365,4573366275;51753,6151910476;24960,7232719857;28246,2924052678;6204,5906085857;121236,520874702;56130,5447827635;29968,2737548558;0;65694,0996425809;63267,6747256699;30823,0570605764;116844,054119596;12223,9224993257;63157,8478094898;43537,0526265477;45102,2978973846;14099,7540711843;109400;16148,6099813914;27948,8859438475;64655,9278784998;"NoStep"
"AU";157366,893258131;90373,382418204;20997,9366150587;4161,01296722762;9702,65198050439;64941,11855606;979,021129931922;12236,1809794913;38880,4128957102;148626,684641331;61499,9014612761;47113,1525379594;158167,829267253;42706,0813270455;101243,721110207;65291,434348325;78020,0970163908;14726,6829793189;330400;31748,8983189405;87435,8831843312;0;59359,9529285357;89268,7966922808;244395,465487845;126967,873851213;15368,8804317645;132500,978901072;0;80014,8974120604;164811,952806442;359680,47856653;244795,865264837;131119,469030723;413123,584555465;"NoStep"
"AZ";0;0;0;0;0;0;0;0;0;16,950300664916;0;0;0;16,0259441415689;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"BA";8,01297207078443;89,166203836522;0;0;0;0;0;64,782346359053;0;0;0;24,1633332739455;0;0;0;0;51,8482244893698;0;0;186,08139625197;512,497385805308;0;0;147,049703863771;0;49,1310434612033;12,2927236889139;0;10,7514047812193;0;0;0;0;58,833766366838;44,2859692539984;"NoStep"
"BB";25,5332946855379;98,2467754252043;0;0;0;0;0;0;0;11,0924886563754;0;0;0;0;100;10,7514047812193;0;0;33,900601329832;0;0;0;0;0;0;35,5779890671678;0;183,791762169918;70,709377603939;0;129,222266048003;60,0407833873069;156,355332903467;0;0;"NoStep"
"BD";0;0;0;0;30,6716925419828;0;0;0;0;0;0;0;0;0;0;0;0;0;120,081566774614;0;0;0;0;0;0;0;0;0;93,0406981259851;0;0;0;147,049703863771;0;0;"NoStep"
"BE";29169,8556714952;23157,7620334097;26657,435356685;5830,41117231477;8011,78049497617;7385,01635663874;78,1776664517335;1884,73999536775;19772,4046836874;12230,4481543726;27017,8632419312;5518,11909597992;15606,3155713003;75676,0851535807;32874,6755991048;97320,5702397804;30786,4501044474;20589,8949341986;14797,3798676048;114478,194457946;21726,0925387841;0;11395,3548596232;37700;5827,26139142085;42423,4668747664;11256,5111629077;8865,00724775105;91908,4654116762;23004,0026494336;18467,2491789173;3710,00606877319;25323,2018895722;0;24548,8124563458;"NoStep"
"BG";126092,062912004;61108,2205253948;47543,7967423784;3660,69561289506;61985,6627214861;17137,8949741001;0;12447,2405170117;30756,0332067132;48322,6968211206;42700;14428,3852163963;68901,3588215692;106400,101428138;22001,4902630609;176777,814238298;250337,675890896;120546,408309384;24992,4598887766;544805,505441149;0;0;137139,150380917;58537,676251119;127206,170309486;263728,932027705;45809,293314017;92642,9287666145;224604,43571583;19644,7899517177;38329,9150703741;20707,5019899712;10807,1452967725;12905,2785309208;90475,1517339504;"NoStep"
"BH";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25,5332946855379;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"BI";64,6111330240014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"BJ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91,8958810849591;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"BM";221,429846269992;16,0259441415689;89,166203836522;0;0;0;0;0;0;0;60,0407833873069;0;48,3266665478911;455,585361375287;25,5332946855379;687,72742797643;29,667306967634;0;34,7456772973282;0;186,08139625197;0;575,941117040521;0;73,5248519318857;0;0;172,098131644795;200;0;235,359039527136;122,686770167931;33,900601329832;319,9598447752;294,16883183419;"NoStep"
"BN";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,1633332739455;"NoStep"
"BO";147,39313038361;0;0;0;0;0;0;79,9899611938;0;88,5719385079968;0;89,166203836522;0;0;0;183,791762169918;0;64,782346359053;0;120,081566774614;0;0;121,489429700076;25,5332946855379;0;0;155,54467346811;0;221,00622251499;186,08139625197;73,2139122579012;143,98527926013;22,1849773127509;0;28,2891829932084;"NoStep"
"BR";80335,0993136649;39422,4021439025;94928,4451607628;4737,52829946391;14316,8985453507;32822,4555761927;1080,73410097152;7505,05597936642;9689,49664285216;39180,3410782747;2093,73016421411;120450,5466713;39546,5201878561;34116,1317140054;7227,10087784426;5525,15556287476;47915,9595348823;15924,0259160935;107413,018328057;17282,0973266329;44188,4360110633;0;86765,422752485;5580,89655476692;239200;20330,9064412857;112442,781134089;38983,7212208602;50308,4923734706;89668,7464982498;138141,683429336;120413,550401622;26066,1981462618;196165,648440348;0;"NoStep"
