"";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"Step"
"AD";166,498945318035;63,3648035314742;0;0;0;41,9931859106594;0;0;0;137,809605607596;0;0;419,931859106594;142,974906331463;83,2494726590174;63,3648035314742;0;81,3349567922239;0;41,9931859106594;0;0;63,3648035314742;0;0;0;0;142,974906331463;582,746308613122;0;68,9048028037979;894,684524714463;0;0;285,949812662926;"NoStep"
"AE";95,4469552679121;479,573093385378;262,058368291396;255,528785400941;71,9610461119678;290,408500527869;308,122432880541;477,23477633956;59,9466366731722;982,718881092734;447,175374451646;719,610461119678;290,408500527869;539,214257540946;477,23477633956;419,626456712205;0;0;503,727322783775;290,408500527869;0;0;299,733183365861;327,572960364245;255,528785400941;143,922092223936;580,817001055738;154,06121644027;668,128686875385;119,893273346344;327,572960364245;638,821963502352;359,805230559839;435,612750791804;2542,01007126446;"NoStep"
"AF";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96,567610108054;"NoStep"
"AG";218,248057338028;0;0;0;0;82,6742564885598;0;0;0;61,2829059369517;0;196,041726286074;0;0;54,5620143345069;63,7279329564988;0;70,1317983927832;0;0;0;0;63,7279329564988;0;70,1317983927832;0;27,5580854961866;0;0;0;0;0;196,041726286074;0;0;"NoStep"
"AI";0;0;0;0;0;0;129,876799030055;0;0;0;0;0;11,7669397743411;0;72,7325146800833;0;0;0;0;11,7669397743411;0;0;0;158,198682390466;0;0;0;0;72,7325146800833;0;0;73,3410106090404;0;11,7669397743411;129,876799030055;"NoStep"
"AI_pat";36816,0383803518;59523,3729511974;61844,0482467188;36312,8310776015;20659,0790252249;0;20996,5929553297;17014,0138534441;43705,9731459841;141430,24148225;23289,8233476837;268080,01758717;0;293,952301374616;8578,49437988779;1748,23892583936;1330,66087416096;1102,47684486077;6669,46645696236;0;1469,76150687308;357,437265828658;12570,6703715116;15144,1880440223;28250,9691495571;36194,0557725397;0;3695,40036013803;18157,8131040958;40542,4931849414;14954,0936334279;49818,1724271459;10898,884210158;0;6026,02217817963;"NoStep"
"AL";154,06121644027;190,893910535824;0;0;0;0;0;0;0;59,9466366731722;0;0;71,9610461119678;145,204250263935;0;190,893910535824;59,9466366731722;0;0;0;0;0;190,893910535824;179,839910019517;0;0;71,9610461119678;0;77,0306082201352;0;59,9466366731722;131,029184145698;191,646589050706;71,9610461119678;0;"NoStep"
"AM";482,83805054027;76,3707593265285;648,573328502875;668,051342404978;0;520,948678865975;0;772,540880864432;305,483037306114;1880,86265265834;417,532089003111;303,718755706412;325,592924291234;333,309156492843;2993,59591334967;2367,49353912238;259,42933140115;2254,6732806168;101,239585235471;195,355754574741;358,948322376908;0;1221,93214922446;0;167,012835601245;809,916681883766;130,237169716494;51,2783317681297;1545,08176172886;1145,56138989793;129,714665700575;0;404,958340941883;21,706194952749;897,37080594227;"NoStep"
"AN";1100;54,5620143345069;127,455865912998;122,565811873903;0;49,0104315715186;0;100;218,248057338028;828,463128434484;0;561,054387142265;588,125178858223;82,6742564885598;900;818,430215017603;382,367597738993;0;210,395395178349;147,031294714556;27,5580854961866;0;163,686043003521;127,455865912998;122,565811873903;70,1317983927832;245,052157857593;82,6742564885598;1000;327,372086007041;382,367597738993;183,848717810855;0;245,052157857593;413,371282442799;"NoStep"
"AO";64,9383995150276;0;0;0;0;0;0;0;0;62,0466736712455;0;0;0;23,5338795486821;64,9383995150276;0;0;0;146,682021218081;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23,5338795486821;"NoStep"
"AP";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71,4874531657316;0;0;0;0;0;20,9965929553297;0;0;0;0;0;0;"NoStep"
"AR";4065,71900739017;2079,82642194365;1813,49215009033;1258,87937013662;720,660512801338;2683,05224670988;575,688368895742;580,817001055738;847,336690421487;3722,43125544857;2038,18564688785;2948,1566432782;14181,8475897522;6116,68891951726;7623,22313885656;19873,8969207949;2195,27997116198;4316,1578404684;4061,90470851663;1980,34808685729;3382,16916726249;72,6021251319673;5084,02014252892;1145,36346321494;6893,8632174148;1899,92317011262;4152,34276276529;1727,06510668723;7986,2337645164;4544,80588498798;9067,46075045165;6294,39685068308;5110,13818168221;3513,52079926294;5684,92264284546;"NoStep"
"AS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83,5064178006223;0;0;0;0;0;0;0;0;0;"NoStep"
"AT";82922,2792580255;78000;63564,7466997005;51109,802231112;42959,3170618031;69851,271199212;5685,21006229615;24636,9284335908;58800;119545,373406905;47541,0379855481;50680,963209859;100007,944508109;93217,8408490283;64127,6649496262;255100;111524,757299732;21540,0413392966;85367,0879701737;208782,363815315;60233,8204013963;358,255111450426;202400;64055,8048287111;93743,7893790097;134025,715284113;140053,201390388;98805,0300481814;74489,5050961924;113800;113488,989815774;154795,149151335;99400,8734297356;60243,2148194007;146051,086083125;"NoStep"
"AU";35030,1797082133;189490,249784851;247363,282426963;113359,272797366;39707,869280007;364064,776663277;45157,8271663154;5036,25022341797;108187,373592036;269037,571801628;138798,409002576;238642,712386018;505026,199053852;286199,385447872;89005,1324531158;561132,710209354;117390,278693655;105231,158546432;241252,990645461;173011,444026726;104902,03213414;894,28742284992;224946,615920056;111280,747460528;294721,699938416;190866,710304097;108398,013680162;237111,89485558;67954,0771968196;114746,151943054;241835,611311277;250854,701652846;374693,579241819;260287,246651484;551018,737679834;"NoStep"
"AW";0;0;0;0;0;68,9048028037979;0;0;20,9965929553297;0;0;190,094410594423;0;0;0;0;0;0;0;137,809605607596;0;0;0;0;0;0;68,9048028037979;0;0;0;0;166,498945318035;253,459214125897;0;0;"NoStep"
"AZ";4749,42904338988;943,827626715575;462,183649320811;0;659,413003404894;196,543776218547;0;1367,25987612739;580,817001055738;9705,85663573704;763,575642143297;899,199550097583;5568,74032619216;1405,40831970517;791,571507231646;3121,89138067459;3543,40797812622;8781,11988464791;5095,46411721964;11137,4806523843;3577,40299561317;0;3847,91263199427;4775,89770964838;2672,51474750154;6234,45021400991;8647,92615361606;127,76439270047;14032,4039918337;3557,5041314664;2002,79581372352;6681,28686875384;479,573093385378;262,058368291396;12904,2036627475;"NoStep"
"BA";0;25,6391658840649;0;0;0;0;0;0;0;96,567610108054;0;64,8573328502875;83,5064178006223;0;0;0;96,567610108054;0;0;0;0;0;25,6391658840649;0;0;0;250,519253401867;0;0;102,556663536259;579,405660648324;152,741518653057;259,42933140115;0;50,6197926177354;"NoStep"
"BB";49,0104315715186;27,5580854961866;0;54,5620143345069;63,7279329564988;122,565811873903;70,1317983927832;49,0104315715186;82,6742564885598;0;0;63,7279329564988;183,848717810855;0;147,031294714556;0;0;0;254,911731825995;245,131623747807;70,1317983927832;0;27,5580854961866;0;491,058129010562;0;0;350,658991963916;196,041726286074;55,1161709923732;0;54,5620143345069;254,911731825995;0;70,1317983927832;"NoStep"
"BD";0;23,5338795486821;259,753598060111;290,930058720333;0;395,496705976165;0;66,6044648470729;0;0;72,7325146800833;0;79,099341195233;73,3410106090404;133,208929694146;0;0;0;62,0466736712455;79,099341195233;0;0;0;64,9383995150276;0;0;0;0;66,6044648470729;11,7669397743411;0;145,465029360167;62,0466736712455;0;146,682021218081;"NoStep"
"BE";126638,527725493;0;34266,4397030981;97937,8108370522;24641,8439070691;85922,673588679;7303,90909720258;105166,099132346;0;27358,5606207946;73989,5140265322;31301,8017197905;76481,3178624893;221322,226605799;241158,146888944;0;66076,2780304226;55974,6758287678;384862,312102637;99862,9303656033;115346,639893558;3904,07792602675;0;18057,0699415836;113021,663455022;62770,1023848991;55761,0271076973;229315,183731039;207566,809733755;0;19148,8927752607;106301,842857443;48784,1909781842;43088,0664014024;84477,2882374562;"NoStep"
"BF";0;0;0;0;0;0;0;0;215,883138335903;0;0;0;0;393,087552437093;0;287,844184447871;72,6021251319673;0;286,340865803736;0;0;0;0;0;0;0;0;0;0;0;0;77,0306082201352;0;0;65,5145920728489;"NoStep"
"BG";51885,2874331788;5296,31156847075;6589,26563220467;4828,3805054027;11379,2431396528;25553,7891430133;584,544924604356;8453,50536716181;2886,92392871561;23306,001788615;11781,2484331826;25431,462855734;36774,107726113;130520,531022373;36749,9694404759;35750,1030871775;16768,0144881784;126117,298801119;81640,341720059;98583,1459324371;37076,8495034763;101,239585235471;19470,4568726158;10819,7280030754;39496,1525341941;58652,7431627739;31131,519768138;26221,0151893954;68083,6210708541;9268,54524482381;11563,2638137133;47511,2641731626;16572,4547738567;9469,17059614198;66471,1085692953;"NoStep"
"BH";70,1317983927832;98,0208631430371;55,1161709923732;200;109,124028669014;191,183798869496;245,131623747807;0;49,0104315715186;0;0;272,810071672534;127,455865912998;0;70,1317983927832;49,0104315715186;27,5580854961866;0;0;0;122,565811873903;0;98,0208631430371;27,5580854961866;0;0;0;0;70,1317983927832;98,0208631430371;0;300;0;0;122,565811873903;"NoStep"
"BI";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64,9383995150276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"BJ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;325,339827168896;0;62,9897788659891;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"BM";65,5145920728489;63,8821963502352;287,844184447871;72,6021251319673;0;763,575642143297;419,626456712205;0;63,8821963502352;71,9610461119678;0;77,0306082201352;477,23477633956;179,839910019517;196,543776218547;1341,52612335494;0;0;0;0;0;0;63,8821963502352;0;145,204250263935;77,0306082201352;0;0;0;191,646589050706;71,9610461119678;145,204250263935;462,183649320811;954,469552679121;539,51973005855;"NoStep"
"BN";0;0;0;0;0;0;0;0;0;0;0;96,567610108054;0;0;0;50,6197926177354;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;129,714665700575;"NoStep"
"BO";0;0;49,0104315715186;27,5580854961866;0;0;0;61,2829059369517;140,263596785566;147,031294714556;0;0;163,686043003521;318,639664782494;61,2829059369517;140,263596785566;49,0104315715186;27,5580854961866;400;327,372086007041;191,183798869496;0;0;0;27,5580854961866;200;109,124028669014;0;245,131623747807;0;98,0208631430371;0;200;54,5620143345069;318,639664782494;"NoStep"
"BR";200595,929271111;94023,1756007898;75063,2318826512;2624,02756967806;12013,6039102801;63422,7528010327;9307,00105068683;4745,96047171398;31243,2705194512;115558,746509671;3871,32318575821;122408,883085827;202487,320869352;87175,5765080999;88037,5667502943;168537,642379575;41094,954810644;12955,4006915495;111564,170366817;107935,051785244;43122,4382015156;237,298023585699;131573,773032618;67670,1362846261;37148,2288675947;110460,217575062;122408,82220658;72222,3281533298;266406,581145545;90502,8070915558;154855,380769445;45290,9511914387;244622,950973109;202269,123325312;259417,142619477;"NoStep"
