"";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"Step"
"AD";0;0;0;0;0;0;0;0;0;0;0;0;81,6229713506478;86,8258527736064;0;0;0;21,5520388857399;0;0;0;0;0;0;0;0;0;92,9008355122955;0;0;0;85,6262306696571;91,2592306766025;0;56,1991105650598;"NoStep"
"AE";0;0;0;0;0;0;59,3989329816729;0;0;88,4832613542036;72,1063575497629;3,51549327413588;0;94,0551510025601;92,9330694116343;83,580455210885;0;0;81,6229713506478;0;0;0;0;21,5520388857399;0;0;83,8112908602256;0;0;0;0;89,0953497766868;90,7844368030936;92,9008355122955;0;"NoStep"
"AF";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,1913778753778;"NoStep"
"AG";21,5520388857399;0;0;0;0;24,1913778753778;0;0;0;90,7844368030936;0;0;0;0;85,6262306696571;91,2592306766025;0;56,1991105650598;0;0;0;0;72,1063575497629;0;91,7702404827102;0;92,9330694116343;0;0;0;0;0;63,4117455917281;0;0;"NoStep"
"AI";0;0;0;0;0;0;21,5520388857399;0;0;0;0;0;22,6781152678547;0;89,0953497766868;0;0;0;0;100;0;0;0;56,1991105650598;0;0;0;0;72,1063575497629;0;0;94,0551510025601;0;83,580455210885;80,6345221765397;"NoStep"
"AL";3,51549327413588;91,7702404827102;0;0;0;0;0;0;0;0;0;0;21,5520388857399;80,2036435790853;0;83,8112908602256;80,5598847598877;0;0;0;0;0;92,9008355122955;0;0;0;85,6262306696571;0;80,7345297673591;0;59,3989329816729;87,3320987273333;92,812327706541;88,4832613542036;0;"NoStep"
"AM";0;0;0;92,812327706541;0;72,1063575497629;0;0;0;92,9330694116343;83,580455210885;0;28,4040920541798;81,6229713506478;86,8258527736064;63,4117455917281;0;75,9276997336834;0;0;92,3888540073586;0;80,5598847598877;0;0;78,6399910946171;0;0;92,9008355122955;0;0;0;85,6262306696571;0;80,7345297673591;"NoStep"
"AN";0;0;0;0;0;0;0;0;0;92,812327706541;0;72,1063575497629;3,51549327413588;0;94,0551510025601;92,9330694116343;83,580455210885;0;0;0;0;0;0;0;0;0;92,3888540073586;0;80,5598847598877;24,1913778753778;22,6781152678547;0;0;90,7844368030936;92,9008355122955;"NoStep"
"AO";24,1913778753778;0;0;0;0;0;0;0;0;85,6262306696571;0;0;0;59,3989329816729;87,3320987273333;0;0;0;3,51549327413588;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80,5598847598877;"NoStep"
"AP";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88,4832613542036;0;0;0;0;0;83,580455210885;0;0;0;0;0;0;"NoStep"
"AR";0;0;0;0;0;0;0;0;0;0;83,8112908602256;80,5598847598877;24,1913778753778;22,6781152678547;78,6399910946171;89,0953497766868;0;92,9008355122955;0;0;0;0;91,2592306766025;0;56,1991105650598;0;87,3320987273333;0;88,4832613542036;72,1063575497629;3,51549327413588;91,7702404827102;94,0551510025601;92,9330694116343;83,580455210885;"NoStep"
"AS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,5697426012104;0;0;0;0;0;0;0;0;0;"NoStep"
"AT";0;0;0;0;92,812327706541;0;0;0;0;0;92,9330694116343;0;80,6345221765397;28,4040920541798;81,6229713506478;86,8258527736064;63,4117455917281;0;0;21,5520388857399;0;0;83,8112908602256;80,5598847598877;0;22,6781152678547;78,6399910946171;89,0953497766868;90,7844368030936;92,9008355122955;0;16,5697426012104;100;0;91,2592306766025;"NoStep"
