"";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"Step"
"AD";0;0;0;0;0;0;0;0;0;0;0;0;79,1135373503847;0;0;0;0;83,1373017507015;0;0;0;0;0;0;0;0;0;0;60,7217501555409;0;0;83,1373017507015;84,9772735540135;0;0;"NoStep"
"AE";0;0;0;0;0;0;53,798464750803;0;0;91,9272739240228;63,571214522677;84,3301323044371;0;53,798464750803;19,264793507968;79,6105552510968;0;0;84,3301323044371;0;0;0;0;91,9272739240228;0;0;67,8535446658961;0;0;0;0;63,571214522677;84,3301323044371;67,8535446658961;53,798464750803;"NoStep"
"AF";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,43255262932399;"NoStep"
"AG";21,3252163908047;0;0;0;0;92,7379822272674;0;0;0;93,6646941276818;0;91,001717968966;0;0;21,3252163908047;81,474752311014;0;92,3799122074327;0;0;0;0;81,474752311014;0;92,3799122074327;0;92,7379822272674;0;0;0;0;0;91,001717968966;0;0;"NoStep"
"AI";0;0;0;0;0;0;73,5147678599607;0;0;0;0;0;80,1762291852407;0;29,2951462428454;0;0;0;0;80,1762291852407;0;0;0;86,8689058348527;0;0;0;0;29,2951462428454;0;0;85,0468902985186;0;80,1762291852407;73,5147678599607;"NoStep"
"AI_pat";0;0;0;0;0;84,9772735540135;79,1135373503847;0;0;100;90,6518071907085;83,1373017507015;84,9772735540135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"AL";53,798464750803;19,264793507968;0;0;0;0;0;0;0;0;0;0;84,3301323044371;67,8535446658961;0;19,264793507968;79,6105552510968;0;0;0;0;0;19,264793507968;79,6105552510968;0;0;84,3301323044371;0;53,798464750803;0;79,6105552510968;91,9272739240228;63,571214522677;84,3301323044371;0;"NoStep"
"AM";0;0;0;87,6705836550824;0;88,3553280439808;0;0;0;79,5151620585042;87,6705836550824;0;88,3553280439808;79,1763465899818;3,43255262932399;23,1286298792241;0;87,6705836550824;0;0;79,1763465899818;0;23,1286298792241;0;0;92,4373757217774;0;0;3,43255262932399;23,1286298792241;0;0;92,4373757217774;0;79,1763465899818;"NoStep"
"AN";26,4390859782514;0;0;0;0;0;0;0;0;81,474752311014;0;92,3799122074327;91,001717968966;0;26,4390859782514;21,3252163908047;81,474752311014;0;0;0;0;0;0;0;0;0;91,001717968966;0;26,4390859782514;21,3252163908047;81,474752311014;0;0;91,001717968966;92,7379822272674;"NoStep"
"AO";73,5147678599607;0;0;0;0;0;0;0;0;91,0988318735671;0;0;0;80,1762291852407;73,5147678599607;0;0;0;85,0468902985186;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80,1762291852407;"NoStep"
"AP";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79,1135373503847;0;0;0;0;0;0;"NoStep"
