"";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"Step"
"AB";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48,4549707469478;0;0;0;0;"NoStep"
"AD";77,0377380944593;230,898898229709;147,892456445642;100,910029280603;0;187,80609235907;187,06092702366;57,9655783867898;75,599398009105;36,9631051948042;0;311,706643472517;274,264066930983;77,2355012915835;79,1161804159572;235,604752270755;0;429,898585493389;163,506142200869;200;68,8338248641838;0;408,792950874816;76,3727415736405;360,062613629917;0;296,613249053242;154,205560309388;0;16,3493802390298;50,0016510620451;242,274853734739;118,422161761002;123,830670888593;282,356442312884;"NoStep"
"AE";3294,15849365032;770,377380944593;6926,96694689126;13901,8909058903;1210,92035136724;7052,24719463933;5371,2542414694;2151,20066077209;1217,27714612259;13607,8916416389;554,446577922062;5309,48957512989;9351,19930417551;2578,08222915124;3630,06856070442;7120,45623743615;9110,05042113588;1376,08279451052;8597,97170986777;3351,87591511782;10100;619,504423777654;9964,7046280071;6540,68721399706;3360,40062924018;1234,50038958829;3797,97556945946;1334,75962073959;8095,79191624288;0;160,768905683793;4700,15519983224;3246,48304004551;1539,48810289302;12259,2364179707;"NoStep"
"AF";61,9153354442965;0;0;0;0;50,4550146403015;0;0;46,765231755915;0;0;36,9631051948042;40,2234058721961;0;54,8528133861966;0;0;78,5349174235851;44,3897675648556;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"AG";59,211080880501;0;31,3729380347649;0;0;443,677369336925;100,910029280603;0;75,122436943628;46,765231755915;0;0;147,852420779217;0;77,9266608681293;164,55844015859;0;79,1161804159572;157,06983484717;0;0;0;0;0;86,6496054609313;0;0;0;0;0;0;0;8,17469011951488;0;48,4549707469478;"NoStep"
"AI";96,9099414938957;0;0;0;0;0;0;0;0;112,683655415442;0;0;75,599398009105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76,3727415736405;0;0;74,1533122633105;77,1027801546941;0;10,8995868260198;0;"NoStep"
"AL";0;0;88,8166213207514;0;0;12,8396230157432;46,1797796459418;0;0;0;0;0;0;151,19879601821;0;160,893623488785;0;0;77,2355012915835;0;0;0;0;81,7530711004347;100;0;693,19684368745;81,7585901749632;305,490966294562;102,87503246569;316,497964121622;148,306624526621;154,205560309388;0;8,17469011951488;"NoStep"
"AM";65,3975209561191;950,031370178857;193,819882987791;1687,51580509428;804,899360775854;5427,51828001433;64,1981150787161;2170,44964335926;1183,13965156513;605,460175683618;100,173965832945;300,489747774512;841,77417160647;1565,07061644332;1511,9879601821;1108,89315584412;362,010652849765;3039,13977385704;932,497827565342;1699,18102841484;949,394164991486;628,279339388681;1420,47256207538;257,939151296033;327,012284401739;500;550,67059891347;86,6496054609313;735,827311574669;381,863707868203;257,187581164226;63,2995928243243;74,1533122633105;308,411120618777;0;"NoStep"
"AN";0;21,7991736520397;350,011557434316;48,4549707469478;148,027702201252;0;0;89,8773611102025;92,3595592918835;295,784912891283;0;60,104379499767;150,244873887256;93,53046351183;115,93115677358;302,39759203642;36,9631051948042;0;311,706643472517;54,8528133861966;0;0;157,06983484717;355,118140518845;601,858019690744;81,7530711004347;200;68,8338248641838;86,6496054609313;0;76,3727415736405;102,87503246569;569,696335418919;0;231,308340464082;"NoStep"
"AO";308,411120618777;0;2,72489670650496;50,0016510620451;0;0;123,830670888593;0;12,8396230157432;46,1797796459418;0;0;0;37,561218471814;0;0;0;0;120,670217616588;0;54,8528133861966;0;0;78,5349174235851;0;85,9797170986777;163,506142200869;0;0;86,6496054609313;0;76,3727415736405;51,4375162328452;126,599185648649;296,613249053242;"NoStep"
"AP";74,1533122633105;0;0;0;0;48,4549707469478;0;0;0;0;0;73,9462282228208;0;0;0;0;0;0;0;0;0;0;0;0;78,5349174235851;0;0;81,7530711004347;100;0;0;81,7585901749632;0;0;0;"NoStep"
"AR";6203,36009678379;3559,3589886389;16654,2005134139;0;190,742769455347;19100,6307057012;6589,87602158491;355,266485283006;1424,05271521882;5929,48528857057;320,99057539358;3602,02281238346;20704,9439023898;3683,21606874201;3806,61070165191;10592,2636090515;2151,20066077209;7709,42192544304;9071,92776109261;2698,3066792207;2654,74478756495;1168,89991302194;4059,10819057855;2317,0650387475;6724,87533535636;4005,28078860284;2219,48837824278;2235,47264456562;10873,1584563578;2000;7502,88691019603;7451,86606964009;6540,68721399706;4811,48271913935;6789,75214273557;"NoStep"
"AS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78,5349174235851;0;0;0;0;0;0;0;0;"NoStep"
"AT";607697,904701458;108481,721735071;127865,177505135;133327,655449432;140558,368222007;0;1403,32180385005;253058,35602501;48987,9754251643;176419,415483453;53123,3578112064;87373,6324268203;38647,2652773871;58555,9605910542;176583,592996096;127298,001937481;37424,9936351883;20132,8131008923;62571,8800894143;169955,075830068;135096,124242271;11088,9315584412;86480,3226252217;119695,351093447;138777,617867077;227999,199812754;325879,547133328;159661,487122149;174762,514902837;167144,57003983;388572,346940366;540400;133675,287886245;142278,652166849;291142,339613044;"NoStep"
