"";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"Step"
"AB";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44,0987115004397;0;0;0;0;"NoStep"
"AD";71,9931694474373;229,669066755491;147,398826134112;99,4622465457313;0;186,391690039309;186,492681215357;57,8700103488836;75,3857500728799;37,070529564182;0;311,15124576702;272,425729284063;77,2002822139146;78,8515411891664;234,72744381632;0;430,814046601068;163,225148032065;200;68,8583152131603;0;403,652466335465;75,5694513412968;346,40985338648;0;291,600087578437;152,626068842797;0;12,9379045671517;46,5553183926923;220,493557502199;111,578756987325;119,54766122212;270,69228780024;"NoStep"
"AE";3158,0766910028;683,935109750654;6890,07200266472;13781,7902435394;1193,54695854878;6675,48113646031;5330,80233512423;2144,6658339766;1215,27021732656;13418,6635129726;556,05794346273;5265,89138453644;9023,38612724357;2560,8018552702;3628,41326405399;7096,63870702498;9076,12782756439;1362,88926517321;8616,28093202136;3346,11553465733;10100;619,724836918443;9847,99780469414;6458,43946136743;3325,05585901706;1187,6909258965;3695,74329239732;1312,20039410297;8012,86861424683;0;127,222728243658;4376,19992891308;2954,61367052946;1450,52384083522;11775,4446303788;"NoStep"
"AF";59,7738306110601;0;0;0;0;49,7311232728656;0;0;46,6231703038392;0;0;37,070529564182;39,8931165495185;0;54,4851458568127;0;0;78,2424812721068;43,9641698442971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"AG";55,7893784936624;0;30,0769208666933;0;0;442,196478402335;99,4622465457313;0;74,5566760157235;46,6231703038392;0;0;148,282118256728;0;77,7878114417549;163,455437570438;0;78,8515411891664;156,484962544214;0;0;0;0;0;85,6347635190795;0;0;0;0;0;0;0;6,46895228357584;0;44,0987115004397;"NoStep"
"AI";88,1974230008794;0;0;0;0;0;0;0;0;111,835014023585;0;0;75,3857500728799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75,5694513412968;0;0;72,9000218946092;76,3130344213984;0;8,62526971143446;0;"NoStep"
"AI_pat";162245,284598533;112054,825922617;49345,7052776444;519793,230993779;13023,3067352782;1135620,25486388;716751,223530535;20856,9338979768;14173,3701327667;280428,255393389;52077,8381969829;531271,025612247;310877,695594203;6257,01725604903;19424,9574916314;4069,09788805089;1866,90747460212;7246,52439895608;10653,6389455202;38794,9582650699;14005,4041477071;2593,88602081353;26882,7965079067;35746,3074190222;106700;38767,2314650093;68422,1760517445;11140,8080708588;63100,4918699828;39738,1588956205;23775,9485144228;140988,642344174;31669,9092848803;0;1647,42651488398;"NoStep"
"AL";0;0;132,296134501319;0;0;30,0769208666933;11,9988615745729;0;0;0;0;0;0;115,740020697767;0;148,282118256728;0;0;54,4851458568127;0;0;0;0;86,1628093202136;81,6125740160324;0;550,866521705282;85,6347635190795;322,921973068372;151,138902682594;247,435609561772;123,191443079911;145,800043789218;0;0;"NoStep"
"AM";0;40,9700311293137;186,221273570769;2513,62655552506;362,630960208805;10221,3250344913;150,384604333466;563,946494004926;734,94101361757;884,39295680467;248,655616364328;154,793765483138;671,010084141512;1258,82559820366;1157,40020697767;2261,5725021864;333,634766077638;1555,83154543122;1322,39279450983;1198,67320884988;926,403386566975;630,812329513331;2503,75940070742;131,892509532891;344,651237280855;408,062870080162;800;68,8583152131603;770,712871671715;403,652466335465;377,847256706484;49,4871219123543;61,5957215399554;291,600087578437;915,756413056781;"NoStep"
"AN";457,87820652839;0;15,0942219950103;46,5553183926923;220,493557502199;0;0;210,538446066853;23,9977231491458;183,735253404392;0;149,193369818597;77,3968827415688;74,5566760157235;93,2463406076783;231,480041395535;75,3857500728799;0;159,572466198074;77,7878114417549;0;0;157,703082378333;625,939850176855;307,74918891008;86,1628093202136;163,225148032065;100;68,8583152131603;0;80,7304932670929;151,138902682594;445,384097211189;0;218,700065683828;"NoStep"
