"techn_field_nr";"sector";"field_name";"RCA_US";"RCA_CN";"RCA_KR";"RCA_JP";"RCA_AI";"US_Com";"CN_Com";"KR_Com";"JP_Com"
1;"Electrical engineering";"Electrical machinery, apparatus, energy";0,741397408760868;0,685766653713562;0,934787264141542;1,13959915307765;0,227448279949667;0;0;62;72
2;"Electrical engineering";"Audio-visual technology";0,688188419112875;0,380268770401573;1,48349299325803;1,27567987417571;0,363240694674621;0;0;69;79
3;"Electrical engineering";"Telecommunications";1,00444103225195;0,712629371488182;1,88481158902813;1,03808231661244;0,758654891557941;81;0;79;81
4;"Electrical engineering";"Digital communication";1,69530094457296;0,984851529862948;2,08884705880186;0,781655239072429;0,828156359599432;80;80;76;0
5;"Electrical engineering";"Basic communication processes";1,36265812132984;0,392716245582749;1,16978684454829;1,03028937194058;0,703714665017247;76;0;79;76
6;"Electrical engineering";"Computer technology";1,56708947787916;0,899826124747491;1,08143241940419;1,05794821787488;8,58789290520755;84;0;84;0
7;"Electrical engineering";"IT methods for management";1,75127664762218;0,0695859323962138;1,17264695178218;1,06747400603371;3,29468337050863;62;0;0;83
8;"Electrical engineering";"Semiconductors";0,760303377045001;0,35026355104623;2,47415975427423;1,17422154125952;0,160528000100187;0;0;65;83
9;"Instruments";"Optics";0,614791123707043;0,318761513447623;0,819251662105692;1,38888460414118;0,292987643758271;0;0;0;82
10;"Instruments";"Measurement";1,0909013123046;0,721820864306165;0,542656245822283;1,01473272208908;1,66779168749945;76;0;0;0
11;"Instruments";"Analysis of biological materials";1,99928744621505;1,17810343622852;0,298584803506801;0,602949470318656;1,81430501787999;79;79;0;0
12;"Instruments";"Control";1,02826737814042;0,564639577355941;0,686897500134456;1,03949065696983;4,97701909460982;84;0;0;67
13;"Instruments";"Medical technology";2,22594171754139;1,05476360557515;0,391426215240261;0,583300717517203;0,83979453481655;61;61;0;0
14;"Chemistry";"Organic fine chemistry";1,46576347304845;1,83889586707937;0,686880846531424;0,666677426604839;0,00684059322604051;65;65;0;0
15;"Chemistry";"Biotechnology";2,16276324046797;2,94133128480133;0,884781576887789;0,484715464669295;0,2211726265071;81;81;79;0
16;"Chemistry";"Pharmaceuticals";1,8903751087803;6,31646248625744;0,529901829687762;0,362776056814083;0,025233368802356;80;80;0;0
17;"Chemistry";"Macromolecular chemistry, polymers";0,893217009964288;1,10280893077303;0,687334596904137;1,11454753730611;0,020589833621658;0;0;0;76
18;"Chemistry";"Food chemistry";0,691391052506136;6,06633844365419;1,67341396590632;0,64980026908464;0,0206098203846548;0;83;76;0
19;"Chemistry";"Basic materials chemistry ";0,997704045262036;3,48440690437216;0,688019676981441;0,846638907869613;0,0648486986737361;0;75;0;0
20;"Chemistry";"Materials, metallurgy";0,518878144790933;2,311864483958;1,03394301517938;1,05129947402717;0,334860554195545;0;72;83;80
21;"Chemistry";"Surface technology, coating";0,808885275784872;0,910087739150148;0,628267316618931;1,18410515732261;0,0949576074070565;0;0;0;76
22;"Chemistry";"Micro-structural and nano-technology";1,41890280350605;4,01071253038206;1,27698862713863;0,856576243634353;0;81;81;82;0
23;"Chemistry";"Chemical engineering";1,10783003523511;1,17783301154082;0,520032173926767;0,839122000673803;0,187817187655226;84;84;0;0
24;"Chemistry";"Environmental technology";0,717047990942616;1,2796677993957;1,08662034795934;0,992695517542268;0,317426809754643;0;76;81;69
25;"Mechanical engineering";"Handling";0,83778424044336;0,35483409446002;0,423163383371019;1,03915926927092;0,314333860953554;0;0;0;79
26;"Mechanical engineering";"Machine tools";0,812498782002366;0,720724238956466;0,74472653928724;0,977984990633691;0,391690492206869;0;0;0;76
27;"Mechanical engineering";"Engines, pumps, turbines";0,776298221602511;0,717130495246182;0,958511982439965;0,967909431233925;0,470458198053726;0;0;0;0
28;"Mechanical engineering";"Textile and paper machines";0,587513771838777;0,710934053193697;0,604911440518703;1,21139660591794;0,190706691781591;0;0;0;84
29;"Mechanical engineering";"Other special machines";0,956458649116425;0,897011864964569;0,620836869202774;0,924637356672663;0,204285396869156;0;0;0;0
30;"Mechanical engineering";"Thermal processes and apparatus";0,519015081081299;1,16868600829449;1,42392961794817;1,06561256674218;0,787885068231497;0;81;76;65
31;"Mechanical engineering";"Mechanical elements";0,844137733412242;0,510962356267243;0,65928196247744;0,914497427606973;0,166649929553359;0;0;0;0
32;"Mechanical engineering";"Transport";0,912663677869291;0,491785203436893;1,35672633489326;0,806319825131181;0,463681933309643;0;0;81;0
33;"Other fields";"Furniture, games";1,31313216256176;0,577569157892476;0,6827522928211;0,894583951792151;0,133865600706374;76;0;0;0
34;"Other fields";"Other consumer goods";1,10431025482178;1,19232626904652;1,36822780290908;0,850415679438236;0,36965989879751;73;73;76;0
35;"Other fields";"Civil engineering";0,75078837049996;0,864215675080925;0,588432497646364;0,943128554873717;0,144062112619183;0;0;0;75
