"";"techn_field_nr";"sector";"field_name";"RCA_US";"RCA_CN";"RCA_KR";"RCA_JP";"RCA_AI";"US_Com";"CN_Com";"KR_Com";"JP_Com";"Period";"RCA_field";"Category";"Category2"
"1";1;"Electrical engineering";"Electrical machinery, apparatus, energy";0,806130295464133;0,781285306548244;0,885910356664018;1,1268685164478;0,0593492634039308;0;0;0;42;"Period 1 (1974-1988)";12,5070885238694;"Surrounding codes";3
"2";2;"Electrical engineering";"Audio-visual technology";0,52903509458199;0,281205160490934;1,58173657700963;1,34188556343943;0,0853537728458771;0;0;47;58;"Period 1 (1974-1988)";44,3891166946692;"Surrounding codes";3
"3";3;"Electrical engineering";"Telecommunications";0,657727334104245;0,346891200617381;1,40047520647904;1,23098888970641;0,336064398912961;0;0;57;55;"Period 1 (1974-1988)";60,3215130943772;"Surrounding codes";3
"4";4;"Electrical engineering";"Digital communication";0,735668946649889;0,206978925416903;1,30434472270759;1,2444394102031;1,09784934911933;0;0;57;54;"Period 1 (1974-1988)";63,1931240022775;"AI-related codes";2
"5";5;"Electrical engineering";"Basic communication processes";0,874012134211958;0,379387109049058;1,07857025021714;1,19150764942163;1,64528253859531;0;0;57;39;"Period 1 (1974-1988)";65,2628127085389;"AI-related codes";2
"6";6;"Electrical engineering";"Computer technology";0,600834418175826;0,534936673226541;0,946693574054904;1,37177058622865;16,6484957668701;0;0;0;57;"Period 1 (1974-1988)";44,8766161809048;"AI-core codes";1
"7";7;"Electrical engineering";"IT methods for management";0,591447141285045;0;0;1,41556761493347;51,8393474436571;0;0;0;57;"Period 1 (1974-1988)";0;"AI-core codes";1
"8";8;"Electrical engineering";"Semiconductors";0,458281392612495;0,23934842224045;1,01723889338574;1,43702002205115;0,705305357337621;0;0;51;57;"Period 1 (1974-1988)";33,3758417586217;"Other";4
"9";9;"Instruments";"Optics";0,658200651073669;0,421741379009969;0,365702080315072;1,31105156528612;0,194943267799368;0;0;0;33;"Period 1 (1974-1988)";48,9037405146782;"Other";4
"10";10;"Instruments";"Measurement";1,03172318778157;1,23064267920445;0,465779861196229;1,01097595019287;1,26960594640816;46;57;0;57;"Period 1 (1974-1988)";79,6406689312441;"AI-core codes";1
