"Group.1";"Group.2";"dgr";"RCA";"n_neighbors";"weighted_degree";"triangles";"centrality_authority";"centrality_betweenness";"centrality_closeness";"centrality_eigen";"centrality_hub";"centrality_subgraph";"centrality_degree";"centrality_closeness_harmonic";"centrality_closeness_residual";"centrality_betweenness_network"
"CN";"1st";0,702472821064398;1;6,25;0,915173131303737;9,375;0,661426682629478;4,9375;0,0408391883672993;0,661426682629478;0,661426682629478;72,8416188618268;6,25;231,139866167488;15,2394477796787;74,25
"JP";"1st";0,717914579249457;1;7,41176470588235;0,87508893025514;17,8235294117647;0,65038802223334;4,88235294117647;0,0398487991109811;0,65038802223334;0,65038802223334;302,795829106196;7,41176470588235;228,342693584337;16,1271024604636;86,8235294117647
"KR";"1st";0,732833536433524;1;4,71428571428571;0,917638608893921;5,78571428571429;0,543236050272125;6;0,0409697263437499;0,543236050272125;0,543236050272125;17,7034166498776;4,71428571428571;162,351374345586;13,1280846335123;68,7142857142857
"US";"1st";0,694672832448041;1;5,88235294117647;0,904856014073417;8,47058823529412;0,631290588462045;6,29411764705882;0,0356237846602803;0,631290588462045;0,631290588462045;45,9536253296568;5,88235294117647;214,981960885523;15,9883190021407;76,3529411764706
"CN";"2nd";0,68552060577632;1;5;0,872689234209971;6,42857142857143;0,593121934474822;5,28571428571429;0,0436273595045701;0,593121934474821;0,593121934474822;26,8997180938689;5;159,097443314028;13,0858144237757;49,4285714285714
"JP";"2nd";0,750955753831641;1;7,375;0,88745362586184;17,0625;0,66830529837922;4,1875;0,0437588599650311;0,668305298379221;0,66830529837922;261,838667388471;7,375;223,723717211988;15,2151016510973;83,875
"KR";"2nd";0,655216248332268;1;3,71428571428571;NA;4,07142857142857;0,470548191565065;6;0,0245427742653077;0,470548191565064;0,470548191565065;12,2294774164426;3,71428571428571;122,320357558587;11,2671384135501;39,8571428571429
"US";"2nd";0,677379154318308;1;4,875;0,860199432706557;6,375;0,516697072967604;6,6875;0,0360771179257457;0,516697072967604;0,516697072967604;25,2709779630112;4,875;166,296297009663;14,8284525609866;73,875
"CN";"3rd";0,731437681573912;1;5,88888888888889;0,869362995795635;9,66666666666667;0,545242443832137;7,05555555555556;0,032865055852217;0,545242443832137;0,545242443832137;67,2178231813168;5,88888888888889;220,837170731932;16,9449675363041;79,6666666666667
"JP";"3rd";0,685378146052648;1;5,86666666666667;0,917533742849231;9,4;0,59000350758921;4,6;0,0437498659340092;0,59000350758921;0,59000350758921;46,8102759081334;5,86666666666667;187,922565316843;14,1723311634303;76,1333333333333
"KR";"3rd";0,684514972934654;1;3,83333333333333;0,84644843624507;3,5;0,536084522767876;4,5;0,0514208280197141;0,536084522767876;0,536084522767876;9,56654500429921;3,83333333333333;135,462038126323;11,2391213539142;40,5
"US";"3rd";0,66472923655706;1;4,61538461538461;0,907702420731597;7,15384615384615;0,528835677086411;2;0,0218952411958215;0,528835677086411;0,528835677086411;28,9316005523754;4,61538461538461;116,626612476268;9,08255765068182;33,8461538461538
"CN";"1st";11,2395651370304;16;100;14,6427701008598;150;10,5828269220716;79;0,653427013876789;10,5828269220716;10,5828269220716;1165,46590178923;100;3698,2378586798;243,831164474859;1188
"JP";"1st";12,2045478472408;17;126;14,8765118143374;303;11,0565963779668;83;0,677429584886679;11,0565963779668;11,0565963779668;5147,52909480534;126;3881,82579093372;274,160741827881;1476
"KR";"1st";10,2596695100693;14;66;12,8469405245149;81;7,60530470380975;84;0,573576168812498;7,60530470380975;7,60530470380975;247,847833098287;66;2272,9192408382;183,793184869172;962
"US";"1st";11,8094381516167;17;100;15,3825522392481;144;10,7319400038548;107;0,605604339224765;10,7319400038548;10,7319400038548;781,211630604165;100;3654,69333505388;271,801423036391;1298
"CN";"2nd";9,59728848086847;14;70;12,2176492789396;90;8,3037070826475;74;0,610783033063981;8,3037070826475;8,3037070826475;376,596053314165;70;2227,36420639639;183,20140193286;692
"JP";"2nd";12,0152920613063;16;118;14,1992580137894;273;10,6928847740675;67;0,700141759440497;10,6928847740675;10,6928847740675;4189,41867821554;118;3579,57947539181;243,441626417556;1342
"KR";"2nd";9,17302747665176;14;52;NA;57;6,5876746819109;84;0,343598839714308;6,5876746819109;6,5876746819109;171,212683830196;52;1712,48500582022;157,739937789702;558
"US";"2nd";10,8380664690929;16;78;13,7631909233049;102;8,26715316748166;107;0,577233886811931;8,26715316748166;8,26715316748166;404,335647408179;78;2660,74075215461;237,255240975785;1182
"CN";"3rd";13,1658782683304;18;106;15,6485339243214;174;9,81436398897846;127;0,591571005339906;9,81436398897846;9,81436398897846;1209,9208172637;106;3975,06907317477;305,009415653473;1434
"JP";"3rd";10,2806721907897;15;88;13,7630061427385;141;8,85005261383814;69;0,656247989010137;8,85005261383814;8,85005261383814;702,154138622001;88;2818,83847975264;212,584967451455;1142
"KR";"3rd";8,21417967521585;12;46;10,1573812349408;42;6,43301427321451;54;0,61704993623657;6,43301427321451;6,43301427321451;114,798540051591;46;1625,54445751588;134,86945624697;486
"US";"3rd";8,64148007524178;13;60;11,8001314695108;93;6,87486380212334;26;0,28463813554568;6,87486380212334;6,87486380212334;376,110807180881;60;1516,14596219149;118,073249458864;440
